master_card_id	master_head_form	registered_surface_family	concrete_default_de	source_component_formula	prose_event_count	whole_card_class	apprentice_rule_de
MC142	dchol	dchol|schol	Voriges	DCHOL_SCHOL_PREVIOUS_ITEM_WHOLE	2	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC012	dl	dl	Zusatz	DL_BATH_ADDITIVE_WHOLE_CARD	2	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC129	cfhy	cfhy	auswringen	MEMORIZED_WHOLE_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC099	cheeckhody	cheeckhody	auftragen	CHEECKHO_APPLY_WHOLE_CARD+DY_CLOSE	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC156	cphy	cphy	nachseihen	MEMORIZED_WHOLE_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC071	dchey	dchey	Wurzel	MEMORIZED_WHOLE_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC138	dshedy	dshedy	Frischwasser	DSHE_FRESH_WATER+DY_CLOSE	1	LEARNED_LOCAL_COMPOUND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC124	lkedy	lkedy	nachwaschen	LKEDY_REWASH_WHOLE+CLOSE	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC118	ly	ly	Sammelgefäß	MEMORIZED_VESSEL_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC027	oykchor	oykchor	Ansatzgefäß	MEMORIZED_VESSEL_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC052	qekey	qekey	roh	MEMORIZED_WHOLE_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC164	qokylddy	qokylddy	befestigen	OK+Y_ITEM+LDDY_FASTEN_CLOSE	1	LEARNED_LOCAL_COMPOUND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC114	sh	sh	Staengel	MEMORIZED_WHOLE_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC089	skar	skar	von dort ausgiessen	SK_POUR+AR_FROM	1	LEARNED_LOCAL_COMPOUND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC068	sotodan	sotodan	danach anwenden	S_FRAME+OT_FOLLOW+DAN_APPLY	1	LEARNED_LOCAL_COMPOUND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC061	sshkchdy	sshkchdy	schwenken	SSHK_SWIVEL_WHOLE+CLOSE	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC160	talam	talam	am Ziel verwahren	T_STORE_FRAME+AL_TO+AM_STORE	1	LEARNED_LOCAL_COMPOUND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC037	tchody	tchody	kalt stellen	TCHO_COOL+DY_CLOSE	1	LEARNED_LOCAL_COMPOUND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
MC109	ytey	ytey	fuellen	MEMORIZED_WHOLE_CARD	1	LEARNED_OBJECT_OR_SPECIAL_COMMAND	exakte Karte mit kurzer Bedeutung aus dem lokalen Exemplar lernen
