master_card_id	master_head_form	registered_surface_family	second_ring_family	atom_sequence	portable_nucleus_de	current_concrete_default_de	source_component_formula	prose_event_count	reading_rule_de
MC014	chair	chair	AIR_FLOW	AIR	WASSERLAUF	Wasserzulauf	CH_INLET+AIR_WATER	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC022	chckhal	chckhal	CKH_PATH	CKH+AL	ZUM ZIEL DURCHLEITEN	zur Zielstelle durchleiten	CKH_THROUGH+AL_TO	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC035	chckhy	chckhy|shckhy	CKH_PATH	CKH+Y	AKTUELLEN POSTEN DURCHLEITEN	durchleiten	CKH_THROUGH+Y_ITEM	4	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC146	chealror	chealror	KNOWN_ATOMS_LOCAL_FRAME	AL+OR	ANSATZ ZUM ZIEL	Ansatz von dort zur Zielstelle	AL_TO+R_FRAME+OR_BATCH	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC161	checthy	checthy|cthy|shcthy	CTH_READY	CTH+Y	BEREITER POSTEN	bereit	CTH_READY+Y_CURRENT	7	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC064	chedchy	chedchy	KNOWN_ATOMS_LOCAL_FRAME	CHD+Y	AKTUELLEN POSTEN ÜBERTRAGEN	diesen Posten überführen	CHED_TRANSFER+CHY_ITEM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC128	cheedy	cheedy|shedy|tedy	SHED_STATE	SHED+E+CLOSE	KURZ ABSETZEN; SCHLUSS	kurz absetzen lassen; Schluss	SHED_SETTLE+GRADE_1+DY_CLOSE	12	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC094	cheeety	cheeety	TY_PART	EEE+TY	GANZER TEIL	ganzen Teilposten	EEE_FULL+TY_PART	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC032	cheeky	cheeky	CHK_WARM	CHK+EE+Y	LÄNGER WÄRMEN	länger erwärmen und offen halten	CHK_WARM+GRADE_2+Y_OPEN	2	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC147	cheky	cheky	CHK_WARM	CHK+E+Y	KURZ WÄRMEN	kurz wärmen	CHK_WARM+GRADE_1+Y_OPEN	3	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC085	cheoar	cheoar	CHEO_EXTRACT	CHEO+AR	AUSZUG VOM AUSGANG	Auszug entnehmen	CHEO_EXTRACT+AR_SOURCE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC152	ches	ches	PARTITION	PARTITION	TRENNEN	teilen	MEMORIZED_WHOLE_CARD	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC086	chety	chety|chty	PARTITION	PARTITION+TY	TEIL ABTRENNEN	Teil abtrennen	CH_PARTITION+TY_PART	2	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC110	chkeedy	chkeedy	CHK_WARM	CHK+EE+CLOSE	LÄNGER WÄRMEN; SCHLUSS	länger wärmen; Schluss	CHK_WARM+GRADE_2+DY_CLOSE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC166	chkeey	chkeey	CHK_WARM	CHK+EE+Y	LÄNGER WÄRMEN	diesen Posten länger warm halten	CHK_WARM+GRADE_2+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC144	chldaiin	chldaiin	SHED_STATE	SHED+AIIN	ABSETZWERT	Absetzmaß	CHLD_SETTLE+AIIN_MEASURE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC006	chokcheo	chokcheo	CHEO_EXTRACT	OK+CHEO	AUSZUG SETZEN	Auszug zugeben	CH_RENDERER+OK_ADD+CHEO_EXTRACT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC169	cthaiin	cthaiin	CTH_READY	CTH+AIIN	BEREITWERT	Fertigmaß	CTH_READY+AIIN_MEASURE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
