joint_tuple_id	B1_S002_surfaces	fixed_page_events	records	small_value_de
0f18de177ed7c878bf95	dl	2	B1	Zusatz
1496a731803a9f48d2e1	rol	1	B1	noch warm
22fb87a5a83e5c3fb510	kair	1	B1	Beckenwasser
259b2b3b0bf859882e2c	schedy	4	B1|B2|B3	überführen; Schluss
2cc8bb3c2af19607888f	chckhy	4	B1|B2	durchführen
2f1c5e56e8f0ff459065	daiin	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	Mass
308e8ea2d5d190c498e8	okal	6	B1|B2|B3|H4	an die Stelle setzen
4d4559019a961b834aa1	sar	5	B1|B2|B3|H1|H2	dasselbe
4eab1841ed655c20a348	sheckhal	1	B1	kurz an der Durchlassstelle
93f69c38fdedee1598e9	qokeedal	1	B1	länger an der Stelle halten
94df4847b7b16c98394a	olkain	2	B1|B4	weitere Portion
9da1b6ac2c929daea697	kain	3	B1|B3|B4	eine Portion
b5fcea1eaed06b2f2291	okaiin	9	B1|B2|B3|H4	bemessen
dcda95c81a5460feb191	ol	19	B1|B3|B4|B5|B6|H1|H2	fortsetzen
dd0ecaf5e27d81befffc	al	10	B1|B2|B3|B4|B5|H5	Stelle
dec401773c1f0347793d	olor	2	B1|H2	weiterer Ansatz
