slot	event_id	surface	joint_tuple_id	role	small_value_de
1	E102	okaiin	b5fcea1eaed06b2f2291	MEASURE_SETUP	bemessen
2	E103	kair	22fb87a5a83e5c3fb510	MEDIUM	Beckenwasser
3	E104	okal	308e8ea2d5d190c498e8	TARGET_SET	an die Stelle setzen
4	E105	sar	4d4559019a961b834aa1	SAME	dasselbe
5	E106	ol	dcda95c81a5460feb191	CONTINUE	fortsetzen
6	E107	kain	9da1b6ac2c929daea697	FIRST_PORTION	eine Portion
7	E108	olkain	94df4847b7b16c98394a	FOLLOWING_PORTION	weitere Portion
8	E109	al	dd0ecaf5e27d81befffc	TARGET	Stelle
9	E110	ol	dcda95c81a5460feb191	CONTINUE	fortsetzen
10	E111	rol	1496a731803a9f48d2e1	WARM_STATE	noch warm
11	E112	dl	0f18de177ed7c878bf95	ADDITIVE	Zusatz
12	E113	olor	dec401773c1f0347793d	FOLLOWING_BATCH	weiterer Ansatz
13	E114	ol	dcda95c81a5460feb191	CONTINUE	fortsetzen
14	E115	sheckhal	4eab1841ed655c20a348	SHORT_PASSAGE_TARGET	kurz an der Durchlassstelle
15	E116	daiin	2f1c5e56e8f0ff459065	MEASURE	Mass
16	E117	qokeedal	93f69c38fdedee1598e9	LONG_TARGET_HOLD	länger an der Stelle halten
17	E118	daiin	2f1c5e56e8f0ff459065	MEASURE	Mass
18	E119	chckhy	2cc8bb3c2af19607888f	PASSAGE	durchführen
19	E120	schedy	259b2b3b0bf859882e2c	TRANSFER_CLOSE	überführen; Schluss
