surface	working_meaning_de	composition	strongest_rival_de	family
lsheedain	Holzdroge vollständig einweichen und zwei Dosen abmessen	L_WOOD+SH_MOIST+EE_END+D_MEASURE+AIN_II	zwei Dosen vollständig eingeweichter Holzdroge	WOOD
ytey	kühle hiervon bis zur Mittelstufe ab und schließe ab	Y_REFERENCE+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	mittlere Kühlstufe dieser Droge, abgeschlossen	COLD
qoiiin	nimm Ansatz in Zubereitungsform IV	QO_COMMAND+O_PREP+IIIN_FORM_IV	nimm Zubereitungsform IV	COMMAND
tshaiin	kalt eingeweichte Droge auf Stufe III	T_COLD+SH_MOIST+AIIN_III	drei Teile abkühlen und einweichen	COLD_MOIST
ockhoees	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen	O_PREP+CKH_COMPOSITE+O_PREP+EE_END+S_TERM_SPECIES	vollständig bereitete Ansatzcharge eines Arzneikompositums	COMPOSITE
ycthar	nimm hiervon die erste Kraut- oder Blattdrogenfraktion	Y_REFERENCE+CTH_HERB+AR_FRACTION_I	erste Kraut- oder Blattfraktion hiervon	HERB
oeor	eine Portion Ansatz der Mittelstufe	O_PREP+E_MIDDLE+OR_PORTION	eine Portion Ansatz bis zur Mittelstufe bringen	PREPARATION
oschotshl	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand	LEARNED_OSCHOTSHL_WHOLE	Saatgutansatz trocknen, abkühlen, einweichen und Holzdroge zugeben	SEED_WOOD
kchaiin	heiß-getrocknete Droge auf Stufe III	K_HOT+CH_DRY+AIIN_III	drei Teile erhitzen und trocknen	HEAT_DRY
ka	ein erhitzter Teil	K_HOT+A_PART_OR_LINK	erhitze einen Teil	HEAT
shkaiin	eingeweichte und erhitzte Droge auf Stufe III	SH_MOIST+K_HOT+AIIN_III	drei Teile einweichen und erhitzen	MOIST_HEAT
choeky	trocknen, ansetzen, bis zur Mittelstufe erhitzen und abschließen	CH_DRY+O_PREP+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	mäßig erhitzter Trockenansatz, abgeschlossen	HEAT_DRY
cphy	Arzneikompositum in Grundform	CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum fertigstellen	COMPOSITE
dcheodaiin	eine Dosis bis zur Mittelstufe trocknen und ansetzen; drei Dosen abmessen	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	drei Dosen bis zur Mittelstufe getrockneten Ansatzes	MEASURE
qokokchy	erhitze, setze an, erhitze erneut, trockne und schließe ab	QO_COMMAND+K_HOT+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrockneter Doppelansatz	COMMAND
otair	zweite kalte Drogenfraktion im Ansatz	O_PREP+T_COLD+AIR_FRACTION_II	zweite Drogenfraktion im Ansatz abkühlen	FRACTION
otarain	zwei Teile der ersten kalten Drogenfraktion im Ansatz	O_PREP+T_COLD+AR_FRACTION_I+AIN_II	kalter Ansatz, Fraktion I auf Stufe II	FRACTION
chekain	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	CH_DRY+E_MIDDLE+K_HOT+AIN_II	zwei Teile mäßig getrockneter und erhitzter Droge	HEAT_DRY
olaiiny	drei Teile Holzdrogenansatz abschließen	O_PREP+L_WOOD+AIIN_III+Y_START_OR_CLOSE	Holzdrogenansatz auf Stufe III, abgeschlossen	WOOD
shkain	eingeweichte und erhitzte Droge auf Stufe II	SH_MOIST+K_HOT+AIN_II	zwei Teile einweichen und erhitzen	MOIST_HEAT
ofalsheky	Blütenrohstoff I im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	O_PREP+F_FLOWER+AL_RAW_I+SH_MOIST+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	gelernter Blütenrohstoff-I-Ansatz vor dem SHEKY-Block	FLOWER
chedol	Drogenstoff bis zur Mittelstufe trocknen und abmessen	CH_DRY+E_MIDDLE+D_MEASURE+OL_MATERIAL	RF1b: bis zur Mittelstufe trocknen und abschließen; ein Pfund	MEASURE
qetal	kühle Rohdroge I bis zur Mittelstufe	LEARNED_QETAL_WHOLE	Rohdroge I auf mittlerer Kühlstufe	COLD
rtain	Wurzeldroge auf Kältestufe II	R_ROOT+T_COLD+AIN_II	zwei Teile gekühlte Wurzeldroge	ROOT
otodar	Kaltansatz erneut ansetzen und die erste Fraktion abmessen	O_PREP+T_COLD+O_PREP+D_MEASURE+AR_FRACTION_I	gekühlter Ansatz mit erster Fraktion	MEASURE
alsy	Saatrohdroge I in Grundform abschließen	AL_RAW_I+S_SEED+Y_START_OR_CLOSE	abgeschlossene Rohdrogencharge I	SEED
chearory	eine Portion der ersten Fraktion bis zur Mittelstufe trocknen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+OR_PORTION+Y_START_OR_CLOSE	abgeschlossene Trockenportion aus Fraktion I	FRACTION
secheeol	vollständig getrockneter Saatdrogenstoff	LEARNED_SECHEEOL_WHOLE	Saatgut-Drogenstoff von der Mittelstufe bis zur Endstufe trocknen	SEED
