surface	working_meaning_de	composition	strongest_rival_de	family
lsheedain	zwei Dosen vollständig eingeweichter Holzdroge	L_WOOD+SH_MOIST+EE_END+D_MEASURE+AIN_II	zwei Maße vollständig angefeuchteter Holzdroge	WOOD_MOIST_DOSE_II
ytey	kühle hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	bis zur mittleren Kühlstufe gebracht, abgeschlossen	REFERENCE_COOL_MIDDLE
qoiiin	nimm Ansatz in Zubereitungsform IV	QO_COMMAND+IIIN_FORM_IV	nimm Zubereitungsform IV	TAKE_FORM_IV
tshaiin	kalt eingeweichte Zubereitung auf Stufe III	T_COLD+SH_MOIST+AIIN_III	drei Teile kalt eingeweichter Droge	COLD_MOIST_III
ockhoees	vollständig bereitete Charge Arzneikompositum	O_PREP+CKH_COMPOSITE+O_PREP+EE_END+S_TERM_SPECIES	Arzneikompositum-Ansatz auf Endstufe	COMPOSITE_PREP_END_CHARGE
ycthar	nimm hiervon die erste Krautdrogenfraktion	Y_REFERENCE+CTH_HERB+AR_FRACTION_I	erste Krautdrogenfraktion hierzu	REFERENCE_HERB_FRACTION_I
oeor	eine Portion Ansatz auf Mittelstufe	O_PREP+E_MIDDLE+OR_PORTION	eine Portion Ansatz bis zur Mittelstufe bereiten	PREP_MIDDLE_PORTION
oschotshl	kalt-feuchter Holzdrogenansatz aus getrockneter Saatgutzubereitung	O_PREP+S_SEED+CH_DRY+O_PREP+T_COLD+SH_MOIST+L_WOOD	Holzdrogenansatz trocknen, abkühlen und anfeuchten	SEED_WOOD_PREP_STATE
kchaiin	heiß-trocken auf Stufe III	K_HOT+CH_DRY+AIIN_III	drei Teile heiß getrockneter Droge	HOT_DRY_III
ka	ein heißer Teil	K_HOT+A_PART_OR_LINK	einen Teil erhitzen	HOT_PART
shkaiin	heiß eingeweicht auf Stufe III	SH_MOIST+K_HOT+AIIN_III	drei Teile eingeweichter und erhitzter Droge	MOIST_HOT_III
choeky	Ansatz bis zur Mittelstufe trocknen, erhitzen und abschließen	CH_DRY+O_PREP+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	heißer mitteltrockener Ansatz, abgeschlossen	DRY_PREP_HEAT_CLOSE
cphy	Arzneikompositum in Grundform	CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum leicht fertigstellen	COMPOSITE_BASE
dcheodaiin	drei Dosen bis zur Mittelstufe getrockneten Ansatzes	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	drei Dosen Ansatz abmessen und bis zur Mittelstufe trocknen	MEASURED_DRY_PREP_III
qokokchy	erhitze den Ansatz, erhitze und trockne ihn erneut und schließe ab	QO_COMMAND+K_HOT+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß-trockenen Ansatz erneut erhitzen und abschließen	REHEAT_DRY_COMMAND
otair	kalte zweite Drogenfraktion im Ansatz	O_PREP+T_COLD+AIR_FRACTION_II	zweite Drogenfraktion im Ansatz abkühlen	PREP_COLD_FRACTION_II
otarain	kalte erste Drogenfraktion im Ansatz auf Stufe II	O_PREP+T_COLD+AR_FRACTION_I+AIN_II	zwei Teile der ersten kalten Drogenfraktion	PREP_COLD_FRACTION_I_II
