surface	working_meaning_de	composition	strongest_rival_de	family
lsheedain	zwei Dosen Holzdroge vollständig einweichen und abmessen	L_WOOD+SH_MOIST+EE_END+D_MEASURE+AIN_II	vollständig eingeweichte Holzdroge auf Dosisstufe II	WOOD
ytey	kühle hiervon bis zur Mittelstufe ab und schließe ab	Y_REFERENCE+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	mittlere Kühlstufe dieser Droge	COLD
qoiiin	nimm Ansatz in Zubereitungsform IV	QO_COMMAND+O_PREP+IIIN_FORM_IV	führe Zubereitungsform IV im Ansatz aus	COMMAND
tshaiin	drei Teile abkühlen und einweichen	T_COLD+SH_MOIST+AIIN_III	kalt eingeweichte Droge auf Stufe III	MEASURE
ockhoees	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen	O_PREP+CKH_COMPOSITE+O_PREP+EE_END+S_TERM_SPECIES	vollständig bereitete Ansatzcharge eines Arzneikompositums	COMPOSITE
ycthar	nimm hiervon die erste Kraut- oder Blattdrogenfraktion	Y_REFERENCE+CTH_HERB+AR_FRACTION_I	erste Fraktion dieser Krautdroge	HERB
oeor	eine Portion Ansatz bis zur Mittelstufe bringen	O_PREP+E_MIDDLE+OR_PORTION	Ansatzportion der mittleren Stufe	MEASURE
oschotshl	kalt getrockneten Feuchtansatz mit Holzdroge bereiten	LEARNED_OSCHOTSHL_WHOLE	Saatgutansatz trocknen, abkühlen, einweichen und Holzdroge zugeben	PREPARATION
kchaiin	drei Teile erhitzen und trocknen	K_HOT+CH_DRY+AIIN_III	heiß getrocknete Droge auf Stufe III	MEASURE
ka	einen Teil erhitzen	K_HOT+A_PART_OR_LINK	heiße Teilmenge	ACTION
shkaiin	drei Teile einweichen und erhitzen	SH_MOIST+K_HOT+AIIN_III	heiße angefeuchtete Droge auf Stufe III	MEASURE
choeky	trocknen, ansetzen, bis zur Mittelstufe erhitzen und abschließen	CH_DRY+O_PREP+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	mäßig erhitzter Trockenansatz	ACTION
cphy	Arzneikompositum in Grundform abschließen	CPH_COMPOSITE+Y_START_OR_CLOSE	leicht bereitetes Arzneikompositum	COMPOSITE
dcheodaiin	drei Dosen trocknen, bis zur Mittelstufe ansetzen und abmessen	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	Trockenansatz auf Dosisstufe III	MEASURE
qokokchy	nimm, erhitze und setze an; erneut erhitzen, trocknen und abschließen	QO_COMMAND+K_HOT+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	gib einen doppelt erhitzten Trockenansatz aus	COMMAND
otair	zweite kalte Fraktion im Ansatz	O_PREP+T_COLD+AIR_FRACTION_II	Ansatz auf Kühlstufe II	FRACTION
otarain	zwei Teile der ersten kalten Fraktion im Ansatz	O_PREP+T_COLD+AR_FRACTION_I+AIN_II	kalter Ansatz, Fraktion I auf Stufe II	FRACTION
chekain	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	CH_DRY+E_MIDDLE+K_HOT+AIN_II	mäßig getrocknete heiße Droge, zwei Teile	ACTION
olaiiny	drei Teile Holzdroge im Ansatz bereiten und abschließen	O_PREP+L_WOOD+AIIN_III+Y_START_OR_CLOSE	Holzdrogenansatz in Grundform auf Stufe III	WOOD
shkain	zwei Teile einweichen und erhitzen	SH_MOIST+K_HOT+AIN_II	heiße angefeuchtete Droge auf Stufe II	MEASURE
ofalsheky	Blütenrohstoff im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	LEARNED_OFALSHEKY_WHOLE	Rohdroge I im Ansatz einweichen und erhitzen	FLOWER
chedol	Drogenstoff bis zur Mittelstufe trocknen und abmessen	CH_DRY+E_MIDDLE+D_MEASURE+OL_MATERIAL	abgemessener Drogenstoff mittlerer Trockenstufe	MEASURE
qetal	Rohdroge I bis zur Mittelstufe abkühlen	LEARNED_QETAL_WHOLE	gib Rohdroge I in einen mäßig gekühlten Ansatz	COMMAND
rtain	Wurzeldroge auf Stufe II abkühlen	R_ROOT+T_COLD+AIN_II	zwei Teile gekühlte Wurzel	ROOT
otodar	erste Fraktion eines Kaltansatzes abmessen	O_PREP+T_COLD+O_PREP+D_MEASURE+AR_FRACTION_I	abgemessene kalte Ansatzfraktion I	MEASURE
alsy	Rohdroge I mit Saatgut in Grundform abschließen	AL_RAW_I+S_SEED+Y_START_OR_CLOSE	leicht bereitete Saatrohdroge I	SEED
chearory	eine Portion der ersten Fraktion bis zur Mittelstufe trocknen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+OR_PORTION+Y_START_OR_CLOSE	abgeschlossene Trockenportion aus Fraktion I	FRACTION
secheeol	Saatgut bis zur Mittelstufe und anschließend vollständig zu Drogenstoff trocknen	S_SEED+E_MIDDLE+CH_DRY+EE_END+OL_MATERIAL	vollständig getrockneter Saatgut-Drogenstoff	SEED
