rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f28r.8	oschotshl daiin okchey kol daiin shol dsho otaiin	Getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand; drei Maße; heiß-trockener Ansatz auf Mittelstufe; heißes Material; Stufe III; Feuchtgut. Miss eine Dosis Feuchtansatz ab; kalter Ansatz auf Stufe III.	oschotshl bleibt nominaler zusammengesetzter Zustand; kein unsichtbarer Prozesskopf ergänzt.
2	f83r.19	sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy	Samenfraktion I; drei Dosen bis zur Mittelstufe eingeweichter Droge; Arzneikompositum-Ansatz auf Mittelstufe; Saatgutcharge II; Trockenmittelstufe abgeschlossen; Einweichmittelstufe abgeschlossen. Kühle Rohdroge I bis zur Mittelstufe; abgemessene Rohstoffmenge I; Einweichmittelstufe abgeschlossen; bis zur mittleren Einweichstufe; getrocknetes Drogenholz.	qetal ist der einzige neue Kühlbefehl; alle Zustandskarten bleiben getrennt.
3	f96r.8	ykeor secheeol sheol qokeeey chol daiin	Erhitze hiervon eine Portion bis zur Mittelstufe; vollständig getrockneter Saatdrogenstoff; feuchter Drogenstoff. Erhitze bis Endstufe III; Trockengut; Stufe III.	secheeol ist nominal; kein zweiter Trocknungsbefehl erfunden.
4	f81v.1	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	Pulverfraktion I; bis zur mittleren Einweichstufe; bis zur Heizendstufe gebracht; Rohdroge I feucht auf Mittelstufe; heiß am Gradanfang; abgemessene Rohstoffmenge I; abgemessene Fraktion I; Grundansatz; getrocknetes Pulver. Weiche bis zur Mittelstufe ein und erhitze; zwei Maße. Weiche Blütenrohstoff I im Ansatz bis zur Mittelstufe ein, erhitze und schließe ab.	Die gerichteten Stufen shey und keedy bleiben sichtbar; der finale ofal|sheky-Block enthält Stoff, Ansatz und vollständige Prozessfolge.
5	f82r.6	sar shedy qol shedaiin sheckhy okal sheky qotaiin chedol	Samenfraktion I; Einweichmittelstufe abgeschlossen. Gib Folgendes hinzu: drei Dosen bis zur Mittelstufe eingeweichter Droge; feuchtes Arzneikompositum am Gradanfang; Rohdroge I leicht erhitzt im Ansatz. Weiche bis zur Mittelstufe ein, erhitze und schließe ab; kalt auf Stufe III. Trockne den Drogenstoff bis zur Mittelstufe und miss ihn ab.	chedol bleibt gerichtete Trocken- und Messhandlung, nicht bloße Dosisbezeichnung.
6	f111v.50	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or	Feucht auf Stufe III. Nimm Ansatz in Zubereitungsform IV; heißer Ansatz auf Stufe II; bis zur mittleren Trockenstufe. Erhitze bis Endstufe III; heißer Ansatz auf Stufe II; vollständig getrocknete Kräutermischung; Drogenfraktion I; Grundansatz; Charge Holzdrogenansatz der letzten Stufe; kalter Ansatz auf Stufe II; Drogenportion.	qoiiin ist ein ausdrücklicher Nehmbefehl; die gerichtete Trockenstufe bleibt erhalten und die nachfolgende Liste nominal.
7	f58v.37	olkeey okar ar choky otair otol chokey cheeky dalar	Holzdrogenansatz vollständig erhitzt; heiße Drogenfraktion I im Ansatz; Drogenfraktion I; heiß-trockene Zubereitung in Grundform; zweite kalte Drogenfraktion im Ansatz; kaltes Zubereitungsgut; heiß-trockener Ansatz auf Mittelstufe; trocken am Gradende und danach heiß am Gradanfang. Miss die erste Fraktion Rohdroge I ab.	otair ist ein Zustand zwischen zwei Zubereitungskarten, kein zusätzlicher Kühlbefehl.
8	f76r.46	dain shear okedy otedy okedy lchedy chedy okar chedy otarain	Zwei Maße; weiche die erste Fraktion bis zur Mittelstufe ein; Ansatz auf mittlerer Heizstufe abgeschlossen; Ansatz auf mittlerer Kühlstufe abgeschlossen; Ansatz erneut auf mittlerer Heizstufe abgeschlossen; getrocknetes Drogenholz; Trockenmittelstufe abgeschlossen; heiße Drogenfraktion I im Ansatz; nochmals Trockenmittelstufe abgeschlossen; zwei Teile der ersten kalten Drogenfraktion im Ansatz.	otarain bleibt nominale Mengen-/Fraktionskarte; die Wiederholungen werden nicht zusammengezogen.
9	f83r.55	sol rtain cthal	Samenmaterial/Saatgut; Wurzeldroge auf Kältestufe II; Kraut- oder Blattdroge aus Rohdroge I.	Reine dreigliedrige Zutaten-/Zustandsliste mit dem geerbten freien sol-Wert und ohne erfundenes Verb.
10	f51r.2	dcheodaiin ckheody ckhody chody	Trockne eine Dosis bis zur Mittelstufe und setze sie an; miss drei Dosen ab; fertiger Arzneikompositum-Ansatz; setze das Arzneikompositum an und stelle es fertig; Trockenansatz abgeschlossen.	dcheodaiin bewahrt beide Messwerte sowie Trocknen und Ansetzen.
11	f56r.12	sh cho kchey qokokchy	Einweichen; Trockenansatz; heiß und bis zur mittleren Trockenstufe. Erhitze, setze an, erhitze erneut, trockne und schließe ab.	Der letzte Block ist eine echte fünfteilige Prozessanweisung.
12	f32v.3	shor daiin chckhy dsho dain daiin s shokey ka	Blüten-/Fruchtstand beziehungsweise Blüten- oder Fruchtdroge; Menge III; trockenes Arzneikompositum am Gradanfang. Miss eine Dosis Feuchtansatz ab; zwei Maße; drei Maße; Saatgutposten; heiß-feuchter Ansatz auf Mittelstufe; ein erhitzter Teil.	ka ist eine nominale Teilangabe; die einzige neue Messhandlung stammt aus dsho.
13	f10v.3	dsho ytey kchol ol ty chol dy	Miss eine Dosis Feuchtansatz ab; kühle hiervon bis zur Mittelstufe ab und schließe ab; erhitztes Trockengut; Grundansatz; leicht gekühlt; Trockengut.	Das freie finale dy erhält hier keine zusätzliche V47-Handlung; ytey trägt bereits Kühl- und Abschlussbefehl.
