edition	paragraph	at	word	R_directive	R_input1	R_input1_at	R_input1_status	R_input2	R_input2_at	R_input2_status	R_recipient	R_recipient_word	R_recipient_status	D_property	D_subject	D_subject_word	D_subject_status	independent_discriminator	independent_evidence
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G008	sheey	benetze	ch{cthh'}o	ZL3b|f100r.12|G009	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	benetzt			MISSING	NONE_ESTABLISHED	
ZL3b	f104v|f104v.41-f104v.44	ZL3b|f104v.41|G009	qotaiin	abseihen	otchdy	ZL3b|f104v.41|G010	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	abgeseiht			MISSING	NONE_ESTABLISHED	
ZL3b	f104v|f104v.41-f104v.44	ZL3b|f104v.42|G006	sheey	benetze	teeeo	ZL3b|f104v.42|G007	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	benetzt	ZL3b|f104v.42|G005	qoteey	MATERIAL_ASSUMED	NONE_ESTABLISHED	
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.15|G003	sheey	benetze	shey	ZL3b|f111r.15|G004	WRONG_KNOWN_ROLE			NOT_REQUIRED			NOT_REQUIRED	benetzt			MISSING	NONE_ESTABLISHED	
ZL3b	f114v|f114v.29-f114v.32	ZL3b|f114v.30|G006	qotaiin	abseihen	otal	ZL3b|f114v.30|G007	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	abgeseiht	ZL3b|f114v.30|G005	qoteey	MATERIAL_ASSUMED	NONE_ESTABLISHED	
ZL3b	f114v|f114v.33-f114v.35	ZL3b|f114v.33|G002	sheey	benetze	oaiin	ZL3b|f114v.33|G003	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	benetzt			MISSING	NONE_ESTABLISHED	
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	zugeben	qoteey	ZL3b|f19v.5|G002	MATERIAL_ASSUMED			NOT_REQUIRED	ZL3b|f19v.3|G001	otchy	MATERIAL_ASSUMED	beigefügt	ZL3b|f19v.3|G001	otchy	MATERIAL_ASSUMED	NONE_ESTABLISHED	
ZL3b	f20r|f20r.1-f20r.4	ZL3b|f20r.2|G006	qotchy	zugeben	cthody	ZL3b|f20r.2|G007	UNKNOWN			NOT_REQUIRED	ZL3b|f20r.2|G003	cthey	MATERIAL_ASSUMED	beigefügt	ZL3b|f20r.2|G003	cthey	MATERIAL_ASSUMED	NONE_ESTABLISHED	
ZL3b	f44r|f44r.5-f44r.7	ZL3b|f44r.5|G006	sheey	benetze	ytey	ZL3b|f44r.5|G007	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	benetzt	ZL3b|f44r.5|G003	qoteey	MATERIAL_ASSUMED	NONE_ESTABLISHED	
ZL3b	f44r|f44r.5-f44r.7	ZL3b|f44r.6|G007	qotchy	zugeben	otchy	ZL3b|f44r.6|G008	MATERIAL_ASSUMED			NOT_REQUIRED	ZL3b|f44r.5|G003	qoteey	MATERIAL_ASSUMED	beigefügt	ZL3b|f44r.5|G003	qoteey	MATERIAL_ASSUMED	NONE_ESTABLISHED	
ZL3b	f76v|f76v.16-f76v.24	ZL3b|f76v.19|G003	sheey	benetze	otar	ZL3b|f76v.19|G004	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	benetzt			MISSING	NONE_ESTABLISHED	
ZL3b	f76v|f76v.16-f76v.24	ZL3b|f76v.23|G003	qotchy	zugeben	qokol	ZL3b|f76v.23|G004	UNKNOWN			NOT_REQUIRED			MISSING	beigefügt			MISSING	NONE_ESTABLISHED	
ZL3b	f77r|f77r.9-f77r.24	ZL3b|f77r.10|G004	qotaiin	abseihen	qotedy	ZL3b|f77r.10|G005	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	abgeseiht			MISSING	NONE_ESTABLISHED	
ZL3b	f77r|f77r.9-f77r.24	ZL3b|f77r.16|G002	qotaiin	abseihen	chedy	ZL3b|f77r.16|G003	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	abgeseiht			MISSING	NONE_ESTABLISHED	
ZL3b	f77r|f77r.9-f77r.24	ZL3b|f77r.18|G011	qotaiin	abseihen			MISSING			NOT_REQUIRED			NOT_REQUIRED	abgeseiht			MISSING	NONE_ESTABLISHED	
ZL3b	f77r|f77r.9-f77r.24	ZL3b|f77r.20|G006	sheey	benetze	qotedy	ZL3b|f77r.20|G007	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	benetzt	ZL3b|f77r.20|G004	qoteey	MATERIAL_ASSUMED	NONE_ESTABLISHED	
ZL3b	f79r|f79r.1-f79r.6	ZL3b|f79r.2|G007	sheey	benetze	qoteey	ZL3b|f79r.2|G008	MATERIAL_ASSUMED			NOT_REQUIRED			NOT_REQUIRED	benetzt			MISSING	NONE_ESTABLISHED	
ZL3b	f82r|f82r.20-f82r.33	ZL3b|f82r.22|G003	sheey	benetze	qokaiin	ZL3b|f82r.22|G004	UNKNOWN			NOT_REQUIRED			NOT_REQUIRED	benetzt			MISSING	NONE_ESTABLISHED	
