mode	record	line	locus	word	operation	kind	material	material_source	recipient	recipient_source	prior_manufacture	amount	amount_source	before	after	remainder	status	extra_input	row_status
T	f21r	f21r.9	f21r.9:2	sho	verabreiche	APPLICATION	tshaiin	f21r.9:3	NA	NA	NA	NA	NA	Eingangszustand offen	nicht ausführbar	unbestimmt	MISSING_RECIPIENT	NA	recorded
T	f32v	f32v.7	f32v.7:2	cphos	zerreibe	MANUFACTURE	NA	NA	NA	NA	NA	NA	NA	Eingangszustand offen	UNBOUND	unbestimmt	MISSING_MATERIAL	NA	recorded
T	f32v	f32v.9	f32v.9:1	qotchy	zerkleinere	MANUFACTURE	shan	f32v.8:9	NA	NA	NA	NA	NA	Eingangszustand offen	zerkleinere-bearbeitet	unbestimmt	BOUND	NA	recorded
T	f32v	f32v.10	f32v.10:1	sho	verabreiche	APPLICATION	keol	f32v.10:2	E	f32v.7:3	NA	NA	NA	Eingangszustand offen	Teilmenge zu E übertragen	unbestimmt	BOUND	NA	recorded
T	f32v	f32v.10	f32v.10:6	cpho	zerstoße	MANUFACTURE	chor	f32v.10:3	NA	NA	NA	NA	NA	Eingangszustand offen	zerstoße-bearbeitet	unbestimmt	BOUND	NA	recorded
T	f32v	f32v.11	f32v.11:2	sho	verabreiche	APPLICATION	chy	f32v.11:3	E	f32v.7:3	NA	NA	NA	Eingangszustand offen	Teilmenge zu E übertragen	unbestimmt	BOUND	NA	recorded
T	f29v	f29v.1	f29v.1:6	shytchy	benetze	MANUFACTURE	shor	f29v.1:2	NA	NA	NA	NA	NA	Eingangszustand offen	benetze-bearbeitet	unbestimmt	BOUND_PRIMARY_MISSING_LIQUID	Benetzungsflüssigkeit ungebunden	recorded
T	f29v	f29v.3	f29v.3:6	qotchy	zerkleinere	MANUFACTURE	odaiin	f29v.3:5	NA	NA	NA	NA	NA	Eingangszustand offen	zerkleinere-bearbeitet	unbestimmt	BOUND	NA	recorded
T	f29v	f29v.4	f29v.4:7	shot	erwärme	MANUFACTURE	cthy	f29v.4:4	NA	NA	NA	NA	NA	Eingangszustand offen	erwärme-bearbeitet	unbestimmt	BOUND	NA	recorded
T	f29v	f29v.4	f29v.4:8	sho	verabreiche	APPLICATION	okaiin	f29v.4:9	E	f29v.3:9	NA	NA	NA	Eingangszustand offen	Teilmenge zu E übertragen	unbestimmt	BOUND	NA	recorded
M	f21r	f21r.9	f21r.9:2	sho	füge hinzu	APPLICATION	tshaiin	f21r.9:3	NA	NA	NA	NA	NA	Eingangszustand offen	nicht ausführbar	unbestimmt	MISSING_RECIPIENT	NA	recorded
M	f32v	f32v.7	f32v.7:2	cphos	zerreibe	MANUFACTURE	NA	NA	NA	NA	NA	NA	NA	Eingangszustand offen	UNBOUND	unbestimmt	MISSING_MATERIAL	NA	recorded
M	f32v	f32v.9	f32v.9:1	qotchy	zerkleinere	MANUFACTURE	shan	f32v.8:9	NA	NA	NA	NA	NA	Eingangszustand offen	zerkleinere-bearbeitet	unbestimmt	BOUND	NA	recorded
M	f32v	f32v.10	f32v.10:1	sho	füge hinzu	APPLICATION	keol	f32v.10:2	E	f32v.7:3	NA	NA	NA	Eingangszustand offen	Teilmenge zu E übertragen	unbestimmt	BOUND	NA	recorded
M	f32v	f32v.10	f32v.10:6	cpho	zerstoße	MANUFACTURE	chor	f32v.10:3	NA	NA	NA	NA	NA	Eingangszustand offen	zerstoße-bearbeitet	unbestimmt	BOUND	NA	recorded
M	f32v	f32v.11	f32v.11:2	sho	füge hinzu	APPLICATION	chy	f32v.11:3	E	f32v.7:3	NA	NA	NA	Eingangszustand offen	Teilmenge zu E übertragen	unbestimmt	BOUND	NA	recorded
M	f29v	f29v.1	f29v.1:6	shytchy	benetze	MANUFACTURE	shor	f29v.1:2	NA	NA	NA	NA	NA	Eingangszustand offen	benetze-bearbeitet	unbestimmt	BOUND_PRIMARY_MISSING_LIQUID	Benetzungsflüssigkeit ungebunden	recorded
M	f29v	f29v.3	f29v.3:6	qotchy	zerkleinere	MANUFACTURE	odaiin	f29v.3:5	NA	NA	NA	NA	NA	Eingangszustand offen	zerkleinere-bearbeitet	unbestimmt	BOUND	NA	recorded
M	f29v	f29v.4	f29v.4:7	shot	erwärme	MANUFACTURE	cthy	f29v.4:4	NA	NA	NA	NA	NA	Eingangszustand offen	erwärme-bearbeitet	unbestimmt	BOUND	NA	recorded
M	f29v	f29v.4	f29v.4:8	sho	füge hinzu	APPLICATION	okaiin	f29v.4:9	E	f29v.3:9	NA	NA	NA	Eingangszustand offen	Teilmenge zu E übertragen	unbestimmt	BOUND	NA	recorded
