mode	record	line	locus	word	kind	reference	rendering	row_status
M	f17r	f17r.4	f17r.4:1	tcho	MATERIAL	tcho	Pflanzenmaterial[tcho]	recorded
M	f17r	f17r.4	f17r.4:2	shol	OTHER	NA	feucht	recorded
M	f17r	f17r.4	f17r.4:3	qokol	OPEN	NA	⟦qokol⟧	recorded
M	f17r	f17r.4	f17r.4:4	qor	OPEN	NA	⟦qor⟧	recorded
M	f17r	f17r.4	f17r.4:5	olaiin	OPEN	NA	⟦olaiin⟧	recorded
M	f17r	f17r.4	f17r.4:6	opydg	OPEN	NA	⟦opydg⟧	recorded
M	f17r	f17r.4	f17r.4:7	som	OPEN	NA	⟦som⟧	recorded
M	f17r	f17r.4	f17r.4:8	ypchy	OPEN	NA	⟦ypchy⟧	recorded
M	f17r	f17r.4	f17r.4:9	ypaim	OPEN	NA	⟦ypaim⟧	recorded
M	f17r	f17r.5	f17r.5:1	ychekchy	OPEN	NA	⟦ychekchy⟧	recorded
M	f17r	f17r.5	f17r.5:2	cthy	MATERIAL	cthy	Kraut[cthy]	recorded
M	f17r	f17r.5	f17r.5:3	chor	MATERIAL	chor	Blüten[chor]	recorded
M	f17r	f17r.5	f17r.5:4	shor	MATERIAL	shor	Früchte[shor]	recorded
M	f17r	f17r.5	f17r.5:5	cphor	OPEN	NA	⟦cphor⟧	recorded
M	f17r	f17r.5	f17r.5:6	cphaldy	OPEN	NA	⟦cphaldy⟧	recorded
M	f17r	f17r.5	f17r.5:7	dair	QUANTITY	shor	{DIM} A(shor)	recorded
M	f17r	f17r.5	f17r.5:8	cthey	MATERIAL	cthey	Arzneiform A[cthey]	recorded
M	f17r	f17r.5	f17r.5:9	qody	MATERIAL	qody	fertige Zubereitung[qody]	recorded
M	f17r	f17r.6	f17r.6:1	tsho	OPEN	NA	⟦tsho⟧	recorded
M	f17r	f17r.6	f17r.6:2	qof	OPEN	NA	⟦qof⟧	recorded
M	f17r	f17r.6	f17r.6:3	cho	OTHER	NA	Inneres	recorded
M	f17r	f17r.6	f17r.6:4	qokcheor	OPEN	NA	⟦qokcheor⟧	recorded
M	f17r	f17r.6	f17r.6:5	cheteg	OPEN	NA	⟦cheteg⟧	recorded
M	f21r	f21r.8	f21r.8:1	fcho	OPEN	NA	⟦fcho⟧	recorded
M	f21r	f21r.8	f21r.8:2	kshy	OPEN	NA	⟦kshy⟧	recorded
M	f21r	f21r.8	f21r.8:3	otor	OPEN	NA	⟦otor⟧	recorded
