mode	record	line	locus	word	value	material	material_source	status	row_status
T	f17r	f17r.5	f17r.5:7	dair	A	shor	f17r.5:4	BOUND	recorded
T	f21r	f21r.12	f21r.12:7	daiin	C	chor	f21r.12:5	BOUND	recorded
T	f32v	f32v.7	f32v.7:7	dain	B	NA	NA	MISSING_MATERIAL	recorded
T	f32v	f32v.8	f32v.8:2	daiin	C	otchol	f32v.8:1	BOUND	recorded
T	f32v	f32v.8	f32v.8:3	daiin	C	otchol	f32v.8:1	BOUND	recorded
T	f32v	f32v.8	f32v.8:5	daiin	C	ctho	f32v.8:4	BOUND	recorded
T	f32v	f32v.9	f32v.9:5	daiin	C	chocthy	f32v.9:4	BOUND	recorded
T	f32v	f32v.9	f32v.9:7	daiin	C	cthaiin	f32v.9:6	BOUND	recorded
T	f32v	f32v.10	f32v.10:5	daiin	C	chor	f32v.10:3	BOUND	recorded
T	f32v	f32v.10	f32v.10:10	ar	E	cthol	f32v.10:8	BOUND	recorded
T	f29v	f29v.1	f29v.1:11	daiin	C	cthy	f29v.1:7	BOUND	recorded
T	f29v	f29v.2	f29v.2:9	dary	D	ytchor	f29v.2:8	BOUND	recorded
M	f17r	f17r.5	f17r.5:7	dair	A	shor	f17r.5:4	BOUND	recorded
M	f21r	f21r.12	f21r.12:7	daiin	C	chor	f21r.12:5	BOUND	recorded
M	f32v	f32v.7	f32v.7:7	dain	B	NA	NA	MISSING_MATERIAL	recorded
M	f32v	f32v.8	f32v.8:2	daiin	C	otchol	f32v.8:1	BOUND	recorded
M	f32v	f32v.8	f32v.8:3	daiin	C	otchol	f32v.8:1	BOUND	recorded
M	f32v	f32v.8	f32v.8:5	daiin	C	ctho	f32v.8:4	BOUND	recorded
M	f32v	f32v.9	f32v.9:5	daiin	C	chocthy	f32v.9:4	BOUND	recorded
M	f32v	f32v.9	f32v.9:7	daiin	C	cthaiin	f32v.9:6	BOUND	recorded
M	f32v	f32v.10	f32v.10:5	daiin	C	chor	f32v.10:3	BOUND	recorded
M	f32v	f32v.10	f32v.10:10	ar	E	cthol	f32v.10:8	BOUND	recorded
M	f29v	f29v.1	f29v.1:11	daiin	C	cthy	f29v.1:7	BOUND	recorded
M	f29v	f29v.2	f29v.2:9	dary	D	ytchor	f29v.2:8	BOUND	recorded
