mode	record	line	locus	word	kind	reference	rendering	row_status
T	f17r	f17r.4	f17r.4:1	tcho	MATERIAL	tcho	Pflanzenmaterial[tcho]	recorded
T	f17r	f17r.4	f17r.4:2	shol	OTHER	NA	feucht	recorded
T	f17r	f17r.4	f17r.4:3	qokol	OPEN	NA	⟦qokol⟧	recorded
T	f17r	f17r.4	f17r.4:4	qor	OPEN	NA	⟦qor⟧	recorded
T	f17r	f17r.4	f17r.4:5	olaiin	OPEN	NA	⟦olaiin⟧	recorded
T	f17r	f17r.4	f17r.4:6	opydg	OPEN	NA	⟦opydg⟧	recorded
T	f17r	f17r.4	f17r.4:7	som	OPEN	NA	⟦som⟧	recorded
T	f17r	f17r.4	f17r.4:8	ypchy	OPEN	NA	⟦ypchy⟧	recorded
T	f17r	f17r.4	f17r.4:9	ypaim	OPEN	NA	⟦ypaim⟧	recorded
T	f17r	f17r.5	f17r.5:1	ychekchy	OPEN	NA	⟦ychekchy⟧	recorded
T	f17r	f17r.5	f17r.5:2	cthy	MATERIAL	cthy	Kraut[cthy]	recorded
T	f17r	f17r.5	f17r.5:3	chor	MATERIAL	chor	Blüten[chor]	recorded
T	f17r	f17r.5	f17r.5:4	shor	MATERIAL	shor	Früchte[shor]	recorded
T	f17r	f17r.5	f17r.5:5	cphor	OPEN	NA	⟦cphor⟧	recorded
T	f17r	f17r.5	f17r.5:6	cphaldy	OPEN	NA	⟦cphaldy⟧	recorded
T	f17r	f17r.5	f17r.5:7	dair	QUANTITY	shor	{DIM} A(shor)	recorded
T	f17r	f17r.5	f17r.5:8	cthey	MATERIAL	cthey	Arzneiform A[cthey]	recorded
T	f17r	f17r.5	f17r.5:9	qody	MATERIAL	qody	fertige Zubereitung[qody]	recorded
T	f17r	f17r.6	f17r.6:1	tsho	OPEN	NA	⟦tsho⟧	recorded
T	f17r	f17r.6	f17r.6:2	qof	OPEN	NA	⟦qof⟧	recorded
T	f17r	f17r.6	f17r.6:3	cho	OTHER	NA	Inneres	recorded
T	f17r	f17r.6	f17r.6:4	qokcheor	OPEN	NA	⟦qokcheor⟧	recorded
T	f17r	f17r.6	f17r.6:5	cheteg	OPEN	NA	⟦cheteg⟧	recorded
T	f21r	f21r.8	f21r.8:1	fcho	OPEN	NA	⟦fcho⟧	recorded
T	f21r	f21r.8	f21r.8:2	kshy	OPEN	NA	⟦kshy⟧	recorded
T	f21r	f21r.8	f21r.8:3	otor	OPEN	NA	⟦otor⟧	recorded
T	f21r	f21r.8	f21r.8:4	sheol	OPEN	NA	⟦sheol⟧	recorded
T	f21r	f21r.8	f21r.8:5	ocphal	OPEN	NA	⟦ocphal⟧	recorded
T	f21r	f21r.8	f21r.8:6	opsheas	OPEN	NA	⟦opsheas⟧	recorded
T	f21r	f21r.8	f21r.8:7	cthodaiin	OPEN	NA	⟦cthodaiin⟧	recorded
T	f21r	f21r.8	f21r.8:8	oty	OPEN	NA	⟦oty⟧	recorded
T	f21r	f21r.9	f21r.9:1	okaiin	MATERIAL	okaiin	Ansatz[okaiin]	recorded
T	f21r	f21r.9	f21r.9:2	sho	APPLICATION	tshaiin	verabreiche(Mittel=Flüssigauszug[tshaiin];Empfänger=FEHLT)	recorded
T	f21r	f21r.9	f21r.9:3	tshaiin	MATERIAL	tshaiin	Flüssigauszug[tshaiin]	recorded
T	f21r	f21r.9	f21r.9:4	chkaiin	OPEN	NA	⟦chkaiin⟧	recorded
T	f21r	f21r.9	f21r.9:5	sh	OPEN	NA	⟦sh⟧	recorded
T	f21r	f21r.9	f21r.9:6	cthey	MATERIAL	cthey	Arzneiform A[cthey]	recorded
T	f21r	f21r.9	f21r.9:7	cthody	OPEN	NA	⟦cthody⟧	recorded
T	f21r	f21r.9	f21r.9:8	cthy	MATERIAL	cthy	Kraut[cthy]	recorded
T	f21r	f21r.9	f21r.9:9	s	OTHER	NA	und	recorded
T	f21r	f21r.10	f21r.10:1	totchy	OPEN	NA	⟦totchy⟧	recorded
T	f21r	f21r.10	f21r.10:2	keor	OPEN	NA	⟦keor⟧	recorded
T	f21r	f21r.10	f21r.10:3	chy	MATERIAL	chy	Wasser[chy]	recorded
T	f21r	f21r.10	f21r.10:4	ky	OPEN	NA	⟦ky⟧	recorded
T	f21r	f21r.10	f21r.10:5	qotaiin	MATERIAL	qotaiin	abgeteilte Portion[qotaiin]	recorded
T	f21r	f21r.10	f21r.10:6	qotchol	MATERIAL	qotchol	Trockenmaterial[qotchol]	recorded
T	f21r	f21r.10	f21r.10:7	ty	OPEN	NA	⟦ty⟧	recorded
T	f21r	f21r.10	f21r.10:8	ctheey	OPEN	NA	⟦ctheey⟧	recorded
T	f21r	f21r.10	f21r.10:9	otaiin	OPEN	NA	⟦otaiin⟧	recorded
T	f21r	f21r.11	f21r.11:1	shol	OTHER	NA	feucht	recorded
T	f21r	f21r.11	f21r.11:2	chol	OTHER	NA	trocken	recorded
T	f21r	f21r.11	f21r.11:3	shol	OTHER	NA	feucht	recorded
T	f21r	f21r.11	f21r.11:4	tchol	OPEN	NA	⟦tchol⟧	recorded
T	f21r	f21r.11	f21r.11:5	chcthy	OPEN	NA	⟦chcthy⟧	recorded
T	f21r	f21r.11	f21r.11:6	otyky	OPEN	NA	⟦otyky⟧	recorded
T	f21r	f21r.11	f21r.11:7	shey	ENDPOINT	NA	beruhigt(NA;REFERENCE_MISSING)	recorded
T	f21r	f21r.11	f21r.11:8	yteol	OPEN	NA	⟦yteol⟧	recorded
T	f21r	f21r.11	f21r.11:9	shody	OPEN	NA	⟦shody⟧	recorded
T	f21r	f21r.12	f21r.12:1	ykeey	OPEN	NA	⟦ykeey⟧	recorded
T	f21r	f21r.12	f21r.12:2	chor	MATERIAL	chor	Blüten[chor]	recorded
T	f21r	f21r.12	f21r.12:3	sheey	OPEN	NA	⟦sheey⟧	recorded
T	f21r	f21r.12	f21r.12:4	ysheol	OPEN	NA	⟦ysheol⟧	recorded
T	f21r	f21r.12	f21r.12:5	chor	MATERIAL	chor	Blüten[chor]	recorded
T	f21r	f21r.12	f21r.12:6	chol	OTHER	NA	trocken	recorded
T	f21r	f21r.12	f21r.12:7	daiin	QUANTITY	chor	{DIM} C(chor)	recorded
T	f21r	f21r.12	f21r.12:8	chkaiin	OPEN	NA	⟦chkaiin⟧	recorded
T	f32v	f32v.7	f32v.7:1	ksho	OPEN	NA	⟦ksho⟧	recorded
T	f32v	f32v.7	f32v.7:2	cphos	MANUFACTURE	NA	zerreibe(MATERIAL FEHLT)	recorded
T	f32v	f32v.7	f32v.7:3	she	RECIPIENT	E	Patient[E]	recorded
T	f32v	f32v.7	f32v.7:4	sheaiin	OPEN	NA	⟦sheaiin⟧	recorded
T	f32v	f32v.7	f32v.7:5	otshcho	OPEN	NA	⟦otshcho⟧	recorded
T	f32v	f32v.7	f32v.7:6	r	OPEN	NA	⟦r⟧	recorded
T	f32v	f32v.7	f32v.7:7	dain	QUANTITY	NA	{DIM} B(NA)	recorded
T	f32v	f32v.7	f32v.7:8	shckhy	OPEN	NA	⟦shckhy⟧	recorded
T	f32v	f32v.7	f32v.7:9	s	OTHER	NA	und	recorded
T	f32v	f32v.7	f32v.7:10	odan	OPEN	NA	⟦odan⟧	recorded
T	f32v	f32v.8	f32v.8:1	otchol	MATERIAL	otchol	Trockenmaterial[otchol]	recorded
T	f32v	f32v.8	f32v.8:2	daiin	QUANTITY	otchol	{DIM} C(otchol)	recorded
T	f32v	f32v.8	f32v.8:3	daiin	QUANTITY	otchol	{DIM} C(otchol)	recorded
T	f32v	f32v.8	f32v.8:4	ctho	MATERIAL	ctho	Pflanzenpulver[ctho]	recorded
T	f32v	f32v.8	f32v.8:5	daiin	QUANTITY	ctho	{DIM} C(ctho)	recorded
T	f32v	f32v.8	f32v.8:6	qotaiin	MATERIAL	qotaiin	abgeteilte Portion[qotaiin]	recorded
T	f32v	f32v.8	f32v.8:7	otchy	OPEN	NA	⟦otchy⟧	recorded
T	f32v	f32v.8	f32v.8:8	d	OPEN	NA	⟦d⟧	recorded
T	f32v	f32v.8	f32v.8:9	shan	MATERIAL	shan	Feinanteil[shan]	recorded
T	f32v	f32v.9	f32v.9:1	qotchy	MANUFACTURE	shan	zerkleinere(shan)	recorded
T	f32v	f32v.9	f32v.9:2	cfhy	OTHER	NA	Filterstelle	recorded
T	f32v	f32v.9	f32v.9:3	skey	OPEN	NA	⟦skey⟧	recorded
T	f32v	f32v.9	f32v.9:4	chocthy	MATERIAL	chocthy	Pflanzenmark[chocthy]	recorded
T	f32v	f32v.9	f32v.9:5	daiin	QUANTITY	chocthy	{DIM} C(chocthy)	recorded
T	f32v	f32v.9	f32v.9:6	cthaiin	MATERIAL	cthaiin	Pflanzenportion[cthaiin]	recorded
T	f32v	f32v.9	f32v.9:7	daiin	QUANTITY	cthaiin	{DIM} C(cthaiin)	recorded
T	f32v	f32v.10	f32v.10:1	sho	APPLICATION	keol	verabreiche(Mittel=Öl[keol];Empfänger=Patient[E])	recorded
T	f32v	f32v.10	f32v.10:2	keol	MATERIAL	keol	Öl[keol]	recorded
T	f32v	f32v.10	f32v.10:3	chor	MATERIAL	chor	Blüten[chor]	recorded
T	f32v	f32v.10	f32v.10:4	chol	OTHER	NA	trocken	recorded
T	f32v	f32v.10	f32v.10:5	daiin	QUANTITY	chor	{DIM} C(chor)	recorded
T	f32v	f32v.10	f32v.10:6	cpho	MANUFACTURE	chor	zerstoße(chor)	recorded
T	f32v	f32v.10	f32v.10:7	l	OPEN	NA	⟦l⟧	recorded
T	f32v	f32v.10	f32v.10:8	cthol	MATERIAL	cthol	Trockenmaterial[cthol]	recorded
T	f32v	f32v.10	f32v.10:9	da	OPEN	NA	⟦da⟧	recorded
T	f32v	f32v.10	f32v.10:10	ar	QUANTITY	cthol	{DIM} E(cthol)	recorded
T	f32v	f32v.11	f32v.11:1	ol	OTHER	NA	auch	recorded
T	f32v	f32v.11	f32v.11:2	sho	APPLICATION	chy	verabreiche(Mittel=Wasser[chy];Empfänger=Patient[E])	recorded
T	f32v	f32v.11	f32v.11:3	chy	MATERIAL	chy	Wasser[chy]	recorded
T	f29v	f29v.1	f29v.1:1	kooiin	MATERIAL	kooiin	Wurzelmaterial[kooiin]	recorded
T	f29v	f29v.1	f29v.1:2	shor	MATERIAL	shor	Früchte[shor]	recorded
T	f29v	f29v.1	f29v.1:3	chetchy	OPEN	NA	⟦chetchy⟧	recorded
T	f29v	f29v.1	f29v.1:4	ol	OTHER	NA	auch	recorded
T	f29v	f29v.1	f29v.1:5	ls	OPEN	NA	⟦ls⟧	recorded
T	f29v	f29v.1	f29v.1:6	shytchy	MANUFACTURE	shor	benetze(shor)	recorded
T	f29v	f29v.1	f29v.1:7	cthy	MATERIAL	cthy	Kraut[cthy]	recorded
T	f29v	f29v.1	f29v.1:8	shy	OTHER	NA	feucht	recorded
T	f29v	f29v.1	f29v.1:9	cho	OTHER	NA	Inneres	recorded
T	f29v	f29v.1	f29v.1:10	shy	OTHER	NA	feucht	recorded
T	f29v	f29v.1	f29v.1:11	daiin	QUANTITY	cthy	{DIM} C(cthy)	recorded
T	f29v	f29v.2	f29v.2:1	qotcheaiin	MATERIAL	qotcheaiin	Feinpulver[qotcheaiin]	recorded
T	f29v	f29v.2	f29v.2:2	s	OTHER	NA	und	recorded
T	f29v	f29v.2	f29v.2:3	chol	OTHER	NA	trocken	recorded
T	f29v	f29v.2	f29v.2:4	chol	OTHER	NA	trocken	recorded
T	f29v	f29v.2	f29v.2:5	cthy	MATERIAL	cthy	Kraut[cthy]	recorded
T	f29v	f29v.2	f29v.2:6	chey	OPEN	NA	⟦chey⟧	recorded
T	f29v	f29v.2	f29v.2:7	cthold	MATERIAL	cthold	Pflanzenrückstand[cthold]	recorded
T	f29v	f29v.2	f29v.2:8	ytchor	MATERIAL	ytchor	zerkleinerte Blüten[ytchor]	recorded
T	f29v	f29v.2	f29v.2:9	dary	QUANTITY	ytchor	{DIM} D(ytchor)	recorded
T	f29v	f29v.3	f29v.3:1	chol	OTHER	NA	trocken	recorded
T	f29v	f29v.3	f29v.3:2	chol	OTHER	NA	trocken	recorded
T	f29v	f29v.3	f29v.3:3	kor	OTHER	NA	Mörser	recorded
T	f29v	f29v.3	f29v.3:4	shey	ENDPOINT	NA	beruhigt(NA;REFERENCE_MISSING)	recorded
T	f29v	f29v.3	f29v.3:5	odaiin	MATERIAL	odaiin	Zusatzportion[odaiin]	recorded
T	f29v	f29v.3	f29v.3:6	qotchy	MANUFACTURE	odaiin	zerkleinere(odaiin)	recorded
T	f29v	f29v.3	f29v.3:7	taiin	OTHER	NA	Auffanggefäß	recorded
T	f29v	f29v.3	f29v.3:8	s	OTHER	NA	und	recorded
T	f29v	f29v.3	f29v.3:9	she	RECIPIENT	E	Patient[E]	recorded
T	f29v	f29v.3	f29v.3:10	otey	OPEN	NA	⟦otey⟧	recorded
T	f29v	f29v.3	f29v.3:11	sy	ENDPOINT	E	gebessert(E;BEFORE_APPLICATION)	recorded
T	f29v	f29v.4	f29v.4:1	ysho	OPEN	NA	⟦ysho⟧	recorded
T	f29v	f29v.4	f29v.4:2	otshy	OTHER	NA	kalt-feucht	recorded
T	f29v	f29v.4	f29v.4:3	okaiin	MATERIAL	okaiin	Ansatz[okaiin]	recorded
T	f29v	f29v.4	f29v.4:4	cthy	MATERIAL	cthy	Kraut[cthy]	recorded
T	f29v	f29v.4	f29v.4:5	oltchy	OTHER	NA	kalt-trocken	recorded
T	f29v	f29v.4	f29v.4:6	s	OTHER	NA	und	recorded
T	f29v	f29v.4	f29v.4:7	shot	MANUFACTURE	cthy	erwärme(cthy)	recorded
T	f29v	f29v.4	f29v.4:8	sho	APPLICATION	okaiin	verabreiche(Mittel=Ansatz[okaiin];Empfänger=Patient[E])	recorded
T	f29v	f29v.4	f29v.4:9	okaiin	MATERIAL	okaiin	Ansatz[okaiin]	recorded
