mode	record	locus	word	value	material	D_application	H	G	decision	row_status
T	f17r	f17r.5:7	dair	A	shor	NONE	Herstellungsmenge A	Stärke A	free symbolic value; no numerical execution	recorded
T	f21r	f21r.12:7	daiin	C	chor	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f32v	f32v.7:7	dain	B	NA	NONE	UNBOUND	UNBOUND	free symbolic value; no numerical execution	recorded
T	f32v	f32v.8:2	daiin	C	otchol	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f32v	f32v.8:3	daiin	C	otchol	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f32v	f32v.8:5	daiin	C	ctho	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f32v	f32v.9:5	daiin	C	chocthy	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f32v	f32v.9:7	daiin	C	cthaiin	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f32v	f32v.10:5	daiin	C	chor	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f32v	f32v.10:10	ar	E	cthol	NONE	Herstellungsmenge E	Stärke E	free symbolic value; no numerical execution	recorded
T	f29v	f29v.1:11	daiin	C	cthy	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
T	f29v	f29v.2:9	dary	D	ytchor	NONE	Herstellungsmenge D	Stärke D	free symbolic value; no numerical execution	recorded
M	f17r	f17r.5:7	dair	A	shor	NONE	Herstellungsmenge A	Stärke A	free symbolic value; no numerical execution	recorded
M	f21r	f21r.12:7	daiin	C	chor	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f32v	f32v.7:7	dain	B	NA	NONE	UNBOUND	UNBOUND	free symbolic value; no numerical execution	recorded
M	f32v	f32v.8:2	daiin	C	otchol	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f32v	f32v.8:3	daiin	C	otchol	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f32v	f32v.8:5	daiin	C	ctho	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f32v	f32v.9:5	daiin	C	chocthy	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f32v	f32v.9:7	daiin	C	cthaiin	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f32v	f32v.10:5	daiin	C	chor	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f32v	f32v.10:10	ar	E	cthol	NONE	Herstellungsmenge E	Stärke E	free symbolic value; no numerical execution	recorded
M	f29v	f29v.1:11	daiin	C	cthy	NONE	Herstellungsmenge C	Stärke C	free symbolic value; no numerical execution	recorded
M	f29v	f29v.2:9	dary	D	ytchor	NONE	Herstellungsmenge D	Stärke D	free symbolic value; no numerical execution	recorded
