surface	raw_suffix_family	gdt754_provenance	gdt737_quarantine	dal_lineage	excluded_from_semantic_neighbours	excluded_from_learned_whole_donors	component_export_credit
aar	1	0	0	0	1	1	0
acthy	0	1	0	0	1	1	0
aiidal	1	0	0	0	1	1	0
aiil	0	0	0	1	1	1	0
aiinal	1	1	0	0	1	1	0
aiinchodar	1	0	0	0	1	1	0
aiirchar	1	0	0	0	1	1	0
ail	0	0	0	1	1	1	0
aindar	1	0	0	0	1	1	0
air	0	1	0	0	1	1	0
airal	1	0	0	0	1	1	0
akal	1	0	0	0	1	1	0
akar	1	0	0	0	1	1	0
al	1	0	0	1	1	1	0
alal	1	0	0	0	1	1	0
alar	1	0	0	0	1	1	0
alchar	1	0	0	0	1	1	0
alchedar	1	0	0	0	1	1	0
aldar	1	0	0	0	1	1	0
aldy	0	0	0	1	1	1	0
alkal	1	0	0	0	1	1	0
alkar	1	0	0	0	1	1	0
aloal	1	0	0	0	1	1	0
alodar	1	0	0	0	1	1	0
alol	0	1	0	0	1	1	0
alpchdar	1	0	0	0	1	1	0
alsar	1	0	0	0	1	1	0
aly	0	0	0	1	1	1	0
am	0	0	0	1	1	1	0
ar	1	0	0	0	1	1	0
aral	1	0	0	0	1	1	0
aralar	1	0	0	0	1	1	0
arar	1	0	0	0	1	1	0
araral	1	0	0	0	1	1	0
arol	0	1	0	0	1	1	0
atar	1	0	0	0	1	1	0
cfhar	1	1	0	0	1	1	0
cfhodar	1	0	0	0	1	1	0
cfholdar	1	0	0	0	1	1	0
chairal	1	0	0	0	1	1	0
chakal	1	0	0	0	1	1	0
chal	1	0	0	0	1	1	0
chalal	1	0	0	0	1	1	0
chalkar	1	0	0	0	1	1	0
chaltar	1	0	0	0	1	1	0
char	1	0	0	0	1	1	0
chcfhal	1	0	0	0	1	1	0
chcfhy	0	1	0	0	1	1	0
chckhal	1	0	0	1	1	1	0
chckheal	1	0	0	0	1	1	0
chckhes	0	1	0	0	1	1	0
chckhy	0	0	0	1	1	1	0
chcphar	1	0	0	0	1	1	0
