cell_id	cohort	prefix	tail	surface	tail_candidate_structural_tag_not_translation	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	candidate_semantic_credit	component_export_credit
G788-X01-01	PRIMARY	ch	al	chal	MATERIAL_I_UNMEASURED_CANDIDATE	35	20	17	0	0
G788-X01-02	PRIMARY	ch	dal	chdal	MATERIAL_I_MEASURED_CANDIDATE	13	11	11	0	0
G788-X01-03	PRIMARY	ch	ar	char	PART_I_UNMEASURED_CANDIDATE	55	40	29	0	0
G788-X01-04	PRIMARY	ch	dar	chdar	PART_I_MEASURED_CANDIDATE	12	8	7	0	0
G788-X02-01	PRIMARY	che	al	cheal	MATERIAL_I_UNMEASURED_CANDIDATE	25	12	9	0	0
G788-X02-02	PRIMARY	che	dal	chedal	MATERIAL_I_MEASURED_CANDIDATE	15	10	7	0	0
G788-X02-03	PRIMARY	che	ar	chear	PART_I_UNMEASURED_CANDIDATE	38	23	21	0	0
G788-X02-04	PRIMARY	che	dar	chedar	PART_I_MEASURED_CANDIDATE	16	11	9	0	0
G788-X03-01	PRIMARY	o	al	oal	MATERIAL_I_UNMEASURED_CANDIDATE	2	2	2	0	0
G788-X03-02	PRIMARY	o	dal	odal	MATERIAL_I_MEASURED_CANDIDATE	11	11	10	0	0
G788-X03-03	PRIMARY	o	ar	oar	PART_I_UNMEASURED_CANDIDATE	9	8	7	0	0
G788-X03-04	PRIMARY	o	dar	odar	PART_I_MEASURED_CANDIDATE	17	15	13	0	0
G788-X04-01	PRIMARY	oke	al	okeal	MATERIAL_I_UNMEASURED_CANDIDATE	8	7	7	0	0
G788-X04-02	PRIMARY	oke	dal	okedal	MATERIAL_I_MEASURED_CANDIDATE	2	2	2	0	0
G788-X04-03	PRIMARY	oke	ar	okear	PART_I_UNMEASURED_CANDIDATE	3	3	3	0	0
G788-X04-04	PRIMARY	oke	dar	okedar	PART_I_MEASURED_CANDIDATE	2	2	2	0	0
G788-X05-01	PRIMARY	ol	al	olal	MATERIAL_I_UNMEASURED_CANDIDATE	5	5	5	0	0
G788-X05-02	PRIMARY	ol	dal	oldal	MATERIAL_I_MEASURED_CANDIDATE	2	2	2	0	0
G788-X05-03	PRIMARY	ol	ar	olar	PART_I_UNMEASURED_CANDIDATE	7	6	6	0	0
G788-X05-04	PRIMARY	ol	dar	oldar	PART_I_MEASURED_CANDIDATE	5	5	5	0	0
G788-X06-01	PRIMARY	ote	al	oteal	MATERIAL_I_UNMEASURED_CANDIDATE	5	4	4	0	0
G788-X06-02	PRIMARY	ote	dal	otedal	MATERIAL_I_MEASURED_CANDIDATE	3	3	3	0	0
G788-X06-03	PRIMARY	ote	ar	otear	PART_I_UNMEASURED_CANDIDATE	3	3	3	0	0
G788-X06-04	PRIMARY	ote	dar	otedar	PART_I_MEASURED_CANDIDATE	3	3	2	0	0
G788-X07-01	PRIMARY	qo	al	qoal	MATERIAL_I_UNMEASURED_CANDIDATE	4	4	4	0	0
G788-X07-02	PRIMARY	qo	dal	qodal	MATERIAL_I_MEASURED_CANDIDATE	6	6	6	0	0
G788-X07-03	PRIMARY	qo	ar	qoar	PART_I_UNMEASURED_CANDIDATE	7	7	7	0	0
G788-X07-04	PRIMARY	qo	dar	qodar	PART_I_MEASURED_CANDIDATE	7	6	6	0	0
G788-X08-01	PRIMARY	qoke	al	qokeal	MATERIAL_I_UNMEASURED_CANDIDATE	4	4	4	0	0
G788-X08-02	PRIMARY	qoke	dal	qokedal	MATERIAL_I_MEASURED_CANDIDATE	2	2	2	0	0
G788-X08-03	PRIMARY	qoke	ar	qokear	PART_I_UNMEASURED_CANDIDATE	4	3	3	0	0
