surface	family_class	left_whole	raw_occurrences	raw_page_count	raw_pages	raw_physical_folio_count	raw_locus_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_locus_count	exact_first	exact_middle	exact_last	exact_single	exact_true_paragraph_starts	exact_true_paragraph_ends	exact_register_distribution	current_alternate_reader_split_candidates	current_alternate_reader_split_loci	current_alternate_reader_split_sources	component_export_credit
aiidal	LEFT_WHOLE_PLUS_DAL	aii	1	1	f99v	1	1	1	1	1	f99v	1	1	0	1	0	0	0	0	P|A|1:1	0	NONE	NONE	0
chdal	LEFT_WHOLE_PLUS_DAL	ch	19	15	f33r|f34r|f34v|f41v|f46v|f83r|f85r1|f86v3|f86v6|f105v|f106v|f108r|f112v|f114v|f115v	13	18	1	13	11	f33r|f34r|f83r|f85r1|f86v6|f105v|f106v|f108r|f112v|f114v|f115v	11	12	0	13	0	0	0	0	B|B|2:1|H|B|2:2|S|B|3:6|T|B|2:4	0	NONE	NONE	0
chedal	LEFT_WHOLE_PLUS_DAL	che	22	15	f43v|f58v|f76v|f77v|f103r|f104r|f104v|f105v|f108r|f108v|f112r|f112v|f113r|f114r|f114v	11	22	1	15	10	f77v|f103r|f104r|f104v|f105v|f108r|f108v|f112r|f114r|f114v	7	15	1	13	1	0	0	1	B|B|2:1|S|B|3:14	0	NONE	NONE	0
cheodal	LEFT_WHOLE_PLUS_DAL	cheo	5	5	f39v|f87r|f99r|f104r|f106r	5	5	1	5	5	f39v|f87r|f99r|f104r|f106r	5	5	0	5	0	0	0	0	H|A|1:1|H|B|2:1|P|A|1:1|S|B|3:2	0	NONE	NONE	0
chkodal	LEFT_WHOLE_PLUS_DAL	chko	1	1	f53v	1	1	1	1	1	f53v	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
chodal	LEFT_WHOLE_PLUS_DAL	cho	5	4	f13v|f39v|f106v|f114r	4	5	1	4	3	f13v|f106v|f114r	3	4	0	3	1	0	0	1	H|A|1:1|S|B|3:3	0	NONE	NONE	0
choddal	LEFT_WHOLE_PLUS_DAL	chod	1	1	f32r	1	1	1	1	1	f32r	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
chokedal	LEFT_WHOLE_PLUS_DAL	choke	1	1	f108r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
choldal	LEFT_WHOLE_PLUS_DAL	chol	1	1	f58r	1	1	1	1	1	f58r	1	1	0	1	0	0	0	0	S|A|3:1	0	NONE	NONE	0
cphodal	LEFT_WHOLE_PLUS_DAL	cpho	1	1	f51r	1	1	1	1	1	f51r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
