surface	family_class	left_whole	page	physical_folio	locus	token_ordinal	token_index	surface_rank_in_current_line	line_token_count	line_position	norm_position	section	language	hand	paragraph_start_line	paragraph_end_line	true_paragraph_start	true_paragraph_end	left_surface	right_surface	reader_exact	zl3b_surface_count	it2a_surface_count	rf1b_surface_count	reader_exact_method	current_line	component_export_credit	occurrence_id
dal	BARE_DAL	NONE	f2r	f2	f2r.11	2	2	1	9	MIDDLE	0.125000000000	H	A	1	0	0	0	0	ychain	chy	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	ychain dal chy dalor shan dan olsaiin sheey ckhor	0	G788-O001
odal	LEFT_WHOLE_PLUS_DAL	o	f4r	f4	f4r.10	1	1	1	4	FIRST	0.000000000000	H	A	1	0	0	0	0	EDGE	shor	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	odal shor shyshol cphaiin	0	G788-O002
dal	BARE_DAL	NONE	f5v	f5	f5v.5	6	6	1	8	MIDDLE	0.714285714286	H	A	1	0	0	0	0	daiin	chol	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	shokeeol chor cheotol otchol daiin dal chol chotaiin	0	G788-O003
dal	BARE_DAL	NONE	f6v	f6	f6v.9	2	2	1	5	MIDDLE	0.250000000000	H	A	1	0	0	0	0	oeeo	chor	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	oeeo dal chor cthom s	0	G788-O004
dal	BARE_DAL	NONE	f8v	f8	f8v.12	4	4	1	8	MIDDLE	0.428571428571	H	A	1	1	0	0	0	rol	shear	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	pchar cho rol dal shear chchotaiin chal daiin	0	G788-O005
shydal	LEFT_WHOLE_PLUS_DAL	shy	f9r	f9	f9r.6	7	7	1	8	MIDDLE	0.857142857143	H	A	1	1	0	0	0	sy	chdy	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	pshoain cthoaiin okaiir odoral shar sy shydal chdy	0	G788-O006
dal	BARE_DAL	NONE	f9r	f9	f9r.8	7	7	1	9	MIDDLE	0.750000000000	H	A	1	0	0	0	0	d	s	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	qotcho qokchy cthey koraiin okain d dal s olshocthy	0	G788-O007
ydal	LEFT_WHOLE_PLUS_DAL	y	f13r	f13	f13r.2	5	5	1	11	MIDDLE	0.400000000000	H	A	1	0	0	0	0	shkchy	shy	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	dchol chol dol shkchy ydal shy ykchy qoty daiin s y	0	G788-O008
chodal	LEFT_WHOLE_PLUS_DAL	cho	f13v	f13	f13v.2	3	3	1	6	MIDDLE	0.400000000000	H	A	1	0	0	0	0	qokol	otchol	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	oko qokol chodal otchol cphol choty	0	G788-O009
dal	BARE_DAL	NONE	f13v	f13	f13v.10	6	6	1	6	LAST	1.000000000000	H	A	1	0	1	0	1	kchor	EDGE	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	y ol chy kchey kchor dal	0	G788-O010
dal	BARE_DAL	NONE	f16v	f16	f16v.4	5	5	1	5	LAST	1.000000000000	H	A	1	0	0	0	0	chotol	EDGE	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	dchol chcthody cphod chotol dal	0	G788-O011
cthodal	LEFT_WHOLE_PLUS_DAL	ctho	f17v	f17	f17v.2	3	3	1	6	MIDDLE	0.400000000000	H	A	1	0	0	0	0	keeor	okol	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	ycheey keeor cthodal okol odaiin okal	0	G788-O012
dal	BARE_DAL	NONE	f18r	f18	f18r.1	9	9	1	9	LAST	1.000000000000	H	A	1	1	0	0	0	octhor	EDGE	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	pdrairdy darod yoar ykchol dar om chckhy octhor dal	0	G788-O013
dal	BARE_DAL	NONE	f18r	f18	f18r.6	8	8	1	8	LAST	1.000000000000	H	A	1	0	0	0	0	dar	EDGE	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	ychy kchor dair ytol chcthy dar dar dal	0	G788-O014
