page	physical_folio	locus	left_surface	right_surface	separated_pair	left_token_ordinal	right_token_ordinal	line_token_count	line_position_of_dal	paragraph_start_line	paragraph_end_line	section	language	hand	both_tokens_reader_exact	zl3b_pair_count	it2a_pair_count	rf1b_pair_count	all_three_readers_preserve_pair	clean_exact_span	current_line	component_export_credit
f2r	f2	f2r.11	ychain	dal	ychain dal	1	2	9	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	ychain dal chy dalor shan dan olsaiin sheey ckhor	0
f5v	f5	f5v.5	daiin	dal	daiin dal	5	6	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	shokeeol chor cheotol otchol daiin dal chol chotaiin	0
f6v	f6	f6v.9	oeeo	dal	oeeo dal	1	2	5	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	oeeo dal chor cthom s	0
f8v	f8	f8v.12	rol	dal	rol dal	3	4	8	MIDDLE	1	0	H	A	1	1	1	1	1	1	1	pchar cho rol dal shear chchotaiin chal daiin	0
f9r	f9	f9r.8	d	dal	d dal	6	7	9	MIDDLE	0	0	H	A	1	0	1	1	0	0	0	qotcho qokchy cthey koraiin okain d dal s olshocthy	0
f13v	f13	f13v.10	kchor	dal	kchor dal	5	6	6	LAST	0	1	H	A	1	1	1	1	1	1	1	y ol chy kchey kchor dal	0
f16r	f16	f16r.10	daly	dal	daly dal	2	3	7	MIDDLE	1	0	H	A	1	0	1	0	0	0	0	toror daly dal opchy fchol ypcho okal	0
f16v	f16	f16v.4	chotol	dal	chotol dal	4	5	5	LAST	0	0	H	A	1	1	1	1	1	1	1	dchol chcthody cphod chotol dal	0
f18r	f18	f18r.1	octhor	dal	octhor dal	8	9	9	LAST	1	0	H	A	1	0	1	0	0	0	0	pdrairdy darod yoar ykchol dar om chckhy octhor dal	0
f18r	f18	f18r.6	dar	dal	dar dal	7	8	8	LAST	0	0	H	A	1	1	1	1	1	1	1	ychy kchor dair ytol chcthy dar dar dal	0
f19r	f19	f19r.8	daky	dal	daky dal	3	4	7	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	or chor daky dal chor dorl shy	0
f21v	f21	f21v.3	daiin	dal	daiin dal	8	9	9	LAST	0	0	H	A	1	1	1	1	1	1	1	qotol keeees chotchy tcho choty chor qotol daiin dal	0
f23r	f23	f23r.1	ololdy	dal	ololdy dal	11	12	12	LAST	1	0	H	A	1	1	1	1	1	1	1	pydchdom chy fcholdy oty otchol shy opyaiin y yfchy daiin ololdy dal	0
f23r	f23	f23r.8	s	dal	s dal	8	9	10	MIDDLE	0	0	H	A	1	0	1	0	1	0	0	qokshy char daiir qokaiin olol qoaiin ykchy s dal okchy	0
f23r	f23	f23r.9	dy	dal	dy dal	5	6	12	MIDDLE	0	0	H	A	1	0	1	1	0	0	0	okol ok shy qokol dy dal dshe qokeees y oly daiin dal	0
f23r	f23	f23r.9	daiin	dal	daiin dal	11	12	12	LAST	0	0	H	A	1	0	1	1	1	1	0	okol ok shy qokol dy dal dshe qokeees y oly daiin dal	0
f23v	f23	f23v.4	ol	dal	ol dal	4	5	7	MIDDLE	0	0	H	A	1	0	1	0	0	0	0	okchey dair sholol ol dal otchor dar	0
f23v	f23	f23v.9	otshy	dal	otshy dal	1	2	10	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	otshy dal dar oldar ar or qoto l chees g	0
