occurrence_id	surface	left_whole	page	physical_folio	locus	stolfi_page_row_count	stolfi_same_locus_present	stolfi_whole_count	stolfi_split_left_dal_count	stolfi_raw_split_separator	boundary_status	component_export_credit
G788-O001	dal	NONE	f2r	f2	f2r.11	8	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O002	odal	o	f4r	f4	f4r.10	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O003	dal	NONE	f5v	f5	f5v.5	6	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O004	dal	NONE	f6v	f6	f6v.9	21	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O005	dal	NONE	f8v	f8	f8v.12	17	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O006	shydal	shy	f9r	f9	f9r.6	3	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O007	dal	NONE	f9r	f9	f9r.8	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O008	ydal	y	f13r	f13	f13r.2	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O009	chodal	cho	f13v	f13	f13v.2	3	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O010	dal	NONE	f13v	f13	f13v.10	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O011	dal	NONE	f16v	f16	f16v.4	13	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O012	cthodal	ctho	f17v	f17	f17v.2	11	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O013	dal	NONE	f18r	f18	f18r.1	3	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O014	dal	NONE	f18r	f18	f18r.6	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O015	otchdal	otch	f18v	f18	f18v.1	10	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O016	dal	NONE	f19r	f19	f19r.8	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O017	tcheodal	tcheo	f20r	f20	f20r.3	6	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O018	dal	NONE	f21v	f21	f21v.3	8	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O019	dal	NONE	f23r	f23	f23r.1	5	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O020	daiidal	daii	f23r	f23	f23r.6	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O021	dal	NONE	f23r	f23	f23r.9	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O022	odal	o	f23r	f23	f23r.10	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O023	dal	NONE	f23v	f23	f23v.9	12	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O024	dal	NONE	f24r	f24	f24r.9	20	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O025	dal	NONE	f24r	f24	f24r.15	20	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O026	dal	NONE	f24r	f24	f24r.16	20	1	2	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O027	dal	NONE	f24r	f24	f24r.16	20	1	2	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O028	ydal	y	f24v	f24	f24v.4	16	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O029	otolodal	otolo	f24v	f24	f24v.13	16	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O030	dal	NONE	f27r	f27	f27r.8	13	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O031	dal	NONE	f30v	f30	f30v.3	4	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O032	dal	NONE	f31r	f31	f31r.6	5	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O033	dal	NONE	f31r	f31	f31r.11	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O034	dal	NONE	f32r	f32	f32r.2	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O035	choddal	chod	f32r	f32	f32r.4	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O036	chdal	ch	f33r	f33	f33r.3	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O037	dal	NONE	f33v	f33	f33v.9	11	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O038	dal	NONE	f34r	f34	f34r.7	15	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O039	chdal	ch	f34r	f34	f34r.12	15	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O040	dal	NONE	f35r	f35	f35r.11	3	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O041	dal	NONE	f36v	f36	f36v.6	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O042	odal	o	f39r	f39	f39r.9	16	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O043	cheodal	cheo	f39v	f39	f39v.12	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O044	dal	NONE	f40r	f40	f40r.11	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O045	dal	NONE	f42r	f42	f42r.3	16	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O046	dal	NONE	f42r	f42	f42r.12	16	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O047	sodal	so	f42v	f42	f42v.8	10	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O048	okedal	oke	f43v	f43	f43v.6	16	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O049	pykydal	pyky	f45r	f45	f45r.1	4	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G788-O050	dal	NONE	f45r	f45	f45r.6	4	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O051	dal	NONE	f45r	f45	f45r.10	4	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O052	odal	o	f45v	f45	f45v.8	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O053	kchdal	kch	f47r	f47	f47r.4	11	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O054	dal	NONE	f48r	f48	f48r.1	3	1	1	0	NONE	BARE_DAL_AT_SAME_LOCUS	0
G788-O055	odal	o	f48r	f48	f48r.3	3	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O056	fcheodal	fcheo	f48v	f48	f48v.7	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O057	ytchedal	ytche	f48v	f48	f48v.10	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O058	opcheodal	opcheo	f49v	f49	f49v.28	45	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G788-O059	qchodal	qcho	f51r	f51	f51r.9	6	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O060	dal	NONE	f51r	f51	f51r.9	6	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G788-O061	pchodal	pcho	f51r	f51	f51r.12	6	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
