x	target_surface	learned_whole_donors	learned_whole_min_edit_distance	selection_features	target_similarity_used_for_selection	semantic_value_used_for_selection	all_donors_outside_996_mask	component_export_credit
ch	chdal	chtol	2	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
che	chedal	cheeol	2	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
o	odal	alam|chl|oteol	3	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
oke	okedal	oteeo|oteos	4	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
ol	oldal	chtol|oteeo|oteos	4	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
ote	otedal	oteeo|oteos|okeeol	3	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
qo	qodal	alam|chtol|oteol	4	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
qoke	qokedal	chckhd|keeody|dsheey	6	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
sh	shdal	chtol|sheeo	3	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
she	shedal	cheeol|dshedy|sheedy	3	LENGTH|EXACT_FREQUENCY_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	0
