page	physical_folio	locus	left_surface	right_surface	separated_pair	left_token_ordinal	right_token_ordinal	line_token_count	line_position_of_dal	paragraph_start_line	paragraph_end_line	section	language	hand	both_tokens_reader_exact	zl3b_pair_count	it2a_pair_count	rf1b_pair_count	all_three_readers_preserve_pair	clean_exact_span	current_line	component_export_credit	span_id
f2r	f2	f2r.11	ychain	dal	ychain dal	1	2	9	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	ychain dal chy dalor shan dan olsaiin sheey ckhor	0	G788-S001
f5v	f5	f5v.5	daiin	dal	daiin dal	5	6	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	shokeeol chor cheotol otchol daiin dal chol chotaiin	0	G788-S002
f6v	f6	f6v.9	oeeo	dal	oeeo dal	1	2	5	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	oeeo dal chor cthom s	0	G788-S003
f8v	f8	f8v.12	rol	dal	rol dal	3	4	8	MIDDLE	1	0	H	A	1	1	1	1	1	1	1	pchar cho rol dal shear chchotaiin chal daiin	0	G788-S004
f13v	f13	f13v.10	kchor	dal	kchor dal	5	6	6	LAST	0	1	H	A	1	1	1	1	1	1	1	y ol chy kchey kchor dal	0	G788-S005
f16v	f16	f16v.4	chotol	dal	chotol dal	4	5	5	LAST	0	0	H	A	1	1	1	1	1	1	1	dchol chcthody cphod chotol dal	0	G788-S006
f18r	f18	f18r.6	dar	dal	dar dal	7	8	8	LAST	0	0	H	A	1	1	1	1	1	1	1	ychy kchor dair ytol chcthy dar dar dal	0	G788-S007
f19r	f19	f19r.8	daky	dal	daky dal	3	4	7	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	or chor daky dal chor dorl shy	0	G788-S008
f21v	f21	f21v.3	daiin	dal	daiin dal	8	9	9	LAST	0	0	H	A	1	1	1	1	1	1	1	qotol keeees chotchy tcho choty chor qotol daiin dal	0	G788-S009
f23r	f23	f23r.1	ololdy	dal	ololdy dal	11	12	12	LAST	1	0	H	A	1	1	1	1	1	1	1	pydchdom chy fcholdy oty otchol shy opyaiin y yfchy daiin ololdy dal	0	G788-S010
f23v	f23	f23v.9	otshy	dal	otshy dal	1	2	10	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	otshy dal dar oldar ar or qoto l chees g	0	G788-S011
f24r	f24	f24r.9	dol	dal	dol dal	4	5	5	LAST	0	0	H	A	1	1	1	1	1	1	1	odaiin ckham qodaiy dol dal	0	G788-S012
f24r	f24	f24r.15	ol	dal	ol dal	3	4	5	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	ockhoees oeees ol dal s	0	G788-S013
f24r	f24	f24r.16	okeal	dal	okeal dal	2	3	5	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	sham okeal dal dam dal	0	G788-S014
f24r	f24	f24r.16	dam	dal	dam dal	4	5	5	LAST	0	0	H	A	1	1	1	1	1	1	1	sham okeal dal dam dal	0	G788-S015
f30v	f30	f30v.3	chokeor	dal	chokeor dal	6	7	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	chotchol daiin cthol doiin daiin chokeor dal chtoy	0	G788-S016
f31r	f31	f31r.6	aiin	dal	aiin dal	7	8	8	LAST	1	0	H	B	2	1	1	1	1	1	1	tshokeody qokedy qotedy chepos cheda s aiin dal	0	G788-S017
f31r	f31	f31r.11	qokchy	dal	qokchy dal	2	3	9	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	olsheol qokchy dal chey deey kchy keey okaiiin ykeey	0	G788-S018
f32r	f32	f32r.2	ckhy	dal	ckhy dal	4	5	7	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	okor okchor sheor ckhy dal dshodar qotchol	0	G788-S019
f33v	f33	f33v.9	okain	dal	okain dal	12	13	14	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy	0	G788-S020
f34r	f34	f34r.7	qokedy	dal	qokedy dal	1	2	10	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	qokedy dal chdy olchy ykchy ykedy qokchdy s as oldam	0	G788-S021
f35r	f35	f35r.11	lchal	dal	lchal dal	6	7	10	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	sheaiin chol cthaiin l chaiin lchal dal dair aldy n	0	G788-S022
f36v	f36	f36v.6	daiin	dal	daiin dal	3	4	5	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	daiin cthor daiin dal dys	0	G788-S023
f40r	f40	f40r.11	ory	dal	ory dal	3	4	4	LAST	0	1	H	B	2	1	1	1	1	1	1	toar ykaiin ory dal	0	G788-S024
f42r	f42	f42r.3	chain	dal	chain dal	4	5	5	LAST	0	0	H	A	1	1	1	1	1	1	1	toshy chtshar chotar chain dal	0	G788-S025
f42r	f42	f42r.12	dain	dal	dain dal	7	8	8	LAST	0	0	H	A	1	1	1	1	1	1	1	dcheey chol shol chokaiin choeky d dain dal	0	G788-S026
f45r	f45	f45r.6	otar	dal	otar dal	6	7	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	otchar okchar daiin ytchody tcholol otar dal dary	0	G788-S027
f45r	f45	f45r.10	cheol	dal	cheol dal	8	9	9	LAST	0	0	H	A	1	1	1	1	1	1	1	okaiin shar yky oky kair daldy dalor cheol dal	0	G788-S028
f51r	f51	f51r.9	qchodal	dal	qchodal dal	4	5	7	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	tol daiin daim qchodal dal qody qoetam	0	G788-S029
f53r	f53	f53r.6	chees	dal	chees dal	8	9	9	LAST	0	0	H	A	1	1	1	1	1	1	1	ykeodar oqoor o odor chain qokod ykchdy chees dal	0	G788-S030
f54v	f54	f54v.10	qokal	dal	qokal dal	4	5	6	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	kol aiin chckhy qokal dal qocthy	0	G788-S031
