edge_id	batch_id	page	physical_folio	locus	left_surface	separated_pair	fused_surface_if_observed	working_dal_default_de	semantic_score_eligible	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	historical_word_credit	phonetic_or_eva_letter_credit	component_export_credit
G788-E001	GDT788_SEPARATED_X_DAL_SPANS	f2r	f2	f2r.11	ychain	ychain dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E002	GDT788_SEPARATED_X_DAL_SPANS	f5v	f5	f5v.5	daiin	daiin dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E003	GDT788_SEPARATED_X_DAL_SPANS	f6v	f6	f6v.9	oeeo	oeeo dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E004	GDT788_SEPARATED_X_DAL_SPANS	f8v	f8	f8v.12	rol	rol dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E005	GDT788_SEPARATED_X_DAL_SPANS	f13v	f13	f13v.10	kchor	kchor dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E006	GDT788_SEPARATED_X_DAL_SPANS	f16v	f16	f16v.4	chotol	chotol dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E007	GDT788_SEPARATED_X_DAL_SPANS	f18r	f18	f18r.6	dar	dar dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E008	GDT788_SEPARATED_X_DAL_SPANS	f19r	f19	f19r.8	daky	daky dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E009	GDT788_SEPARATED_X_DAL_SPANS	f21v	f21	f21v.3	daiin	daiin dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E010	GDT788_SEPARATED_X_DAL_SPANS	f23r	f23	f23r.1	ololdy	ololdy dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E011	GDT788_SEPARATED_X_DAL_SPANS	f23v	f23	f23v.9	otshy	otshy dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E012	GDT788_SEPARATED_X_DAL_SPANS	f24r	f24	f24r.9	dol	dol dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E013	GDT788_SEPARATED_X_DAL_SPANS	f24r	f24	f24r.15	ol	ol dal	oldal	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E014	GDT788_SEPARATED_X_DAL_SPANS	f24r	f24	f24r.16	okeal	okeal dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E015	GDT788_SEPARATED_X_DAL_SPANS	f24r	f24	f24r.16	dam	dam dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E016	GDT788_SEPARATED_X_DAL_SPANS	f30v	f30	f30v.3	chokeor	chokeor dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E017	GDT788_SEPARATED_X_DAL_SPANS	f31r	f31	f31r.6	aiin	aiin dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E018	GDT788_SEPARATED_X_DAL_SPANS	f31r	f31	f31r.11	qokchy	qokchy dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
G788-E019	GDT788_SEPARATED_X_DAL_SPANS	f32r	f32	f32r.2	ckhy	ckhy dal	NONE	Material I, abgemessen	0	0	0	0	0	0	0	0
