cell_id	prefix	tail	surface	tail_candidate_structural_tag_not_translation	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_physical_folios	candidate_semantic_credit	component_export_credit
G788-L01-01	ch	al	chal	MATERIAL_I_UNMEASURED_CANDIDATE	35	20	17	f3|f8|f23|f42|f58|f75|f76|f77|f81|f83|f86|f103|f107|f108|f111|f113|f116	0	0
G788-L01-02	ch	dal	chdal	MATERIAL_I_MEASURED_CANDIDATE	13	11	11	f33|f34|f83|f85|f86|f105|f106|f108|f112|f114|f115	0	0
G788-L01-03	ch	ar	char	PART_I_UNMEASURED_CANDIDATE	55	40	29	f4|f6|f8|f10|f23|f24|f27|f34|f35|f38|f42|f45|f47|f55|f58|f75|f76|f82|f83|f94|f103|f104|f106|f107|f108|f111|f112|f113|f116	0	0
G788-L01-04	ch	dar	chdar	PART_I_MEASURED_CANDIDATE	12	8	7	f76|f78|f86|f104|f108|f114|f115	0	0
G788-L02-01	che	al	cheal	MATERIAL_I_UNMEASURED_CANDIDATE	25	12	9	f8|f42|f58|f82|f83|f103|f108|f111|f113	0	0
G788-L02-02	che	dal	chedal	MATERIAL_I_MEASURED_CANDIDATE	15	10	7	f77|f103|f104|f105|f108|f112|f114	0	0
G788-L02-03	che	ar	chear	PART_I_UNMEASURED_CANDIDATE	38	23	21	f6|f8|f17|f23|f28|f35|f53|f58|f76|f79|f83|f86|f88|f89|f104|f106|f108|f111|f112|f113|f116	0	0
G788-L02-04	che	dar	chedar	PART_I_MEASURED_CANDIDATE	16	11	9	f78|f81|f82|f104|f106|f108|f112|f114|f115	0	0
G788-L03-01	o	al	oal	MATERIAL_I_UNMEASURED_CANDIDATE	2	2	2	f17|f113	0	0
G788-L03-02	o	dal	odal	MATERIAL_I_MEASURED_CANDIDATE	11	11	10	f4|f23|f39|f45|f48|f77|f89|f105|f106|f113	0	0
G788-L03-03	o	ar	oar	PART_I_UNMEASURED_CANDIDATE	9	8	7	f5|f58|f86|f93|f94|f112|f114	0	0
G788-L03-04	o	dar	odar	PART_I_MEASURED_CANDIDATE	17	15	13	f26|f32|f52|f75|f85|f86|f87|f96|f104|f105|f107|f108|f114	0	0
G788-L04-01	oke	al	okeal	MATERIAL_I_UNMEASURED_CANDIDATE	8	7	7	f24|f30|f58|f103|f108|f111|f112	0	0
G788-L04-02	oke	dal	okedal	MATERIAL_I_MEASURED_CANDIDATE	2	2	2	f43|f112	0	0
G788-L04-03	oke	ar	okear	PART_I_UNMEASURED_CANDIDATE	3	3	3	f102|f108|f111	0	0
G788-L04-04	oke	dar	okedar	PART_I_MEASURED_CANDIDATE	2	2	2	f103|f108	0	0
G788-L05-01	ol	al	olal	MATERIAL_I_UNMEASURED_CANDIDATE	5	5	5	f80|f83|f107|f108|f113	0	0
G788-L05-02	ol	dal	oldal	MATERIAL_I_MEASURED_CANDIDATE	2	2	2	f88|f114	0	0
G788-L05-03	ol	ar	olar	PART_I_UNMEASURED_CANDIDATE	7	6	6	f34|f46|f58|f80|f105|f113	0	0
G788-L05-04	ol	dar	oldar	PART_I_MEASURED_CANDIDATE	5	5	5	f23|f34|f85|f87|f88	0	0
G788-L06-01	ote	al	oteal	MATERIAL_I_UNMEASURED_CANDIDATE	5	4	4	f103|f108|f111|f113	0	0
G788-L06-02	ote	dal	otedal	MATERIAL_I_MEASURED_CANDIDATE	3	3	3	f82|f108|f114	0	0
G788-L06-03	ote	ar	otear	PART_I_UNMEASURED_CANDIDATE	3	3	3	f100|f103|f112	0	0
G788-L06-04	ote	dar	otedar	PART_I_MEASURED_CANDIDATE	3	3	2	f108|f112	0	0
G788-L07-01	qo	al	qoal	MATERIAL_I_UNMEASURED_CANDIDATE	4	4	4	f58|f83|f108|f114	0	0
G788-L07-02	qo	dal	qodal	MATERIAL_I_MEASURED_CANDIDATE	6	6	6	f51|f52|f53|f54|f85|f104	0	0
G788-L07-03	qo	ar	qoar	PART_I_UNMEASURED_CANDIDATE	7	7	7	f58|f86|f87|f89|f103|f104|f106	0	0
G788-L07-04	qo	dar	qodar	PART_I_MEASURED_CANDIDATE	7	6	6	f3|f17|f24|f86|f90|f94	0	0
G788-L08-01	qoke	al	qokeal	MATERIAL_I_UNMEASURED_CANDIDATE	4	4	4	f58|f83|f94|f108	0	0
G788-L08-02	qoke	dal	qokedal	MATERIAL_I_MEASURED_CANDIDATE	2	2	2	f82|f105	0	0
G788-L08-03	qoke	ar	qokear	PART_I_UNMEASURED_CANDIDATE	4	3	3	f83|f107|f111	0	0
G788-L08-04	qoke	dar	qokedar	PART_I_MEASURED_CANDIDATE	4	4	4	f39|f76|f78|f83	0	0
G788-L09-01	sh	al	shal	MATERIAL_I_UNMEASURED_CANDIDATE	11	9	7	f75|f79|f80|f103|f108|f111|f113	0	0
G788-L09-02	sh	dal	shdal	MATERIAL_I_MEASURED_CANDIDATE	3	3	3	f77|f103|f112	0	0
G788-L09-03	sh	ar	shar	PART_I_UNMEASURED_CANDIDATE	24	21	19	f3|f4|f9|f45|f52|f55|f58|f77|f80|f82|f86|f89|f103|f104|f106|f107|f111|f113|f116	0	0
G788-L09-04	sh	dar	shdar	PART_I_MEASURED_CANDIDATE	7	6	5	f85|f86|f103|f106|f115	0	0
