surface	profile_role	prefix	tail	reader_exact_occurrences	physical_folios	register_json	line_position_json	line_third_json	paragraph_boundary_json	left_status_json	right_status_json	left_positive_axes_json	right_positive_axes_json	close_proximity_json	semantic_sources_masked	component_export_credit
al	BARE_CORE	NONE	al	167	39	"{""B|B|2"":0.1367521367521368,""H|A|1"":0.15384615384615388,""H|B|2"":0.10256410256410259,""H|B|3"":0.025641025641025647,""H|B|5"":0.051282051282051294,""P|A|1"":0.10256410256410259,""S|A|3"":0.025641025641025644,""S|B|3"":0.2934472934472933,""S|B|@"":0.014245014245014249,""T|B|2"":0.06837606837606841,""T|B|5"":0.025641025641025647}"	"{""LAST"":0.1999185999186001,""MIDDLE"":0.8000814000813999}"	"{""F"":0.202075702075702,""L"":0.49126984126984136,""M"":0.30665445665445656}"	"{""0|0"":1.0}"	"{""EXACT"":0.7267195767195765,""NONEXACT"":0.27328042328042335}"	"{""EDGE"":0.1999185999186,""EXACT"":0.6407407407407406,""NONEXACT"":0.15934065934065944}"	"{""CLOSE"":0.065852314474651,""COLD"":0.02893093313739897,""DRY"":0.14441587068332107,""END_STAGE"":0.07558780308596622,""HOT"":0.07351212343864806,""LEVEL_II"":0.02893093313739897,""MATERIAL"":0.04307494489346069,""MIDDLE_STAGE"":0.011058045554739162,""MOIST"":0.12215282880235122,""PART"":0.029022777369581188,""PREPARATION"":0.2521491550330639,""PROCESS"":0.009735488611315209,""VALUE"":0.11557678177810433}"	"{""AMOUNT"":0.06786850477200423,""BEGIN_STAGE"":0.010604453870625662,""CLOSE"":0.04586426299045599,""COLD"":0.003976670201484623,""DRY"":0.012725344644750794,""END_STAGE"":0.05540827147401909,""HOT"":0.03976670201484623,""LEVEL_III"":0.012725344644750796,""MATERIAL"":0.15588547189819724,""MIDDLE_STAGE"":0.06362672322375398,""MOIST"":0.11134676564156945,""PART"":0.005302226935312831,""PREPARATION"":0.1142629904559915,""VALUE"":0.3006362672322376}"	"{""L1"":0.26011246145474337,""L2"":0.02285506983493561,""L3"":0.2294576455650281,""R1"":0.19299836749501179,""R2"":0.04063123526210775,""R3"":0.2539452203881734}"	1	0
dal	BARE_CORE	NONE	dal	147	58	"{""B|B|2"":0.1436781609195401,""C|B|2"":0.004926108374384237,""H|A|1"":0.4310344827586208,""H|B|2"":0.06896551724137932,""H|B|3"":0.03448275862068966,""H|B|5"":0.03448275862068966,""P|A|1"":0.05172413793103449,""S|A|3"":0.017241379310344834,""S|B|3"":0.15517241379310348,""S|B|@"":0.01724137931034483,""T|B|2"":0.041050903119868636}"	"{""FIRST"":0.009099616858237552,""LAST"":0.2914477285166941,""MIDDLE"":0.6972974822112753,""SINGLE"":0.0021551724137931043}"	"{""F"":0.1728379857690202,""L"":0.6140325670498086,""M"":0.21312944718117127}"	"{""0|0"":0.9597701149425287,""0|1"":0.04022988505747128}"	"{""EDGE"":0.011254789272030651,""EXACT"":0.8079091406677614,""NONEXACT"":0.18083607006020797}"	"{""EDGE"":0.2936029009304871,""EXACT"":0.5550697865353039,""NONEXACT"":0.15132731253420906}"	"{""AMOUNT"":0.07218148487626032,""BEGIN_STAGE"":0.04491292392300642,""CLOSE"":0.006874427131072411,""COLD"":0.08501374885426215,""DRY"":0.19248395967002752,""END_STAGE"":0.022914757103574705,""HOT"":0.11274060494958753,""MATERIAL"":0.09624197983501376,""MIDDLE_STAGE"":0.014894592117323559,""MOIST"":0.036892758936755275,""PREPARATION"":0.2293767186067828,""PROCESS"":0.03368469294225481,""VALUE"":0.051787351054078834}"	"{""AMOUNT"":0.14110730034296914,""BEGIN_STAGE"":0.004572921770373999,""CLOSE"":0.07206434754205455,""DRY"":0.06116282867875225,""END_STAGE"":0.19553323534215256,""HOT"":0.05744732974032336,""LEVEL_III"":0.027437530622243998,""MATERIAL"":0.02449779519843214,""MIDDLE_STAGE"":0.015433610975012248,""MOIST"":0.12346888780009799,""PART"":0.041156295933366,""PREPARATION"":0.13980075126571942,""PROCESS"":0.041156295933366,""VALUE"":0.055160868855136366}"	"{""L1"":0.025873221216041395,""L2"":0.10866752910737386,""L3"":0.41576829092999856,""R1"":0.1793157970389536,""R2"":0.20698576972833116,""R3"":0.06338939197930142}"	1	0
chal	PRIMARY_LATTICE	ch	al	35	17	"{""B|B|2"":0.23529411764705882,""H|A|1"":0.23529411764705882,""S|A|3"":0.058823529411764705,""S|B|3"":0.35294117647058826,""T|B|2"":0.11764705882352941}"	"{""LAST"":0.20588235294117654,""MIDDLE"":0.7941176470588234}"	"{""F"":0.27941176470588236,""L"":0.3823529411764705,""M"":0.3382352941176471}"	"{""0|0"":0.9117647058823529,""0|1"":0.08823529411764706}"	"{""EXACT"":0.8284313725490196,""NONEXACT"":0.17156862745098042}"	"{""EDGE"":0.20588235294117652,""EXACT"":0.6470588235294117,""NONEXACT"":0.14705882352941183}"	"{""CLOSE"":0.02531645569620253,""COLD"":0.0379746835443038,""DRY"":0.04746835443037975,""END_STAGE"":0.09282700421940927,""HOT"":0.16983122362869194,""LEVEL_II"":0.060126582278481014,""LEVEL_III"":0.09282700421940927,""MATERIAL"":0.0379746835443038,""MIDDLE_STAGE"":0.02531645569620253,""MOIST"":0.02531645569620253,""PREPARATION"":0.11392405063291138,""PROCESS"":0.02531645569620253,""VALUE"":0.2457805907172996}"	"{""AMOUNT"":0.25,""DRY"":0.08333333333333334,""END_STAGE"":0.11111111111111112,""HOT"":0.11111111111111112,""MIDDLE_STAGE"":0.125,""MOIST"":0.04166666666666667,""PROCESS"":0.04166666666666667,""VALUE"":0.23611111111111113}"	"{""L1"":0.4000000000000001,""R2"":0.30000000000000004,""R3"":0.30000000000000004}"	1	0
chdal	PRIMARY_LATTICE	ch	dal	13	11	"{""B|B|2"":0.09090909090909091,""H|B|2"":0.18181818181818182,""S|B|3"":0.5454545454545455,""T|B|2"":0.18181818181818182}"	"{""MIDDLE"":1.0}"	"{""F"":0.030303030303030297,""L"":0.4242424242424242,""M"":0.5454545454545454}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":0.6363636363636364,""NONEXACT"":0.36363636363636365}"	"{""END_STAGE"":0.3333333333333333,""HOT"":0.3333333333333333,""VALUE"":0.3333333333333333}"	{}	"{""R3"":1.0}"	1	0
char	PRIMARY_LATTICE	ch	ar	55	29	"{""B|B|2"":0.13793103448275865,""H|A|1"":0.4137931034482759,""H|B|2"":0.06896551724137932,""H|B|3"":0.03448275862068966,""S|A|3"":0.03448275862068966,""S|B|3"":0.31034482758620685}"	"{""FIRST"":0.051724137931034496,""LAST"":0.008620689655172415,""MIDDLE"":0.9396551724137931}"	"{""F"":0.4057471264367817,""L"":0.3706896551724138,""M"":0.22356321839080456}"	"{""0|0"":0.9913793103448276,""0|1"":0.008620689655172417}"	"{""EDGE"":0.05172413793103449,""EXACT"":0.8350574712643678,""NONEXACT"":0.11321839080459772}"	"{""EDGE"":0.008620689655172415,""EXACT"":0.7804597701149426,""NONEXACT"":0.21091954022988507}"	"{""AMOUNT"":0.08695652173913043,""BEGIN_STAGE"":0.06521739130434782,""COLD"":0.02898550724637681,""DRY"":0.02898550724637681,""HOT"":0.06521739130434782,""MATERIAL"":0.08695652173913043,""MOIST"":0.13043478260869565,""PREPARATION"":0.18115942028985507,""PROCESS"":0.2608695652173913,""VALUE"":0.06521739130434782}"	"{""BEGIN_STAGE"":0.059375,""CLOSE"":0.0625,""COLD"":0.078125,""DRY"":0.075,""END_STAGE"":0.075,""HOT"":0.028125,""LEVEL_III"":0.015625,""MATERIAL"":0.09375,""MIDDLE_STAGE"":0.03125,""PART"":0.1875,""PREPARATION"":0.15625,""PROCESS"":0.03125,""VALUE"":0.10625}"	"{""L2"":0.3703703703703704,""L3"":0.07407407407407408,""R1"":0.3703703703703704,""R3"":0.1851851851851852}"	1	0
chdar	PRIMARY_LATTICE	ch	dar	12	7	"{""B|B|2"":0.2857142857142857,""S|B|3"":0.5714285714285714,""T|B|2"":0.14285714285714285}"	"{""MIDDLE"":1.0}"	"{""F"":0.35714285714285715,""L"":0.6071428571428571,""M"":0.03571428571428572}"	"{""0|0"":1.0}"	"{""EXACT"":0.6428571428571429,""NONEXACT"":0.35714285714285715}"	"{""EXACT"":0.6785714285714285,""NONEXACT"":0.32142857142857145}"	"{""AMOUNT"":0.041666666666666664,""COLD"":0.1111111111111111,""DRY"":0.041666666666666664,""HOT"":0.08333333333333333,""MATERIAL"":0.1111111111111111,""MIDDLE_STAGE"":0.15277777777777776,""PART"":0.041666666666666664,""PREPARATION"":0.15277777777777776,""PROCESS"":0.1111111111111111,""VALUE"":0.15277777777777776}"	"{""BEGIN_STAGE"":0.14285714285714285,""CLOSE"":0.14285714285714285,""DRY"":0.14285714285714285,""END_STAGE"":0.14285714285714285,""HOT"":0.14285714285714285,""PREPARATION"":0.14285714285714285,""VALUE"":0.14285714285714285}"	"{""L3"":0.5,""R1"":0.4,""R3"":0.1}"	1	0
cheal	PRIMARY_LATTICE	che	al	25	9	"{""B|B|2"":0.2222222222222222,""H|A|1"":0.2222222222222222,""S|A|3"":0.1111111111111111,""S|B|3"":0.44444444444444453}"	"{""LAST"":0.055555555555555566,""MIDDLE"":0.9444444444444444}"	"{""F"":0.6111111111111112,""L"":0.18055555555555558,""M"":0.20833333333333337}"	"{""0|0"":0.9444444444444444,""0|1"":0.055555555555555566}"	"{""EXACT"":1.0}"	"{""EDGE"":0.055555555555555566,""EXACT"":0.6944444444444443,""NONEXACT"":0.25000000000000006}"	"{""DRY"":0.3787878787878788,""END_STAGE"":0.06060606060606061,""HOT"":0.4393939393939394,""LEVEL_II"":0.015151515151515152,""MIDDLE_STAGE"":0.015151515151515152,""PROCESS"":0.015151515151515152,""VALUE"":0.07575757575757576}"	"{""END_STAGE"":0.1111111111111111,""HOT"":0.3333333333333333,""MIDDLE_STAGE"":0.2222222222222222,""VALUE"":0.3333333333333333}"	{}	1	0
chedal	PRIMARY_LATTICE	che	dal	15	7	"{""B|B|2"":0.14285714285714288,""S|B|3"":0.8571428571428572}"	"{""FIRST"":0.14285714285714288,""LAST"":0.04761904761904763,""MIDDLE"":0.8095238095238095}"	"{""F"":0.44047619047619047,""L"":0.11904761904761905,""M"":0.44047619047619047}"	"{""0|0"":0.9523809523809523,""0|1"":0.04761904761904763}"	"{""EDGE"":0.14285714285714288,""EXACT"":0.5476190476190477,""NONEXACT"":0.30952380952380953}"	"{""EDGE"":0.047619047619047616,""EXACT"":0.7976190476190476,""NONEXACT"":0.15476190476190477}"	"{""AMOUNT"":0.1142857142857143,""COLD"":0.07142857142857144,""DRY"":0.1142857142857143,""END_STAGE"":0.04761904761904762,""HOT"":0.04761904761904762,""LEVEL_III"":0.04761904761904762,""MIDDLE_STAGE"":0.1142857142857143,""PREPARATION"":0.23333333333333334,""VALUE"":0.20952380952380953}"	"{""CLOSE"":0.028571428571428567,""DRY"":0.18857142857142858,""END_STAGE"":0.028571428571428567,""HOT"":0.028571428571428567,""MIDDLE_STAGE"":0.18857142857142858,""PART"":0.16,""PREPARATION"":0.028571428571428567,""PROCESS"":0.16,""VALUE"":0.18857142857142858}"	"{""L2"":0.4444444444444445,""L3"":0.22222222222222224,""R1"":0.11111111111111112,""R3"":0.22222222222222224}"	1	0
chear	PRIMARY_LATTICE	che	ar	38	21	"{""B|B|2"":0.09523809523809523,""C|B|2"":0.015873015873015872,""H|A|1"":0.3333333333333333,""P|A|1"":0.09523809523809523,""S|A|3"":0.047619047619047616,""S|B|3"":0.33333333333333337,""T|B|2"":0.07936507936507936}"	"{""LAST"":0.06349206349206347,""MIDDLE"":0.9365079365079365}"	"{""F"":0.3390022675736961,""L"":0.3208616780045352,""M"":0.3401360544217687}"	"{""0|0"":0.9523809523809523,""0|1"":0.0476190476190476}"	"{""EXACT"":0.81859410430839,""NONEXACT"":0.18140589569160995}"	"{""EDGE"":0.06349206349206347,""EXACT"":0.7403628117913833,""NONEXACT"":0.19614512471655324}"	"{""AMOUNT"":0.21428571428571427,""BEGIN_STAGE"":0.07142857142857142,""DRY"":0.08571428571428572,""HOT"":0.08571428571428572,""LEVEL_III"":0.08571428571428572,""MATERIAL"":0.21428571428571427,""PART"":0.07142857142857142,""PREPARATION"":0.08571428571428572,""VALUE"":0.08571428571428572}"	"{""AMOUNT"":0.16346153846153846,""COLD"":0.16826923076923078,""DRY"":0.20192307692307693,""END_STAGE"":0.03365384615384615,""MATERIAL"":0.028846153846153848,""PREPARATION"":0.16826923076923078,""PROCESS"":0.20192307692307693,""VALUE"":0.03365384615384615}"	"{""R3"":1.0}"	1	0
chedar	PRIMARY_LATTICE	che	dar	16	9	"{""B|B|2"":0.33333333333333326,""S|B|3"":0.5925925925925927,""S|B|@"":0.07407407407407406}"	"{""MIDDLE"":1.0}"	"{""F"":0.24074074074074073,""L"":0.44444444444444453,""M"":0.3148148148148148}"	"{""0|0"":1.0}"	"{""EXACT"":0.962962962962963,""NONEXACT"":0.037037037037037035}"	"{""EXACT"":0.8888888888888888,""NONEXACT"":0.11111111111111108}"	"{""CLOSE"":0.13333333333333333,""COLD"":0.13333333333333333,""END_STAGE"":0.24444444444444444,""HOT"":0.1111111111111111,""MIDDLE_STAGE"":0.13333333333333333,""VALUE"":0.24444444444444444}"	"{""AMOUNT"":0.19999999999999998,""END_STAGE"":0.19999999999999998,""HOT"":0.19999999999999998,""MATERIAL"":0.19999999999999998,""VALUE"":0.19999999999999998}"	"{""L1"":0.75,""R2"":0.25}"	1	0
oal	PRIMARY_LATTICE	o	al	2	2	"{""H|A|1"":0.5,""S|B|3"":0.5}"	"{""FIRST"":0.5,""MIDDLE"":0.5}"	"{""F"":1.0}"	"{""0|0"":1.0}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""EXACT"":1.0}"	{}	"{""MATERIAL"":0.3333333333333333,""MOIST"":0.3333333333333333,""PART"":0.3333333333333333}"	{}	1	0
odal	PRIMARY_LATTICE	o	dal	11	10	"{""B|B|2"":0.1,""H|A|1"":0.30000000000000004,""H|B|2"":0.1,""H|B|5"":0.1,""P|A|1"":0.1,""S|B|3"":0.30000000000000004}"	"{""FIRST"":0.1,""MIDDLE"":0.9}"	"{""F"":0.45,""L"":0.1,""M"":0.44999999999999996}"	"{""0|0"":1.0}"	"{""EDGE"":0.1,""EXACT"":0.65,""NONEXACT"":0.25}"	"{""EXACT"":0.9,""NONEXACT"":0.1}"	"{""COLD"":0.25,""END_STAGE"":0.125,""HOT"":0.125,""MATERIAL"":0.25,""PROCESS"":0.125,""VALUE"":0.125}"	"{""BEGIN_STAGE"":0.09999999999999999,""HOT"":0.09999999999999999,""MOIST"":0.35000000000000003,""PREPARATION"":0.35000000000000003,""VALUE"":0.09999999999999999}"	"{""L2"":0.5,""R3"":0.5}"	1	0
oar	PRIMARY_LATTICE	o	ar	9	7	"{""H|A|1"":0.2857142857142857,""H|B|3"":0.14285714285714285,""S|A|3"":0.14285714285714285,""S|B|3"":0.2857142857142857,""T|B|2"":0.14285714285714285}"	"{""FIRST"":0.35714285714285715,""LAST"":0.28571428571428575,""MIDDLE"":0.35714285714285715}"	"{""F"":0.42857142857142855,""L"":0.28571428571428575,""M"":0.28571428571428575}"	"{""0|0"":1.0}"	"{""EDGE"":0.35714285714285715,""EXACT"":0.6428571428571429}"	"{""EDGE"":0.28571428571428575,""EXACT"":0.6428571428571429,""NONEXACT"":0.07142857142857144}"	"{""AMOUNT"":0.5,""PREPARATION"":0.5}"	"{""AMOUNT"":1.0}"	{}	1	0
odar	PRIMARY_LATTICE	o	dar	17	13	"{""B|B|2"":0.07692307692307693,""C|B|2"":0.07692307692307693,""H|A|1"":0.3076923076923077,""H|B|2"":0.07692307692307693,""S|B|3"":0.38461538461538464,""T|B|2"":0.07692307692307693}"	"{""FIRST"":0.23076923076923078,""LAST"":0.10256410256410257,""MIDDLE"":0.6666666666666667}"	"{""F"":0.3076923076923077,""L"":0.3076923076923077,""M"":0.38461538461538464}"	"{""0|0"":1.0}"	"{""EDGE"":0.2307692307692308,""EXACT"":0.5897435897435898,""NONEXACT"":0.17948717948717952}"	"{""EDGE"":0.10256410256410259,""EXACT"":0.7948717948717948,""NONEXACT"":0.10256410256410259}"	"{""END_STAGE"":0.0625,""HOT"":0.3125,""MATERIAL"":0.25,""PREPARATION"":0.0625,""PROCESS"":0.25,""VALUE"":0.0625}"	"{""AMOUNT"":0.04,""COLD"":0.13333333333333333,""DRY"":0.17333333333333337,""MATERIAL"":0.04,""MIDDLE_STAGE"":0.04,""PREPARATION"":0.33333333333333337,""VALUE"":0.24}"	"{""L2"":0.25,""R3"":0.75}"	1	0
okeal	PRIMARY_LATTICE	oke	al	8	7	"{""H|A|1"":0.2857142857142857,""S|A|3"":0.14285714285714285,""S|B|3"":0.5714285714285714}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""L"":0.28571428571428575,""M"":0.2142857142857143}"	"{""0|0"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""EXACT"":0.9285714285714286,""NONEXACT"":0.07142857142857144}"	"{""AMOUNT"":0.3333333333333333,""BEGIN_STAGE"":0.1111111111111111,""DRY"":0.1111111111111111,""HOT"":0.2222222222222222,""PREPARATION"":0.1111111111111111,""VALUE"":0.1111111111111111}"	"{""HOT"":0.25,""MIDDLE_STAGE"":0.25,""PREPARATION"":0.25,""VALUE"":0.25}"	{}	1	0
okedal	PRIMARY_LATTICE	oke	dal	2	2	"{""H|B|2"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	{}	{}	"{""R2"":1.0}"	1	0
okear	PRIMARY_LATTICE	oke	ar	3	3	"{""P|A|1"":0.3333333333333333,""S|B|3"":0.6666666666666666}"	"{""MIDDLE"":1.0}"	"{""F"":0.6666666666666666,""L"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""PREPARATION"":0.5,""VALUE"":0.5}"	{}	{}	1	0
okedar	PRIMARY_LATTICE	oke	dar	2	2	"{""S|B|3"":1.0}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	{}	{}	{}	1	0
olal	PRIMARY_LATTICE	ol	al	5	5	"{""B|B|2"":0.4,""S|B|3"":0.6000000000000001}"	"{""LAST"":0.2,""MIDDLE"":0.8}"	"{""F"":0.2,""L"":0.6000000000000001,""M"":0.2}"	"{""0|0"":1.0}"	"{""EXACT"":0.8,""NONEXACT"":0.2}"	"{""EDGE"":0.2,""EXACT"":0.6000000000000001,""NONEXACT"":0.2}"	"{""HOT"":0.3333333333333333,""LEVEL_II"":0.3333333333333333,""VALUE"":0.3333333333333333}"	{}	{}	1	0
oldal	PRIMARY_LATTICE	ol	dal	2	2	"{""P|A|1"":0.5,""S|B|3"":0.5}"	"{""LAST"":0.5,""MIDDLE"":0.5}"	"{""F"":0.5,""L"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""AMOUNT"":0.2,""COLD"":0.2,""DRY"":0.2,""MIDDLE_STAGE"":0.2,""VALUE"":0.2}"	"{""PART"":1.0}"	"{""R3"":1.0}"	1	0
olar	PRIMARY_LATTICE	ol	ar	7	6	"{""B|B|2"":0.16666666666666666,""H|B|2"":0.3333333333333333,""S|A|3"":0.16666666666666666,""S|B|3"":0.3333333333333333}"	"{""MIDDLE"":1.0}"	"{""F"":0.3333333333333333,""L"":0.3333333333333333,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666666}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666666}"	"{""AMOUNT"":0.23333333333333334,""DRY"":0.2833333333333333,""END_STAGE"":0.1,""HOT"":0.05,""LEVEL_II"":0.05,""MATERIAL"":0.23333333333333334,""VALUE"":0.05}"	"{""MOIST"":0.5,""PREPARATION"":0.5}"	{}	1	0
oldar	PRIMARY_LATTICE	ol	dar	5	5	"{""C|B|2"":0.2,""H|A|1"":0.4,""H|B|2"":0.2,""P|A|1"":0.2}"	"{""LAST"":0.2,""MIDDLE"":0.6000000000000001,""SINGLE"":0.2}"	"{""L"":0.2,""M"":0.8}"	"{""0|0"":1.0}"	"{""EDGE"":0.2,""EXACT"":0.6000000000000001,""NONEXACT"":0.2}"	"{""EDGE"":0.4,""EXACT"":0.4,""NONEXACT"":0.2}"	{}	{}	{}	1	0
oteal	PRIMARY_LATTICE	ote	al	5	4	"{""S|B|3"":1.0}"	"{""LAST"":0.25,""MIDDLE"":0.75}"	"{""L"":0.25,""M"":0.75}"	"{""0|0"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""EDGE"":0.25,""EXACT"":0.75}"	{}	"{""COLD"":0.3333333333333333,""MIDDLE_STAGE"":0.3333333333333333,""VALUE"":0.3333333333333333}"	"{""R3"":1.0}"	1	0
otedal	PRIMARY_LATTICE	ote	dal	3	3	"{""B|B|2"":0.3333333333333333,""S|B|3"":0.6666666666666666}"	"{""MIDDLE"":0.6666666666666666,""SINGLE"":0.3333333333333333}"	"{""F"":0.3333333333333333,""L"":0.3333333333333333,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.6666666666666666}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.3333333333333333,""NONEXACT"":0.3333333333333333}"	{}	{}	{}	1	0
otear	PRIMARY_LATTICE	ote	ar	3	3	"{""P|A|1"":0.3333333333333333,""S|B|3"":0.6666666666666666}"	"{""MIDDLE"":0.6666666666666666,""SINGLE"":0.3333333333333333}"	"{""L"":0.6666666666666666,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.3333333333333333,""NONEXACT"":0.3333333333333333}"	"{""EDGE"":0.3333333333333333,""NONEXACT"":0.6666666666666666}"	{}	{}	"{""L3"":1.0}"	1	0
otedar	PRIMARY_LATTICE	ote	dar	3	2	"{""S|B|3"":1.0}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""L"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	"{""CLOSE"":0.25,""END_STAGE"":0.25,""HOT"":0.25,""VALUE"":0.25}"	{}	"{""L1"":1.0}"	1	0
qoal	PRIMARY_LATTICE	qo	al	4	4	"{""B|B|2"":0.25,""S|A|3"":0.25,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""F"":0.25,""M"":0.75}"	"{""0|0"":1.0}"	"{""EXACT"":0.75,""NONEXACT"":0.25}"	"{""EXACT"":1.0}"	"{""DRY"":0.3333333333333333,""END_STAGE"":0.3333333333333333,""VALUE"":0.3333333333333333}"	"{""CLOSE"":0.12500000000000003,""END_STAGE"":0.2916666666666667,""HOT"":0.2916666666666667,""MATERIAL"":0.12500000000000003,""VALUE"":0.16666666666666669}"	"{""R1"":0.5,""R3"":0.5}"	1	0
qodal	PRIMARY_LATTICE	qo	dal	6	6	"{""H|A|1"":0.6666666666666666,""S|B|3"":0.16666666666666666,""T|B|2"":0.16666666666666666}"	"{""MIDDLE"":1.0}"	"{""F"":0.3333333333333333,""M"":0.6666666666666666}"	"{""0|0"":1.0}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666669}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666669}"	"{""AMOUNT"":0.25,""MATERIAL"":0.25,""MIDDLE_STAGE"":0.25,""VALUE"":0.25}"	"{""AMOUNT"":1.0}"	"{""L3"":1.0}"	1	0
qoar	PRIMARY_LATTICE	qo	ar	7	7	"{""H|A|1"":0.14285714285714285,""P|A|1"":0.14285714285714285,""S|A|3"":0.14285714285714285,""S|B|3"":0.42857142857142855,""T|B|2"":0.14285714285714285}"	"{""FIRST"":0.28571428571428575,""MIDDLE"":0.7142857142857143}"	"{""F"":0.5714285714285714,""M"":0.42857142857142855}"	"{""0|0"":0.8571428571428572,""1|0"":0.14285714285714288}"	"{""EDGE"":0.28571428571428575,""EXACT"":0.7142857142857143}"	"{""EXACT"":0.8571428571428572,""NONEXACT"":0.14285714285714288}"	{}	{}	"{""R3"":1.0}"	1	0
qodar	PRIMARY_LATTICE	qo	dar	7	6	"{""H|A|1"":0.6666666666666667,""H|B|3"":0.16666666666666666,""T|B|2"":0.16666666666666666}"	"{""FIRST"":0.3333333333333333,""MIDDLE"":0.6666666666666666}"	"{""F"":0.4166666666666667,""L"":0.4166666666666667,""M"":0.16666666666666669}"	"{""0|0"":1.0}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.6666666666666666}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""BEGIN_STAGE"":0.1,""END_STAGE"":0.08333333333333333,""HOT"":0.18333333333333335,""MATERIAL"":0.125,""MOIST"":0.225,""PREPARATION"":0.1,""VALUE"":0.18333333333333335}"	"{""CLOSE"":0.09523809523809525,""COLD"":0.07142857142857144,""DRY"":0.14285714285714288,""END_STAGE"":0.2023809523809524,""HOT"":0.03571428571428572,""PREPARATION"":0.30952380952380953,""PROCESS"":0.03571428571428572,""VALUE"":0.10714285714285715}"	"{""R1"":1.0}"	1	0
qokeal	PRIMARY_LATTICE	qoke	al	4	4	"{""B|B|2"":0.25,""H|B|3"":0.25,""S|A|3"":0.25,""S|B|3"":0.25}"	"{""MIDDLE"":1.0}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":0.75,""NONEXACT"":0.25}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""BEGIN_STAGE"":0.14285714285714285,""CLOSE"":0.14285714285714285,""DRY"":0.14285714285714285,""END_STAGE"":0.14285714285714285,""HOT"":0.14285714285714285,""PREPARATION"":0.14285714285714285,""VALUE"":0.14285714285714285}"	{}	"{""L1"":1.0}"	1	0
qokedal	PRIMARY_LATTICE	qoke	dal	2	2	"{""B|B|2"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""M"":1.0}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	{}	{}	{}	1	0
qokear	PRIMARY_LATTICE	qoke	ar	4	3	"{""B|B|2"":0.3333333333333333,""S|B|3"":0.6666666666666666}"	"{""MIDDLE"":1.0}"	"{""F"":0.16666666666666669,""M"":0.8333333333333334}"	"{""0|0"":1.0}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666669}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""END_STAGE"":0.16666666666666666,""HOT"":0.16666666666666666,""MATERIAL"":0.19999999999999998,""MOIST"":0.19999999999999998,""PROCESS"":0.09999999999999999,""VALUE"":0.16666666666666666}"	{}	"{""R3"":1.0}"	1	0
