surface	card_class	preferred_working_default_de	rival_1_de	rival_2_de	preferred_mechanism	mechanism_rival_1	mechanism_rival_2	display_hypothesis_not_exportable	confidence_0_100_not_probability	confidence_label	confidence_basis	display_scope	lineage_sources	lineage_decision	positive_evidence_de	counterevidence_de	raw_occurrences	raw_page_count	raw_physical_folio_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_display_card	raw_reader_warning	replaceable	gdt788_new_renderer_license	portable_dal_component_used	prior_gdt734_reading_id	prior_gdt734_default_de	prior_gdt734_score_not_probability	prior_gdt734_renderer_decision	gdt786_default_de	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	historical_word_credit	phonetic_or_eva_letter_credit	component_export_credit
aiidal	EXACT_SINGLETON_FALLBACK	Materialposten I	Material I, abgemessen	Mengen-/Wertfeld I	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	24	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT788	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	Beobachtete vollständige Oberfläche mit 1 rohen und 1 reader-exakten Vorkommen auf 1 exakten Folios; Kartenlinie GDT788.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	1	1	1	1	1	1	1	1	0	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
chdal	EXPLICIT_OVERRIDE	trockenes Material I, abgemessen; Anfangsstufe	trockener Drogenposten	Trockenfeld der Anfangsstufe	FORM_SPECIFIC_COMPLETE_WHOLE_NO_COMPONENT_EXPORT	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	64	C1_AXIS_C0_CARRIER_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT655|GDT711|GDT712	RETAIN_FORM_SPECIFIC_WHOLE_NO_COMPONENT_EXPORT	Beobachtete vollständige Oberfläche mit 19 rohen und 13 reader-exakten Vorkommen auf 11 exakten Folios; Kartenlinie GDT655|GDT711|GDT712.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	19	15	13	1	13	11	11	1	0	1	0	0	chdal#GLOBAL	trockener abgewogener Rohstoffposten I am Gradanfang	66	INHERITED_UNCHANGED	NONE	0	0	0	0	0	0	0
chedal	EXPLICIT_OVERRIDE	trockenes Material I, abgemessen; Mittelstufe	eingedickter Drogenposten	Trockenfeld der Mittelstufe	FORM_SPECIFIC_COMPLETE_WHOLE_NO_COMPONENT_EXPORT	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	66	C1_AXIS_C0_CARRIER_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT655|GDT711|GDT712	RETAIN_FORM_SPECIFIC_WHOLE_NO_COMPONENT_EXPORT	Beobachtete vollständige Oberfläche mit 22 rohen und 15 reader-exakten Vorkommen auf 7 exakten Folios; Kartenlinie GDT655|GDT711|GDT712.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	22	15	11	1	15	10	7	1	0	1	0	0	chedal#GLOBAL	trockener abgewogener Rohstoffposten I in der Gradmitte	66	INHERITED_UNCHANGED	NONE	0	0	0	0	0	0	0
cheodal	EXPLICIT_OVERRIDE	trockenes Ansatzmaterial I, abgemessen	eingedickter Arzneiextrakt	Trocken-/Mengenfeld I	FORM_SPECIFIC_COMPLETE_WHOLE_NO_COMPONENT_EXPORT	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	44	C0_WHOLE_ANALOGY	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT	Beobachtete vollständige Oberfläche mit 5 rohen und 5 reader-exakten Vorkommen auf 5 exakten Folios; Kartenlinie GDT734|GDT788.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	5	5	5	1	5	5	5	1	0	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
chkodal	EXACT_SINGLETON_FALLBACK	Materialposten I	Material I, abgemessen	Mengen-/Wertfeld I	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	24	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT788	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	Beobachtete vollständige Oberfläche mit 1 rohen und 1 reader-exakten Vorkommen auf 1 exakten Folios; Kartenlinie GDT788.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	1	1	1	1	1	1	1	1	0	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
chodal	EXPLICIT_OVERRIDE	trockenes Material I im Ansatz	trockener Drogenposten	Trocken-/Anfangsfeld I	FORM_SPECIFIC_COMPLETE_WHOLE_NO_COMPONENT_EXPORT	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	40	C0_WHOLE_ANALOGY	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT	Beobachtete vollständige Oberfläche mit 5 rohen und 4 reader-exakten Vorkommen auf 3 exakten Folios; Kartenlinie GDT734|GDT788.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	5	4	4	1	4	3	3	1	0	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
choddal	EXACT_SINGLETON_FALLBACK	Materialposten I	Material I, abgemessen	Mengen-/Wertfeld I	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	24	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT788	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	Beobachtete vollständige Oberfläche mit 1 rohen und 1 reader-exakten Vorkommen auf 1 exakten Folios; Kartenlinie GDT788.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	1	1	1	1	1	1	1	1	0	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
chokedal	RAW_ONLY_FALLBACK	Materialposten I	Material I, abgemessen	Mengen-/Wertfeld I	RAW_READER_WARNING_ONLY	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	12	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	GDT788	RAW_READER_WARNING_ONLY	Ein rohes Vorkommen der vollständigen Oberfläche; Kartenlinie GDT788; die Anzeige verhindert eine leere Arbeitsstelle.	Kein reader-exaktes vollständiges Wort; Segmentierung und Bedeutung bleiben offen. Keine getrennte Grenze, historische Wortidentität oder Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
choldal	EXPLICIT_OVERRIDE	trockenes Drogenmaterial I, abgemessen	geröstete Pflanzendroge	Trocken-/Mengenfeld I	FORM_SPECIFIC_COMPLETE_WHOLE_NO_COMPONENT_EXPORT	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	32	C0_BOUNDARY_BRIDGE_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT788	BOUNDARY_MOBILE_WHOLE_C0	Beobachtete vollständige Oberfläche mit 1 rohen und 1 reader-exakten Vorkommen auf 1 exakten Folios; Kartenlinie GDT788.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	1	1	1	1	1	1	1	1	0	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
cphodal	EXACT_SINGLETON_FALLBACK	Materialposten I	Material I, abgemessen	Mengen-/Wertfeld I	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	PORTABLE_DAL_REMAINDER_CANDIDATE	OPAQUE_LEARNED_WHOLE_CANDIDATE	MATERIAL|MEASURE|LEVEL_I_C0_FAMILY_PRIOR	24	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT788	LEARNED_COMPLETE_WHOLE_WITH_DAL_FAMILY_DISPLAY_PRIOR	Beobachtete vollständige Oberfläche mit 1 rohen und 1 reader-exakten Vorkommen auf 1 exakten Folios; Kartenlinie GDT788.	Der SHIFT-Test schlägt beide Kontrollen nur in 2/10, der günstigere CORE-Test in 4/10 Reihen; kein reader-exakter gleichlokaler X|dal-Split und kein d|al-Split. Die Oberfläche kann ein gelernter Ganzname oder ein anderes Feld sein.	1	1	1	1	1	1	1	1	0	1	0	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0
