x	target_surface	target_reader_exact_occurrences	target_physical_folios	xal_reader_exact_occurrences	xar_reader_exact_occurrences	xdar_reader_exact_occurrences	shift_similarity	core_similarity	xal_similarity	learned_whole_similarity	learned_whole_min_edit_distance	learned_whole_donors	shift_beats_xal	shift_beats_learned_whole	shift_beats_both	core_beats_xal	core_beats_learned_whole	core_beats_both	structural_shift_similarity	structural_core_similarity	structural_xal_similarity	structural_learned_whole_similarity	local_shift_similarity	local_core_similarity	local_xal_similarity	local_learned_whole_similarity	semantic_shift_similarity	semantic_core_similarity	semantic_xal_similarity	semantic_learned_whole_similarity	full_target_defined_fields	structural_target_defined_fields	local_target_defined_fields	semantic_target_defined_fields	adversarial_best_similarity	adversarial_best_surface	shift_beats_adversarial_best	core_beats_adversarial_best	score_semantics	component_export_credit
ch	chdal	13	11	35	55	12	0.771182304138	0.721371691821	0.801886825310	0.605296406999	2	chtol	0	1	0	0	1	0	0.868487329101	0.826743624490	0.871760056431	0.807061875999	0.759143770802	0.745252653559	0.813846329093	0.640741254475	0.479267229247	0.405255893814	0.592267131948	0.000000000000	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|close_proximity	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|close_proximity	left_positive_axes|close_proximity	0.872010163830	cheedy	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
che	chedal	15	7	25	38	16	0.730124603438	0.767773903867	0.717540550705	0.633246333874	2	cheeol	1	1	1	1	1	1	0.900518463323	0.855811917996	0.895436715726	0.868839223535	0.710420708694	0.787478713959	0.709853126971	0.652126743431	0.389336883669	0.591697875609	0.361748220661	0.162060554551	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	left_positive_axes|right_positive_axes|close_proximity	0.839305008283	cheey	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
o	odal	11	10	2	9	17	0.876112645993	0.689294386707	0.590793771574	0.750708175270	3	alam|chl|oteol	1	1	1	1	0	0	0.923622575024	0.818283888114	0.829270651232	0.896029999053	0.879503687755	0.681153937777	0.569199592729	0.731055140704	0.781092787931	0.431315383894	0.113840012259	0.460064527704	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	left_positive_axes|right_positive_axes|close_proximity	0.832495280681	sheol	1	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
oke	okedal	2	2	8	3	2	0.679386703966	0.769356959215	0.720392466713	0.851359116644	4	oteeo|oteos	0	0	0	1	0	0	0.792617821293	0.800036305308	0.840457877832	0.903110288922	0.696036231190	0.825714699156	0.751458624976	0.862738500533	0.000000000000	0.585280882653	0.000000000000	0.540852082973	register|line_position|line_third|paragraph_boundary|left_status|right_status|close_proximity	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|close_proximity	close_proximity	0.812780622969	oteeo	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
ol	oldal	2	2	5	7	5	0.524442469671	0.640941520708	0.590857158552	0.624241073433	4	chtol|oteeo|oteos	0	0	0	1	1	1	0.744244415487	0.846645225308	0.843866448809	0.820451745191	0.519494930940	0.665520270932	0.596374726332	0.639771207612	0.084838578038	0.229534111507	0.084838578038	0.231819729916	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	left_positive_axes|right_positive_axes|close_proximity	0.692710013458	okeedy	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
ote	otedal	3	3	5	3	3	0.795272131252	0.769906963814	0.771636983556	0.807161709591	3	oteeo|oteos|okeeol	1	0	0	0	0	0	0.795272131252	0.769906963814	0.771636983556	0.807161709591	0.792501458426	0.779060174985	0.764139281191	0.834102154923	NA	NA	NA	NA	register|line_position|line_third|paragraph_boundary|left_status|right_status	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status	NONE	0.892943703431	okeedy	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
qo	qodal	6	6	4	7	7	0.636865147696	0.695840426324	0.606140725031	0.645018350580	4	alam|chtol|oteol	1	0	0	1	1	1	0.894144612059	0.886922744038	0.861318053156	0.799661289108	0.629904782275	0.707605815055	0.648105060474	0.645248886126	0.122306218971	0.313675790897	0.095786068781	0.335732473524	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity	left_positive_axes|right_positive_axes|close_proximity	0.773823157465	okeeol	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
qoke	qokedal	2	2	4	4	4	0.738567264750	0.760912074616	0.821373374275	0.695946762080	6	chckhd|keeody|dsheey	0	1	0	0	1	0	0.738567264750	0.760912074616	0.821373374275	0.695946762080	0.810763619735	0.810549459432	0.847903674022	0.717551863698	NA	NA	NA	NA	register|line_position|line_third|paragraph_boundary|left_status|right_status	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status	NONE	0.886024656545	cheedy	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
sh	shdal	3	3	11	24	7	0.674239398882	0.707020459203	0.709352383441	0.651030943119	3	chtol|sheeo	0	1	0	0	1	0	0.736802029406	0.791217438901	0.774409662219	0.759536100306	0.643192519964	0.684477036381	0.662069430337	0.671806605049	0.298863615743	0.201838581014	0.319008710773	0.000000000000	register|line_position|line_third|paragraph_boundary|left_status|right_status|right_positive_axes	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|right_positive_axes	right_positive_axes	0.808656936045	okeedy	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
she	shedal	7	3	13	17	6	0.753508871901	0.768797514874	0.765701326821	0.761786764781	3	cheeol|dshedy|sheedy	0	0	0	1	1	1	0.877420628811	0.887594020979	0.877255999256	0.898484522135	0.756025917595	0.781499424430	0.762753466530	0.764974058968	0.381773601170	0.412407996558	0.431037309515	0.351693492722	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|close_proximity	register|line_position|line_third|paragraph_boundary|left_status|right_status	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|close_proximity	left_positive_axes|close_proximity	0.844215291000	okeedy	0	0	TARGET_DEFINED_FIELD_JENSEN_SHANNON_SIMILARITY_NOT_PROBABILITY	0
