record	page	statements	events	owner_ids	max_repair_cost	record_reading
H1	f10r	2	14	1	3	Von der abgebildeten unbekannten Pflanze: Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei der im Exemplar bezeichneten Beschwerde ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf Von der abgebildeten unbekannten Pflanze: gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist
H2	f10r	3	24	1	3	Von der abgebildeten unbekannten Pflanze: sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion Von der abgebildeten unbekannten Pflanze: vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz Von der abgebildeten unbekannten Pflanze: wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl
H3	f11r	4	17	1	3	Von der abgebildeten unbekannten Pflanze: sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen Von der abgebildeten unbekannten Pflanze: behalte die Blütenkrone zurück Von der abgebildeten unbekannten Pflanze: von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die bezeichnete äußere Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß Von der abgebildeten unbekannten Pflanze: bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion
H4	f55v	4	18	1	3	Von der abgebildeten unbekannten Pflanze: beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist Von der abgebildeten unbekannten Pflanze: Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die bezeichnete äußere Stelle einmal Von der abgebildeten unbekannten Pflanze: für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt Von der abgebildeten unbekannten Pflanze: Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch
H5	f56r	6	27	1	3	Von der abgebildeten unbekannten Pflanze: sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß || nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen Von der abgebildeten unbekannten Pflanze: von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen Von der abgebildeten unbekannten Pflanze: ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten Von der abgebildeten unbekannten Pflanze: gebrauche die frisch bereitete Arznei ; trinke es bei der im Exemplar bezeichneten Beschwerde ; bewahre den Rest trocken im Schatten Von der abgebildeten unbekannten Pflanze: nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt Von der abgebildeten unbekannten Pflanze: Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß
B1	f81v	21	66	1	3	Nur an der lokalen Bildstation: spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; der vorbereitete Bade- oder Waschzusatz; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt Nur an der lokalen Bildstation: Mit der vorigen Zubereitung weiter; halte es warm und beende den Schritt Nur an der lokalen Bildstation: rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt Nur an der lokalen Bildstation: gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; der vorbereitete Bade- oder Waschzusatz ; und lasse es abkühlen Nur an der lokalen Bildstation: erwärme es einmal und beende den Schritt Nur an der lokalen Bildstation: Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: durch die verbundenen Läufe ; Die aktive Portion verwenden Nur an der lokalen Bildstation: beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang Nur an der lokalen Bildstation: wasche einmal und beende diesen Durchgang Nur an der lokalen Bildstation: rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; Mit der vorigen Zubereitung weiter ; benutze danach den unteren Ablauf Nur an der lokalen Bildstation: fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt Nur an der lokalen Bildstation: mische beide Anteile zusammen ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: An die bezeichnete Zielstelle führen ; die erste Öffnung ; seihe es klar und beende den Schritt Nur an der lokalen Bildstation: fülle danach das Gefäß; wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt Nur an der lokalen Bildstation: lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt Nur an der lokalen Bildstation: An die bezeichnete Zielstelle führen
B2	f82r	22	62	5	4	Nur an der lokalen Bildstation: spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt Nur an der lokalen Bildstation: stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt Nur an der lokalen Bildstation: gib einen abgemessenen Anteil in das Gefäß ; Diese aktive Portion ; lasse die Badende im temperierten Teilbad sitzen und beende den Schritt Nur an der lokalen Bildstation: mische beide Anteile zusammen ; die zweite Öffnung ; und gehe zum nächsten Becken weiter; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; seihe es klar und beende den Schritt Nur an der lokalen Bildstation: fahre am zweiten Lauf fort ; durch ein Tuch ; durch die verbundenen Läufe ; beginne den nächsten abgemessenen Posten; beginne den nächsten abgemessenen Posten ; unter derselben Einstellung ; das breite Gefäß ; ziehe es ab und beende den Schritt Nur an der lokalen Bildstation: der vorbereitete Bade- oder Waschzusatz ; mische beide Anteile zusammen ; über der örtlich bezeichneten Stelle ; Die aktive Portion verwenden Nur an der lokalen Bildstation: gib sauberes Wasser hinzu und beende den Schritt Nur an der lokalen Bildstation: für dieselbe Dauer wie zuvor ; über der örtlich bezeichneten Stelle ; lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: halte es warm und beende den Schritt Nur an der lokalen Bildstation: temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; die erste Öffnung ; Bis die Flüssigkeit klar abläuft Nur an der lokalen Bildstation: gib einen abgemessenen Anteil in das Gefäß ; Daraus, aus demselben Ansatz ; gib einen abgemessenen Anteil in das Gefäß ; lasse die Badende im temperierten Teilbad sitzen und beende den Schritt Nur an der lokalen Bildstation: ziehe die klare Flüssigkeit ab; Bis die Flüssigkeit klar abläuft ; unter derselben Einstellung ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; der benetzte Körperbereich ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; benetze den bezeichneten Körperbereich vollständig und beende den Schritt Nur an der lokalen Bildstation: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: schließe den unteren Ablauf Nur an der lokalen Bildstation: beginne die Spülung ; lasse die Badende im temperierten Teilbad sitzen und beende den Schritt Nur an der lokalen Bildstation: An die bezeichnete Zielstelle führen ; kühles Wasser ; zu gleichen Anteilen ; Ein vorgeschriebenes Maß ; der vorbereitete Bade- oder Waschzusatz ; beginne den nächsten abgemessenen Posten ; warmes Wasser; ziehe es ab und beende den Schritt Nur an der lokalen Bildstation: gieße das erwärmte Wasser ein ; wiederhole es an der zweiten Öffnung und beende den Schritt Nur an der lokalen Bildstation: lasse die Badende im temperierten Teilbad sitzen und beende den Schritt Nur an der lokalen Bildstation: verwende den Anteil als örtliche Waschung und beende den Schritt Nur an der lokalen Bildstation: lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt Nur an der lokalen Bildstation: lasse die Badende im temperierten Teilbad sitzen und beende den Schritt Nur an der lokalen Bildstation: mische zu gleichen Teilen und beende den Schritt
B3	f83r	34	86	5	4	Nur an der lokalen Bildstation: lasse die Flüssigkeit sich setzen und beende den Schritt Nur an der lokalen Bildstation: zum unteren Ablauf hin ; benetze den bezeichneten Bereich vollständig und beende den Schritt Nur an der lokalen Bildstation: Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: beginne den nächsten abgemessenen Posten ; zum unteren Ablauf hin ; Daraus, aus demselben Ansatz Nur an der lokalen Bildstation: spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt Nur an der lokalen Bildstation: gieße das erwärmte Wasser ein ; mische beide Anteile zusammen ; stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt Nur an der lokalen Bildstation: beginne den nächsten abgemessenen Posten ; rühre, bis alles gleichmäßig vermischt ist ; wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt Nur an der lokalen Bildstation: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: Die aktive Portion verwenden Nur an der lokalen Bildstation: fülle danach das Gefäß ; lasse es bis zur Klarheit ziehen und beende den Schritt Nur an der lokalen Bildstation: wende es an der markierten Stelle an ; Die aktive Portion verwenden ; rühre, bis alles gleichmäßig vermischt ist ; und lasse es abkühlen Nur an der lokalen Bildstation: der vorbereitete Bade- oder Waschposten ; lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: beginne den nächsten abgemessenen Posten ; ein abgemessener Anteil ; unter derselben Einstellung ; spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: öffne danach den oberen Lauf ; wasche einmal und beende den Schritt Nur an der lokalen Bildstation: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: schließe den unteren Ablauf; lasse es abkühlen und beende den Schritt Nur an der lokalen Bildstation: wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt Nur an der lokalen Bildstation: lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt Nur an der lokalen Bildstation: An die bezeichnete Zielstelle führen ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: beginne den nächsten abgemessenen Posten ; Sobald die Zubereitung gebrauchsfertig ist ; An die bezeichnete Zielstelle führen ; Diese aktive Portion; Ein vorgeschriebenes Maß ; für einen Zeitabschnitt ; warmes Wasser ; Diese aktive Portion ; An die bezeichnete Zielstelle führen ; Sobald die Zubereitung gebrauchsfertig ist ; behalte den Rückstand und beende den Schritt Nur an der lokalen Bildstation: mische zu gleichen Teilen und beende den Schritt Nur an der lokalen Bildstation: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt Nur an der lokalen Bildstation: erwärme es einmal und beende den Schritt Nur an der lokalen Bildstation: richte die bezeichnete Beckenstation ein ; nach dem Absetzen ; rühre, bis alles gleichmäßig vermischt ist ; gib einen abgemessenen Anteil in das Gefäß ; Sobald die Zubereitung gebrauchsfertig ist ; bis der Strom klar wird; lasse die Flüssigkeit sich setzen und beende den Schritt Nur an der lokalen Bildstation: lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt Nur an der lokalen Bildstation: temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: Mit der vorigen Zubereitung weiter ; nach der ersten Spülung ; spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: Die aktive Portion verwenden ; Ein vorgeschriebenes Maß; ziehe die klare Flüssigkeit ab ; mische zu gleichen Teilen und beende den Schritt Nur an der lokalen Bildstation: wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt Nur an der lokalen Bildstation: beginne die Spülung ; rühre, bis alles gleichmäßig vermischt ist ; das breite Gefäß ; für dieselbe Dauer wie zuvor ; lasse es bis zur Klarheit ziehen und beende den Schritt Nur an der lokalen Bildstation: ziehe es ab und beende den Schritt Nur an der lokalen Bildstation: bis es klar ist ; Sobald die Zubereitung gebrauchsfertig ist ; Gleichmäßig bearbeiten ; für dieselbe Dauer wie zuvor ; das untere Becken ; lasse es bis zur Bereitschaft stehen und beende den Schritt
B4	f83r	16	47	3	3	Nur an der lokalen Bildstation: tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt Nur an der lokalen Bildstation: fülle danach das Gefäß ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: rühre, bis alles gleichmäßig vermischt ist ; zum unteren Ablauf hin; Nimm den bezeichneten Anteil ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den Schritt Nur an der lokalen Bildstation: durch ein Tuch ; rühre, bis alles gleichmäßig vermischt ist ; tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt Nur an der lokalen Bildstation: seihe es einmal durch ein Tuch und beende den Schritt Nur an der lokalen Bildstation: seihe es einmal durch ein Tuch und beende den Schritt Nur an der lokalen Bildstation: Ein vorgeschriebenes Maß ; solange es noch warm ist ; die erste Öffnung ; spüle die bezeichnete Stelle einmal und beende den Schritt Nur an der lokalen Bildstation: lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt Nur an der lokalen Bildstation: Ein vorgeschriebenes Maß ; bei sanfter Wärme ; das breite Gefäß ; gib einen abgemessenen Anteil in das Gefäß ; rühre, bis alles gleichmäßig vermischt ist; Mit der vorigen Zubereitung weiter ; wasche zweimal und beende den Schritt Nur an der lokalen Bildstation: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: lasse die Mischung einlaufen ; lasse es bis zur Bereitschaft stehen und beende den Schritt Nur an der lokalen Bildstation: der vorbereitete Bade- oder Waschposten ; Diese aktive Portion ; über der örtlich bezeichneten Stelle ; gebrauche sie sofort und beende den Schritt Nur an der lokalen Bildstation: gib einen abgemessenen Anteil in das Gefäß ; Bis die Flüssigkeit klar abläuft ; ein abgemessener Anteil ; für die angegebene Dauer; öffne danach den oberen Lauf ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt Nur an der lokalen Bildstation: das untere Becken ; An die bezeichnete Zielstelle führen; gieße das erwärmte Wasser ein ; lasse es bis zur Bereitschaft stehen und beende den Schritt
B5	f83r	3	11	1	3	Nur an der lokalen Bildstation: ziehe es ab und beende den Schritt Nur an der lokalen Bildstation: erwärme es einmal und beende den Schritt Nur an der lokalen Bildstation: für einen Zeitabschnitt; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bis es warm ist ; mit der vorigen Mischung ; Ein vorgeschriebenes Maß; Mit der vorigen Zubereitung weiter ; die zweite Öffnung ; rühre, bis alles gleichmäßig vermischt ist
