statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	constituent_loci	event_serials	v71_owner_statuses	v71_visible_owners	v71_silent_argument_defaults	literal_owner_card_exemplar_layer	historical_source_class	concrete_source_class_paraphrase	strongest_rival	repair_cost_0_4	repair_reason	line_crossing	owner_crossing	strongest_contradiction	v69_revision_action	semantic_ceiling
H1-S001	H1	f10r	1	F001	f10r.2	1|2|3|4|5|6|7|8|9|10	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E1:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E2:[EXEMPLAR SOURCE_ARGUMENT] > E3:[EXEMPLAR SOURCE_ARGUMENT] > E4:[EXEMPLAR SOURCE_ARGUMENT] > E5:[EXEMPLAR ACTION] > E6:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E7:[EXEMPLAR TARGET_OR_STATION] > E8:[CARD:ANWENDEN?] > E9:[CARD:MASS?] [FORMAL:VORGABEPARAMETER?] > E10:[EXEMPLAR SOURCE_ARGUMENT]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: nimm einen Teil der Wurzel, säubere und zerkleinere ihn, bereite daraus mit einem nicht abgebildeten Medium einen Auszug, gebrauche den vorgeschriebenen Anteil und verwahre den Rest trocken.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H1-S002	H1	f10r	2	F002	f10r.5	11|12|13|14	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E11:[EXEMPLAR TARGET_OR_STATION] > E12:[EXEMPLAR ACTION] > E13:[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E14:[CARD:BEREIT?]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: erwärme einen frischen Auszug, führe ihn als Fortsetzung der vorherigen Bereitung und gebrauche ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H2-S001	H2	f10r	1	F003	f10r.6	15|16|17|18|19|20|21|22|23	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E15:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E16:[CARD:BEREIT?] > E17:[CARD:ANSATZ?] > E18:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E19:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E20:[EXEMPLAR SOURCE_ARGUMENT] > E21:[EXEMPLAR ACTION] > E22:[CARD:MASS?] > E23:[EXEMPLAR ACTION]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: sammle einen oberirdischen Teil zur passenden Reife, zerstoße und presse ihn, führe die Flüssigkeit als neuen Ansatz und bemesse den zuzubereitenden Anteil.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H2-S002	H2	f10r	2	F004	f10r.8	24|25|26|27|28|29|30|31	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E24:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E25:[CARD:ANSATZ?] > E26:[EXEMPLAR SOURCE_ARGUMENT] > E27:[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E28:[CARD:VORIGES?] > E29:[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E30:[CARD:MASS?] [FORMAL:VORGABEPARAMETER?] > E31:[EXEMPLAR SOURCE_ARGUMENT]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Artikel: nimm vor voller Blüte eine Handvoll Pflanzenstoff, entnimm daraus einen Anteil, verknüpfe ihn mit der vorherigen Bereitung und halte das vorgeschriebene Maß ein.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H2-S003	H2	f10r	3	F005	f10r.9	32|33|34|35|36|37|38	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E32:[EXEMPLAR ACTION] > E33:[CARD:ANSATZ?] > E34:[CARD:ANSATZ?] > E35:[EXEMPLAR ACTION] > E36:[EXEMPLAR CONDITION] > E37:[EXEMPLAR SOURCE_ARGUMENT] > E38:[EXEMPLAR ACTION]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Artikel: verarbeite einen bei geöffneter Blüte genommenen Teil, prüfe den Auszug am örtlichen Endzustand und bewahre den abgeteilten Rest in einem nicht abgebildeten Medium auf.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S001	H3	f11r	1	F006	f11r.1	39|40|41|42|43|44|45	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E39:[EXEMPLAR CONDITION] > E40:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E41:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E42:[EXEMPLAR ACTION] > E43:[EXEMPLAR ACTION] > E44:[CARD:KLAR?] > E45:[EXEMPLAR CONDITION] [CLOSE]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: nimm im Frühjahr einen unterirdischen Teil, presse den zerkleinerten Stoff durch ein Tuch, kläre den Auszug durch erneutes Seihen und lasse ihn anschließend abkühlen.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S002	H3	f11r	2	F007	f11r.1	46	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E46:[EXEMPLAR SUBSTANCE_OR_OBJECT]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: behalte den blühenden oder kopfförmigen Teil als getrennten Vorrat zurück.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S003	H3	f11r	3	F008	f11r.4	47|48|49|50|51	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E47:[EXEMPLAR SOURCE_ARGUMENT] > E48:[EXEMPLAR ACTION] > E49:[EXEMPLAR ACTION] > E50:[EXEMPLAR SOURCE_ARGUMENT] > E51:[CARD:MASS?] [FORMAL:VORGABEPARAMETER?]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: nimm einen aktiven Anteil, lege ihn als Auflage an die im Rezept vorausgesetzte Stelle und bemesse ihn nach örtlicher Vorschrift.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S004	H3	f11r	4	F009	f11r.7	52|53|54|55	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E52:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E53:[EXEMPLAR ACTION] > E54:[CARD:BEREIT?] > E55:[EXEMPLAR ACTION]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: bereite aus einem Blattteil eine warme Auflage, lege sie im gebrauchsfertigen Zustand auf und führe den verwendeten Anteil als laufende Bereitung.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H4-S001	H4	f55v	1	F010	f55v.5	56|57|58|59|60	PAGE_OWNER_ONLY	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	The uninterrupted whole plant remains the subject across all four text pockets; a source recipe may silently supply an unpictured material or use.	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT;STATUS:PAGE_OWNER_ONLY] > E56:[FORMAL:STANDARDSLOT_SETZEN] > E57:[CARD:MASS?] > E58:[EXEMPLAR SOURCE_ARGUMENT] > E59:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E60:[EXEMPLAR CONDITION] [CLOSE]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: setze einen neuen abgemessenen Posten an, erhitze einen Blattteil sanft in einem nicht abgebildeten Medium und lasse ihn bis zum örtlichen Prüfzustand ziehen.	One pocket per leaf, inflorescence, root, or independent grotesque creature.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	SINGLE_FIELD_OWNER	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	REMOVE_TAXONOMIC_IDENTITY; REANCHOR_TO_WHOLE_PLANT_ARTICLE	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
