statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	event_count	event_serials	v69_primary_template	v69_primitive_sequence	v69_parse_status	v71_field_owner_bindings	exact_v71_owner_transition	literal_owner_known_card_exemplar_layer	source_class	technical_source_class_paraphrase	strongest_medical_or_formal_rival	repair_cost_0_4	repair_reason	line_crossing	contact_direction_constraint	hardest_contradiction	v69_pre_state	v69_post_state	semantic_ceiling
H1-S001	H1	f10r	1	F001	10	1|2|3|4|5|6|7|8|9|10	COMPOSITE_SEQUENCE	ACTION_APPLY > PARAMETER_ASSIGN	AMBIGUOUS	F001=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	RESET_RECORD -> SET_PAGE_OWNER[F001:PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB]	OWNER[F001=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] || E001[EXEMPLAR_VALUE_UNKNOWN] > E002[EXEMPLAR_VALUE_UNKNOWN] > E003[EXEMPLAR_VALUE_UNKNOWN] > E004[EXEMPLAR_VALUE_UNKNOWN] > E005[EXEMPLAR_VALUE_UNKNOWN] > E006[EXEMPLAR_VALUE_UNKNOWN] > E007[EXEMPLAR_VALUE_UNKNOWN] > E008[CARD=ANWENDEN?] > E009[CARD=MASS?|FORMAL=VORGABEPARAMETER?] > E010[EXEMPLAR_VALUE_UNKNOWN]	LOCAL_ACTION_OR_CONDITION_ENTRY	Eröffne Buchung `H1-S001` beim Besitzerposten „Ganzpflanzenartikel der f10r-Pflanze“: führe die exemplarisch bestimmte örtliche Materialhandlung `H1-S001:ACTION_APPLY_01` am aktuellen Besitzer aus; trage den Masterwert `H1-S001:PARAMETER_ASSIGN_01` als örtliches Pflanzen-/Arbeitsmaß ein. Endstand nur in H1: ACTIVE `H1:I001`, TARGET `H1:T001`, PREVIOUS `H1:I002`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f10r.2	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H1-S002	H1	f10r	2	F002	4	11|12|13|14	COMPOSITE_SEQUENCE	LINK_ACTIVE > STATE_GATE	AMBIGUOUS	F002=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	REASSERT_PAGE_OWNER[F002:PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] -> RESET_AT_RECORD_END	OWNER[F002=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] || E011[EXEMPLAR_VALUE_UNKNOWN] > E012[EXEMPLAR_VALUE_UNKNOWN] > E013[FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E014[CARD=BEREIT?]	LOCAL_STATE_RELEASE_ENTRY	Fortschreibe Buchung `H1-S002` beim Besitzerposten „Ganzpflanzenartikel der f10r-Pflanze“: verknüpfe den laufenden Recordposten `H1:I001` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; prüfe den im Master bezeichneten Freigabezustand `H1-S002:STATE_GATE_01` und markiere erst danach den Posten bereit. Endstand nur in H1: ACTIVE `H1:I001`, TARGET `H1:T001`, PREVIOUS `H1:I002`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f10r.5	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H2-S001	H2	f10r	1	F003	9	15|16|17|18|19|20|21|22|23	COMPOSITE_SEQUENCE	STATE_GATE > LINK_ACTIVE > PARAMETER_ASSIGN	AMBIGUOUS	F003=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	RESET_RECORD -> SET_PAGE_OWNER[F003:PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB]	OWNER[F003=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] || E015[EXEMPLAR_VALUE_UNKNOWN] > E016[CARD=BEREIT?] > E017[CARD=ANSATZ?] > E018[EXEMPLAR_VALUE_UNKNOWN] > E019[EXEMPLAR_VALUE_UNKNOWN] > E020[EXEMPLAR_VALUE_UNKNOWN] > E021[EXEMPLAR_VALUE_UNKNOWN] > E022[CARD=MASS?] > E023[EXEMPLAR_VALUE_UNKNOWN]	LOCAL_STATE_RELEASE_ENTRY	Eröffne Buchung `H2-S001` beim Besitzerposten „Ganzpflanzenartikel der f10r-Pflanze“: prüfe den im Master bezeichneten Freigabezustand `H2-S001:STATE_GATE_01` und markiere erst danach den Posten bereit; verknüpfe den laufenden Recordposten `H2:I001` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; trage den Masterwert `H2-S001:PARAMETER_ASSIGN_01` als örtliches Pflanzen-/Arbeitsmaß ein. Endstand nur in H2: ACTIVE `H2:I001`, TARGET `UNSET`, PREVIOUS `UNSET`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f10r.6	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H2-S002	H2	f10r	2	F004	8	24|25|26|27|28|29|30|31	COMPOSITE_SEQUENCE	LINK_ACTIVE > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN	AMBIGUOUS	F004=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	REASSERT_PAGE_OWNER[F004:PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB]	OWNER[F004=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] || E024[EXEMPLAR_VALUE_UNKNOWN] > E025[CARD=ANSATZ?] > E026[EXEMPLAR_VALUE_UNKNOWN] > E027[FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E028[CARD=VORIGES?] > E029[FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E030[CARD=MASS?|FORMAL=VORGABEPARAMETER?] > E031[EXEMPLAR_VALUE_UNKNOWN]	LOCAL_PARAMETER_BOOKING_ENTRY	Fortschreibe Buchung `H2-S002` beim Besitzerposten „Ganzpflanzenartikel der f10r-Pflanze“: verknüpfe den laufenden Recordposten `H2:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; verknüpfe den laufenden Recordposten `H2:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; wähle ausschließlich den vorigen Posten `H2:I001` desselben Records; verknüpfe den laufenden Recordposten `H2:I002` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; trage den Masterwert `H2-S002:PARAMETER_ASSIGN_01` als örtliches Pflanzen-/Arbeitsmaß ein. Endstand nur in H2: ACTIVE `H2:I002`, TARGET `UNSET`, PREVIOUS `H2:I001`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f10r.8	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H2-S003	H2	f10r	3	F005	7	32|33|34|35|36|37|38	COMPOSITE_SEQUENCE	LINK_ACTIVE > LINK_ACTIVE	AMBIGUOUS	F005=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	REASSERT_PAGE_OWNER[F005:PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] -> RESET_AT_RECORD_END	OWNER[F005=PAGE_OWNER_ONLY:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] || E032[EXEMPLAR_VALUE_UNKNOWN] > E033[CARD=ANSATZ?] > E034[CARD=ANSATZ?] > E035[EXEMPLAR_VALUE_UNKNOWN] > E036[EXEMPLAR_VALUE_UNKNOWN] > E037[EXEMPLAR_VALUE_UNKNOWN] > E038[EXEMPLAR_VALUE_UNKNOWN]	RECORD_LOCAL_LINK_ENTRY	Fortschreibe Buchung `H2-S003` beim Besitzerposten „Ganzpflanzenartikel der f10r-Pflanze“: verknüpfe den laufenden Recordposten `H2:I003` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt; verknüpfe den laufenden Recordposten `H2:I003` mit dem örtlichen Arbeitsstand; keine Bildkante wird ergänzt. Endstand nur in H2: ACTIVE `H2:I003`, TARGET `UNSET`, PREVIOUS `H2:I002`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f10r.9	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I002	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H3-S001	H3	f11r	1	F006	7	39|40|41|42|43|44|45	COMPOSITE_SEQUENCE	STATE_GATE	AMBIGUOUS	F006=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	RESET_RECORD -> SET_PAGE_OWNER[F006:PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT]	OWNER[F006=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] || E039[EXEMPLAR_VALUE_UNKNOWN] > E040[EXEMPLAR_VALUE_UNKNOWN] > E041[EXEMPLAR_VALUE_UNKNOWN] > E042[EXEMPLAR_VALUE_UNKNOWN] > E043[EXEMPLAR_VALUE_UNKNOWN] > E044[CARD=KLAR?] > E045[EXEMPLAR_VALUE_UNKNOWN]	LOCAL_STATE_RELEASE_ENTRY	Eröffne Buchung `H3-S001` beim Besitzerposten „Ganzpflanzenartikel der dichtkronigen f11r-Pflanze“: prüfe den im Master bezeichneten Freigabezustand `H3-S001:STATE_GATE_01` und markiere erst danach den Posten bereit. Endstand nur in H3: ACTIVE `H3:I001`, TARGET `H3:T002`, PREVIOUS `UNSET`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f11r.1	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H3-S002	H3	f11r	2	F007	1	46	EXEMPLAR_ONLY	NONE	UNPARSED	F007=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	REASSERT_PAGE_OWNER[F007:PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT]	OWNER[F007=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] || E046[EXEMPLAR_VALUE_UNKNOWN]	TYPED_EXEMPLAR_ENTRY	Fortschreibe Buchung `H3-S002` beim Besitzerposten „Ganzpflanzenartikel der dichtkronigen f11r-Pflanze“: kopiere den vollständigen typisierten Wert `EXEMPLAR_ENTRY_H3-S002` aus dem Master; buche ihn recordlokal als ACTIVE `H3:I001` und gegebenenfalls Ziel `H3:T002`. Endstand nur in H3: ACTIVE `H3:I001`, TARGET `H3:T002`, PREVIOUS `H3:I002`.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.	2	vollständiger Quellenwert exemplar-only	NO:f11r.1	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H3-S003	H3	f11r	3	F008	5	47|48|49|50|51	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN	AMBIGUOUS	F008=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	REASSERT_PAGE_OWNER[F008:PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT]	OWNER[F008=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] || E047[EXEMPLAR_VALUE_UNKNOWN] > E048[EXEMPLAR_VALUE_UNKNOWN] > E049[EXEMPLAR_VALUE_UNKNOWN] > E050[EXEMPLAR_VALUE_UNKNOWN] > E051[CARD=MASS?|FORMAL=VORGABEPARAMETER?]	LOCAL_PARAMETER_BOOKING_ENTRY	Fortschreibe Buchung `H3-S003` beim Besitzerposten „Ganzpflanzenartikel der dichtkronigen f11r-Pflanze“: trage den Masterwert `H3-S003:PARAMETER_ASSIGN_01` als örtliches Pflanzen-/Arbeitsmaß ein. Endstand nur in H3: ACTIVE `H3:I001`, TARGET `H3:T003`, PREVIOUS `H3:I002`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f11r.4	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H3-S004	H3	f11r	4	F009	4	52|53|54|55	COMPOSITE_SEQUENCE	STATE_GATE	AMBIGUOUS	F009=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	REASSERT_PAGE_OWNER[F009:PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] -> RESET_AT_RECORD_END	OWNER[F009=PAGE_OWNER_ONLY:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] || E052[EXEMPLAR_VALUE_UNKNOWN] > E053[EXEMPLAR_VALUE_UNKNOWN] > E054[CARD=BEREIT?] > E055[EXEMPLAR_VALUE_UNKNOWN]	LOCAL_STATE_RELEASE_ENTRY	Fortschreibe Buchung `H3-S004` beim Besitzerposten „Ganzpflanzenartikel der dichtkronigen f11r-Pflanze“: prüfe den im Master bezeichneten Freigabezustand `H3-S004:STATE_GATE_01` und markiere erst danach den Posten bereit. Endstand nur in H3: ACTIVE `H3:I003`, TARGET `UNSET`, PREVIOUS `H3:I001`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f11r.7	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H3:I001	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
H4-S001	H4	f55v	1	F010	5	56|57|58|59|60	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > PARAMETER_ASSIGN	AMBIGUOUS	F010=PAGE_OWNER_ONLY:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	RESET_RECORD -> SET_PAGE_OWNER[F010:PAGE_OWNER_ONLY:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT]	OWNER[F010=PAGE_OWNER_ONLY:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] || E056[FORMAL=STANDARDSLOT_SETZEN] > E057[CARD=MASS?] > E058[EXEMPLAR_VALUE_UNKNOWN] > E059[EXEMPLAR_VALUE_UNKNOWN] > E060[EXEMPLAR_VALUE_UNKNOWN]	LOCAL_PARAMETER_BOOKING_ENTRY	Eröffne Buchung `H4-S001` beim Besitzerposten „Ganzpflanzenartikel der breitblättrigen f55v-Pflanze“: trage den Masterwert `H4-S001:PARAMETER_ASSIGN_01` als örtliches Pflanzen-/Arbeitsmaß ein; trage den Masterwert `H4-S001:PARAMETER_ASSIGN_02` als örtliches Pflanzen-/Arbeitsmaß ein. Endstand nur in H4: ACTIVE `H4:I001`, TARGET `UNSET`, PREVIOUS `UNSET`.	MEDICAL_RIVAL: derselbe unbekannte Ganzpflanzenartikel führt eine Heilzubereitung, Dosis oder Anwendung aus dem Masterexemplar.	1	mehrere formale Expansionen	NO:f55v.5	PAGE_OWNER_ONLY; NO_PART_FROM_PROXIMITY; NO_PICTURED_MEDIUM_OR_DIRECTION	Das Bild weist kein Feld einem Pflanzenteil, Medium, Werkzeug oder Gebrauch zu; alle konkreten Arbeitswerte bleiben exemplarisch.	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	CREATIVE_SOURCE_CLASS_NOT_WORD_CARD_STEM_SOUND_OR_TRANSLATION
