statement_id	record_unit_id	page	constituent_fields	event_count	event_serials	owner_ids	owner_statuses	owner_transition	literal_owner_card_exemplar_layer	concrete_source_class_paraphrase	strongest_concrete_rival	repair_cost_0_4	repair_reason	physical_locus_status	loci	chief_contradiction	semantic_ceiling
H1-S001	H1	f10r	F001	10	1|2|3|4|5|6|7|8|9|10	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=ACTION_APPLY > PARAMETER_ASSIGN ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei der im Exemplar bezeichneten Beschwerde ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Bild-Wurzelstock als Rohlos H1-R01 übernehmen, reinigen, schneiden und in Wasser mazerieren; aktive Prüfportion am Musterstreifen einsetzen, Sollmaß buchen und trockenen Rest lagern.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f10r.2	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H1-S002	H1	f10r	F002	4	11|12|13|14	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=LINK_ACTIVE > STATE_GATE ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	Gelagerte H1-Wurzelcharge aufnehmen, einen zweiten Auszug erwärmen, formal an den laufenden Stand verknüpfen und als arbeitsbereit freigeben.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f10r.5	Die verknüpften Chargen bleiben ohne lokale Prosa unbestimmt.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H2-S001	H2	f10r	F003	9	15|16|17|18|19|20|21|22|23	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=STATE_GATE > LINK_ACTIVE > PARAMETER_ASSIGN ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	Oberteile derselben Bildpflanze als H2-R01 sammeln, quetschen und pressen; Flüssigkeit als aktiven Ansatz führen, mit Wasser nachziehen und nach Sollmenge buchen.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f10r.6	Oberteile, Pressen und Wasser sind nicht kartengebunden.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H2-S002	H2	f10r	F004	8	24|25|26|27|28|29|30|31	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=LINK_ACTIVE > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	Frühe Erntefraktion H2-R03 an den laufenden Ansatz binden, vorige Charge wieder aufnehmen, Sollmenge abteilen und als Vergleichsmazerat führen.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f10r.8	Die frühe Erntefraktion ist ein lokaler, nicht formaler Wert.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H2-S003	H2	f10r	F005	7	32|33|34|35|36|37|38	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=LINK_ACTIVE > LINK_ACTIVE ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	Späte Erntefraktion als parallelen Ansatz führen, beide Auszüge gleich seihen, Farbe und Bodensatz vergleichen und verschlossen lagern.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f10r.9	Kein exakter Trigger bezeichnet Vergleich, Farbe oder Lagerung.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H3-S001	H3	f11r	F006	7	39|40|41|42|43|44|45	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=STATE_GATE ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	Blüten-/Krautlos sammeln, sortieren, quetschen, in Wasser mazerieren und zweimal seihen; am KLAR?-Gate schließen und das Filtrat absetzen lassen.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f11r.1	Farbextraktfunktion und zweimaliges Seihen sind lokale Expansionen.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H3-S002	H3	f11r	F007	1	46	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT ; TEMPLATE=EXEMPLAR_ONLY ; LICENSED=NONE ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: behalte die Blütenkrone zurück	Einen Blütenkopf als Referenzfraktion H3-R02 zurücklegen und offen weiterführen.	2	only page/article owner visible	WITHIN_ONE_PHYSICAL_LOCUS	f11r.1	Das einzige Ereignis ist EXEMPLAR_ONLY; selbst ‚zurücklegen‘ ist unbelegt.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H3-S003	H3	f11r	F008	5	47|48|49|50|51	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=PARAMETER_ASSIGN ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die bezeichnete äußere Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	Klarfiltrat aufnehmen, auf drei Probengläser verteilen, Farbe und Niederschlag notieren und das Sollmaß je Glas buchen.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f11r.4	Kein ACTION-Trigger trägt Dosieren oder Prüfen.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H3-S004	H3	f11r	F009	4	52|53|54|55	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=STATE_GATE ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	Blattfraktion warm ausziehen, am BEREIT?-Gate freigeben und getrennt von der Referenzblüte verwahren.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f11r.7	Blattfraktion, Wärme und Lagerung sind nicht in den Kartenwerten enthalten.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
H4-S001	H4	f55v	F010	5	56|57|58|59|60	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	SINGLE_OWNER	OWNER=WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT ; TEMPLATE=COMPOSITE_SEQUENCE ; LICENSED=PARAMETER_ASSIGN > PARAMETER_ASSIGN ; all remaining nouns/actions are exact exemplar content	Von der abgebildeten unbekannten Pflanze: beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	Standardposten H4-R01 und Sollmaß setzen, breite Blätter waschen, schneiden und in Wasser mazerieren; erste Blattflotte absetzen und schließen.	3	only page/article owner visible; substance, condition, or use is unpictured exemplar content	WITHIN_ONE_PHYSICAL_LOCUS	f55v.5	Die Blattflotte und das Mazerationsmedium bleiben lokale Werte.	CONCRETE_CREATIVE_SOURCE_PARAPHRASE_NOT_PLAINTEXT
