statement_id	selected_from_role	record_unit_id	page	constituent_fields	event_count	event_serials	owner_bindings	owner_transition	literal_owner_card_exemplar_layer	source_class	selected_concrete_paraphrase	strongest_rival	repair_cost_0_4	repair_reason	line_crossing	hardest_contradiction	semantic_ceiling
H1-S001	R2_HISTORICAL	H1	f10r	F001	10	1|2|3|4|5|6|7|8|9|10	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SINGLE_FIELD_OWNER	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E1:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E2:[EXEMPLAR SOURCE_ARGUMENT] > E3:[EXEMPLAR SOURCE_ARGUMENT] > E4:[EXEMPLAR SOURCE_ARGUMENT] > E5:[EXEMPLAR ACTION] > E6:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E7:[EXEMPLAR TARGET_OR_STATION] > E8:[CARD:ANWENDEN?] > E9:[CARD:MASS?] [FORMAL:VORGABEPARAMETER?] > E10:[EXEMPLAR SOURCE_ARGUMENT]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: nimm einen Teil der Wurzel, säubere und zerkleinere ihn, bereite daraus mit einem nicht abgebildeten Medium einen Auszug, gebrauche den vorgeschriebenen Anteil und verwahre den Rest trocken.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H1-S002	R2_HISTORICAL	H1	f10r	F002	4	11|12|13|14	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SINGLE_FIELD_OWNER	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E11:[EXEMPLAR TARGET_OR_STATION] > E12:[EXEMPLAR ACTION] > E13:[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E14:[CARD:BEREIT?]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: erwärme einen frischen Auszug, führe ihn als Fortsetzung der vorherigen Bereitung und gebrauche ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H2-S001	R2_HISTORICAL	H2	f10r	F003	9	15|16|17|18|19|20|21|22|23	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SINGLE_FIELD_OWNER	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E15:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E16:[CARD:BEREIT?] > E17:[CARD:ANSATZ?] > E18:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E19:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E20:[EXEMPLAR SOURCE_ARGUMENT] > E21:[EXEMPLAR ACTION] > E22:[CARD:MASS?] > E23:[EXEMPLAR ACTION]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: sammle einen oberirdischen Teil zur passenden Reife, zerstoße und presse ihn, führe die Flüssigkeit als neuen Ansatz und bemesse den zuzubereitenden Anteil.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H2-S002	R2_HISTORICAL	H2	f10r	F004	8	24|25|26|27|28|29|30|31	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SINGLE_FIELD_OWNER	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E24:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E25:[CARD:ANSATZ?] > E26:[EXEMPLAR SOURCE_ARGUMENT] > E27:[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E28:[CARD:VORIGES?] > E29:[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E30:[CARD:MASS?] [FORMAL:VORGABEPARAMETER?] > E31:[EXEMPLAR SOURCE_ARGUMENT]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Artikel: nimm vor voller Blüte eine Handvoll Pflanzenstoff, entnimm daraus einen Anteil, verknüpfe ihn mit der vorherigen Bereitung und halte das vorgeschriebene Maß ein.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H2-S003	R2_HISTORICAL	H2	f10r	F005	7	32|33|34|35|36|37|38	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SINGLE_FIELD_OWNER	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB;STATUS:PAGE_OWNER_ONLY] > E32:[EXEMPLAR ACTION] > E33:[CARD:ANSATZ?] > E34:[CARD:ANSATZ?] > E35:[EXEMPLAR ACTION] > E36:[EXEMPLAR CONDITION] > E37:[EXEMPLAR SOURCE_ARGUMENT] > E38:[EXEMPLAR ACTION]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Artikel: verarbeite einen bei geöffneter Blüte genommenen Teil, prüfe den Auszug am örtlichen Endzustand und bewahre den abgeteilten Rest in einem nicht abgebildeten Medium auf.	A flower-, leaf-, or underground-part-specific subarticle.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S001	R2_HISTORICAL	H3	f11r	F006	7	39|40|41|42|43|44|45	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	SINGLE_FIELD_OWNER	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E39:[EXEMPLAR CONDITION] > E40:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E41:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E42:[EXEMPLAR ACTION] > E43:[EXEMPLAR ACTION] > E44:[CARD:KLAR?] > E45:[EXEMPLAR CONDITION] [CLOSE]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: nimm im Frühjahr einen unterirdischen Teil, presse den zerkleinerten Stoff durch ein Tuch, kläre den Auszug durch erneutes Seihen und lasse ihn anschließend abkühlen.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S002	R2_HISTORICAL	H3	f11r	F007	1	46	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	SINGLE_FIELD_OWNER	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E46:[EXEMPLAR SUBSTANCE_OR_OBJECT]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: behalte den blühenden oder kopfförmigen Teil als getrennten Vorrat zurück.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S003	R2_HISTORICAL	H3	f11r	F008	5	47|48|49|50|51	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	SINGLE_FIELD_OWNER	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E47:[EXEMPLAR SOURCE_ARGUMENT] > E48:[EXEMPLAR ACTION] > E49:[EXEMPLAR ACTION] > E50:[EXEMPLAR SOURCE_ARGUMENT] > E51:[CARD:MASS?] [FORMAL:VORGABEPARAMETER?]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: nimm einen aktiven Anteil, lege ihn als Auflage an die im Rezept vorausgesetzte Stelle und bemesse ihn nach örtlicher Vorschrift.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H3-S004	R2_HISTORICAL	H3	f11r	F009	4	52|53|54|55	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	SINGLE_FIELD_OWNER	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT;STATUS:PAGE_OWNER_ONLY] > E52:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E53:[EXEMPLAR ACTION] > E54:[CARD:BEREIT?] > E55:[EXEMPLAR ACTION]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Vom selben Pflanzenartikel: bereite aus einem Blattteil eine warme Auflage, lege sie im gebrauchsfertigen Zustand auf und führe den verwendeten Anteil als laufende Bereitung.	Several compressed shoots or separate specimens.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
H4-S001	R2_HISTORICAL	H4	f55v	F010	5	56|57|58|59|60	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	SINGLE_FIELD_OWNER	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT;STATUS:PAGE_OWNER_ONLY] > E56:[FORMAL:STANDARDSLOT_SETZEN] > E57:[CARD:MASS?] > E58:[EXEMPLAR SOURCE_ARGUMENT] > E59:[EXEMPLAR SUBSTANCE_OR_OBJECT] > E60:[EXEMPLAR CONDITION] [CLOSE]	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Von der ganzen abgebildeten Pflanze: setze einen neuen abgemessenen Posten an, erhitze einen Blattteil sanft in einem nicht abgebildeten Medium und lasse ihn bis zum örtlichen Prüfzustand ziehen.	One pocket per leaf, inflorescence, root, or independent grotesque creature.	3	Die frühere taxonomisch und stofflich enge Lesung wird auf den ganzen Bildpflanzenartikel plus unbebilderte Receptarium-Argumente zurückgebaut.	NO__SINGLE_FIELD	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	HISTORICAL_SOURCE_EXEMPLAR_NOT_TRANSLATION_OR_CARD_VALUE
