record_unit_id	page	statement_count	field_count	event_count	selected_owner_inventory	line_crossing_statements	within_statement_owner_resets	unresolved_owner_statements	repair_cost_distribution	v72_revision	teachable_record_rule
H1	f10r	2	2	14	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	0	0	0	"{""3"": 2}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
H2	f10r	3	3	24	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	0	0	0	"{""3"": 3}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
H3	f11r	4	4	17	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	0	0	0	"{""3"": 4}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
H4	f55v	4	4	18	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	0	0	0	"{""3"": 4}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
H5	f56r	6	7	27	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	1	0	0	"{""3"": 6}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
B1	f81v	21	24	66	B1_SHARED_TWO_ROW_POOL	3	0	0	"{""1"": 3, ""2"": 18}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
B2	f82r	22	26	62	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS	4	1	2	"{""1"": 4, ""2"": 16, ""3"": 1, ""4"": 1}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
B3	f83r	34	38	86	B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	4	2	11	"{""1"": 7, ""2"": 16, ""3"": 9, ""4"": 2}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
B4	f83r	16	20	47	B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	4	1	0	"{""1"": 2, ""2"": 13, ""4"": 1}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
B5	f83r	3	5	11	B5_LEFT_OPEN_FRINGE_STATION	1	0	0	"{""1"": 1, ""2"": 2}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
B6	f83r	1	2	9	B6_RIGHT_S_RUN_MULTIPORT_STATION	1	0	0	"{""2"": 1}"	Carry the V71 selected owner explicitly; retain V69 event order; make exemplar content typed and concrete; never infer a sentence end from a physical line end.	Set the smallest selected visible owner at record/scene entry, carry it only inside that scene, reset at a V71 owner change, and copy every unpictured action/value from the master exemplar.
