source_group_id	locus	edition	left	right	left_separator	right_separator
ZL3b|f100v.20|G003	f100v.20	ZL3b	shokeesy	chokeol	DEFINITE_SPACE	DEFINITE_SPACE
IT2a|f100v.20|G003	f100v.20	IT2a	shokeesy	chokeol	DEFINITE_SPACE	DEFINITE_SPACE
RF1b|f100v.20|G003	f100v.20	RF1b	shokeesy	chokeol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b|f31r.3|G001	f31r.3	ZL3b	LINE_START	chey	LINE_START	DEFINITE_SPACE
ZL3b|f31r.3|G004	f31r.3	ZL3b	daiin	[s:r]air	DEFINITE_SPACE	DEFINITE_SPACE
IT2a|f31r.3|G001	f31r.3	IT2a	LINE_START	chey	LINE_START	DEFINITE_SPACE
IT2a|f31r.3|G004	f31r.3	IT2a	daiin	rair	DEFINITE_SPACE	DEFINITE_SPACE
RF1b|f31r.3|G001	f31r.3	RF1b	LINE_START	chey	LINE_START	DEFINITE_SPACE
RF1b|f31r.3|G004	f31r.3	RF1b	daiin	rair	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b|f56r.3|G005	f56r.3	ZL3b	keey	chokeey	DEFINITE_SPACE	DEFINITE_SPACE
IT2a|f56r.3|G005	f56r.3	IT2a	keey	chokeey	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b|f66r.55|G005	f66r.55	ZL3b	chekeody	dyky	DEFINITE_SPACE	DEFINITE_SPACE
IT2a|f66r.55|G005	f66r.55	IT2a	chekeody	dyky	DEFINITE_SPACE	DEFINITE_SPACE
RF1b|f66r.55|G005	f66r.55	RF1b	chekeody	dyky	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b|f75r.5|G009	f75r.5	ZL3b	olsheedy	qoky	DEFINITE_SPACE	DEFINITE_SPACE
IT2a|f75r.5|G010	f75r.5	IT2a	sheedy	qoky	DEFINITE_SPACE	DEFINITE_SPACE
RF1b|f75r.5|G009	f75r.5	RF1b	sheedy	qoky	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b|f75r.23|G003	f75r.23	ZL3b	kshey	qokal	DEFINITE_SPACE	DEFINITE_SPACE
IT2a|f75r.23|G003	f75r.23	IT2a	kshey	qokal	DEFINITE_SPACE	DEFINITE_SPACE
RF1b|f75r.23|G002	f75r.23	RF1b	pcheykshey	qokal	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b|f75r.28|G003	f75r.28	ZL3b	pchedy	sol	DEFINITE_SPACE	DEFINITE_SPACE
IT2a|f75r.28|G003	f75r.28	IT2a	pchedy	sol	DEFINITE_SPACE	DEFINITE_SPACE
RF1b|f75r.28|G003	f75r.28	RF1b	pchedy	sol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b|f75r.33|G001	f75r.33	ZL3b	LINE_START	l	LINE_START	DEFINITE_SPACE
