source_group_id	edition	locus	page	source_group_index	source_group_count	paragraph_start	paragraph_end	left_separator	right_separator	ivtff_group_raw	clean_ascii_fragments	clean_ascii_fragment_count	legacy_surface_positions_1based	legacy_mapping_status
ZL3b|f31r.3|G001	ZL3b	f31r.3	f31r	1	9	0	0	LINE_START	DEFINITE_SPACE	qokeey	qokeey	1	1	ONE_ASCII_FRAGMENT
ZL3b|f31r.3|G004	ZL3b	f31r.3	f31r	4	9	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	4	ONE_ASCII_FRAGMENT
ZL3b|f56r.3|G005	ZL3b	f56r.3	f56r	5	7	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	5	ONE_ASCII_FRAGMENT
ZL3b|f66r.55|G005	ZL3b	f66r.55	f66r	5	8	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	5	ONE_ASCII_FRAGMENT
ZL3b|f75r.5|G009	ZL3b	f75r.5	f75r	9	10	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	9	ONE_ASCII_FRAGMENT
ZL3b|f75r.23|G003	ZL3b	f75r.23	f75r	3	7	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	3	ONE_ASCII_FRAGMENT
ZL3b|f75r.28|G003	ZL3b	f75r.28	f75r	3	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	3	ONE_ASCII_FRAGMENT
ZL3b|f75r.33|G001	ZL3b	f75r.33	f75r	1	10	0	0	LINE_START	DEFINITE_SPACE	qokeey	qokeey	1	1	ONE_ASCII_FRAGMENT
ZL3b|f76r.2|G012	ZL3b	f76r.2	f76r	12	12	0	0	UNCERTAIN_SMALL_SPACE	LINE_END	qokeey	qokeey	1	12	ONE_ASCII_FRAGMENT
ZL3b|f76r.3|G002	ZL3b	f76r.3	f76r	2	13	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	2	ONE_ASCII_FRAGMENT
ZL3b|f76r.5|G002	ZL3b	f76r.5	f76r	2	13	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	2	ONE_ASCII_FRAGMENT
ZL3b|f76r.8|G005	ZL3b	f76r.8	f76r	5	13	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	5	ONE_ASCII_FRAGMENT
ZL3b|f76r.16|G004	ZL3b	f76r.16	f76r	4	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	4	ONE_ASCII_FRAGMENT
ZL3b|f76r.19|G003	ZL3b	f76r.19	f76r	3	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	3	ONE_ASCII_FRAGMENT
ZL3b|f76r.19|G004	ZL3b	f76r.19	f76r	4	11	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	4	ONE_ASCII_FRAGMENT
ZL3b|f76r.25|G003	ZL3b	f76r.25	f76r	3	14	0	0	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	3	ONE_ASCII_FRAGMENT
ZL3b|f76r.56|G004	ZL3b	f76r.56	f76r	4	6	0	1	DEFINITE_SPACE	DEFINITE_SPACE	qokeey	qokeey	1	4	ONE_ASCII_FRAGMENT
