world	locus	edition	source_group_ids_json	source_groups_json	separators_json	literal_json	confidence
ASCENT	f100v.14	ZL3b	"[""ZL3b|f100v.14|G001"", ""ZL3b|f100v.14|G002"", ""ZL3b|f100v.14|G003"", ""ZL3b|f100v.14|G004"", ""ZL3b|f100v.14|G005"", ""ZL3b|f100v.14|G006"", ""ZL3b|f100v.14|G007"", ""ZL3b|f100v.14|G008"", ""ZL3b|f100v.14|G009""]"	"[""{c@132;h}dee{c@133;h}y"", ""sheocphy"", ""qoteody"", ""ckhoor"", ""ar"", ""chor"", ""oteey"", ""daiin"", ""qokomo""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[{c@132;h}dee{c@133;h}y]"", ""[sheocphy]"", ""[qoteody]"", ""[ckhoor]"", ""[ar]"", ""[chor]"", ""[oteey]"", ""viel?"", ""[qokomo]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
LIGHTNESS	f100v.14	ZL3b	"[""ZL3b|f100v.14|G001"", ""ZL3b|f100v.14|G002"", ""ZL3b|f100v.14|G003"", ""ZL3b|f100v.14|G004"", ""ZL3b|f100v.14|G005"", ""ZL3b|f100v.14|G006"", ""ZL3b|f100v.14|G007"", ""ZL3b|f100v.14|G008"", ""ZL3b|f100v.14|G009""]"	"[""{c@132;h}dee{c@133;h}y"", ""sheocphy"", ""qoteody"", ""ckhoor"", ""ar"", ""chor"", ""oteey"", ""daiin"", ""qokomo""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[{c@132;h}dee{c@133;h}y]"", ""[sheocphy]"", ""[qoteody]"", ""[ckhoor]"", ""[ar]"", ""[chor]"", ""[oteey]"", ""viel?"", ""[qokomo]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
ASCENT	f100v.14	IT2a	"[""IT2a|f100v.14|G001"", ""IT2a|f100v.14|G002"", ""IT2a|f100v.14|G003"", ""IT2a|f100v.14|G004"", ""IT2a|f100v.14|G005"", ""IT2a|f100v.14|G006"", ""IT2a|f100v.14|G007"", ""IT2a|f100v.14|G008"", ""IT2a|f100v.14|G009""]"	"[""cthdeecthy"", ""sheocphy"", ""qoteody"", ""ckhoor"", ""ar"", ""chor"", ""oteey"", ""daiin"", ""qokomo""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[cthdeecthy]"", ""[sheocphy]"", ""[qoteody]"", ""[ckhoor]"", ""[ar]"", ""[chor]"", ""[oteey]"", ""viel?"", ""[qokomo]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
LIGHTNESS	f100v.14	IT2a	"[""IT2a|f100v.14|G001"", ""IT2a|f100v.14|G002"", ""IT2a|f100v.14|G003"", ""IT2a|f100v.14|G004"", ""IT2a|f100v.14|G005"", ""IT2a|f100v.14|G006"", ""IT2a|f100v.14|G007"", ""IT2a|f100v.14|G008"", ""IT2a|f100v.14|G009""]"	"[""cthdeecthy"", ""sheocphy"", ""qoteody"", ""ckhoor"", ""ar"", ""chor"", ""oteey"", ""daiin"", ""qokomo""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[cthdeecthy]"", ""[sheocphy]"", ""[qoteody]"", ""[ckhoor]"", ""[ar]"", ""[chor]"", ""[oteey]"", ""viel?"", ""[qokomo]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
ASCENT	f100v.14	RF1b	"[""RF1b|f100v.14|G001"", ""RF1b|f100v.14|G002"", ""RF1b|f100v.14|G003"", ""RF1b|f100v.14|G004"", ""RF1b|f100v.14|G005"", ""RF1b|f100v.14|G006"", ""RF1b|f100v.14|G007"", ""RF1b|f100v.14|G008"", ""RF1b|f100v.14|G009""]"	"[""{c@132;h}@152;ee{c@133;h}y"", ""sheocphy"", ""qoteody"", ""ckhoor"", ""ar"", ""chor"", ""oteey"", ""daiin"", ""qokomo""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[{c@132;h}@152;ee{c@133;h}y]"", ""[sheocphy]"", ""[qoteody]"", ""[ckhoor]"", ""[ar]"", ""[chor]"", ""[oteey]"", ""viel?"", ""[qokomo]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
LIGHTNESS	f100v.14	RF1b	"[""RF1b|f100v.14|G001"", ""RF1b|f100v.14|G002"", ""RF1b|f100v.14|G003"", ""RF1b|f100v.14|G004"", ""RF1b|f100v.14|G005"", ""RF1b|f100v.14|G006"", ""RF1b|f100v.14|G007"", ""RF1b|f100v.14|G008"", ""RF1b|f100v.14|G009""]"	"[""{c@132;h}@152;ee{c@133;h}y"", ""sheocphy"", ""qoteody"", ""ckhoor"", ""ar"", ""chor"", ""oteey"", ""daiin"", ""qokomo""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[{c@132;h}@152;ee{c@133;h}y]"", ""[sheocphy]"", ""[qoteody]"", ""[ckhoor]"", ""[ar]"", ""[chor]"", ""[oteey]"", ""viel?"", ""[qokomo]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
ASCENT	f100v.15	ZL3b	"[""ZL3b|f100v.15|G001"", ""ZL3b|f100v.15|G002"", ""ZL3b|f100v.15|G003"", ""ZL3b|f100v.15|G004"", ""ZL3b|f100v.15|G005"", ""ZL3b|f100v.15|G006"", ""ZL3b|f100v.15|G007"", ""ZL3b|f100v.15|G008"", ""ZL3b|f100v.15|G009"", ""ZL3b|f100v.15|G010"", ""ZL3b|f100v.15|G011""]"	"[""sor"", ""cheey"", ""dair"", ""ol"", ""cheol"", ""qoolkeey"", ""chol"", ""cheey"", ""qokeol"", ""chotol"", ""s""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""UNCERTAIN_SMALL_SPACE""]"	"[""[sor]"", ""[cheey]"", ""[dair]"", ""[ol]"", ""[cheol]"", ""[qoolkeey]"", ""[chol]"", ""[cheey]"", ""[qokeol]"", ""[chotol]"", ""[s]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
LIGHTNESS	f100v.15	ZL3b	"[""ZL3b|f100v.15|G001"", ""ZL3b|f100v.15|G002"", ""ZL3b|f100v.15|G003"", ""ZL3b|f100v.15|G004"", ""ZL3b|f100v.15|G005"", ""ZL3b|f100v.15|G006"", ""ZL3b|f100v.15|G007"", ""ZL3b|f100v.15|G008"", ""ZL3b|f100v.15|G009"", ""ZL3b|f100v.15|G010"", ""ZL3b|f100v.15|G011""]"	"[""sor"", ""cheey"", ""dair"", ""ol"", ""cheol"", ""qoolkeey"", ""chol"", ""cheey"", ""qokeol"", ""chotol"", ""s""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""UNCERTAIN_SMALL_SPACE""]"	"[""[sor]"", ""[cheey]"", ""[dair]"", ""[ol]"", ""[cheol]"", ""[qoolkeey]"", ""[chol]"", ""[cheey]"", ""[qokeol]"", ""[chotol]"", ""[s]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
ASCENT	f100v.15	IT2a	"[""IT2a|f100v.15|G001"", ""IT2a|f100v.15|G002"", ""IT2a|f100v.15|G003"", ""IT2a|f100v.15|G004"", ""IT2a|f100v.15|G005"", ""IT2a|f100v.15|G006"", ""IT2a|f100v.15|G007"", ""IT2a|f100v.15|G008"", ""IT2a|f100v.15|G009"", ""IT2a|f100v.15|G010""]"	"[""sor"", ""cheey"", ""dair"", ""ol"", ""cheol"", ""qoolkeey"", ""chol"", ""cheey"", ""qokeol"", ""chotols""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sor]"", ""[cheey]"", ""[dair]"", ""[ol]"", ""[cheol]"", ""[qoolkeey]"", ""[chol]"", ""[cheey]"", ""[qokeol]"", ""[chotols]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
LIGHTNESS	f100v.15	IT2a	"[""IT2a|f100v.15|G001"", ""IT2a|f100v.15|G002"", ""IT2a|f100v.15|G003"", ""IT2a|f100v.15|G004"", ""IT2a|f100v.15|G005"", ""IT2a|f100v.15|G006"", ""IT2a|f100v.15|G007"", ""IT2a|f100v.15|G008"", ""IT2a|f100v.15|G009"", ""IT2a|f100v.15|G010""]"	"[""sor"", ""cheey"", ""dair"", ""ol"", ""cheol"", ""qoolkeey"", ""chol"", ""cheey"", ""qokeol"", ""chotols""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[sor]"", ""[cheey]"", ""[dair]"", ""[ol]"", ""[cheol]"", ""[qoolkeey]"", ""[chol]"", ""[cheey]"", ""[qokeol]"", ""[chotols]""]"	C0_CONCRETE_COMPLETION_TRIAL_NOT_WORD_IDENTIFICATION
