carrier_id	recipe_id	flattened_recipe_trace	source_layer	carrier_surface	carrier_count	pages	registers_or_classes	carrier_status
G468-C0001	G468-R0001	AL+AIIN	GDT407_RUNNING_EXACT	alaiin	3	f67r2|f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0002	G468-R0001	AL+AIIN	GDT407_RUNNING_EXACT	chalaiin	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0003	G468-R0001	AL+AIIN	GDT407_RUNNING_EXACT	dalaiin	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0004	G468-R0001	AL+AIIN	GDT407_RUNNING_EXACT	daldaiin	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0005	G468-R0024	AL+AL	GDT407_RUNNING_EXACT	dalal	1	f81v	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0006	G468-R0024	AL+AL	GDT407_RUNNING_EXACT	daldal	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0007	G468-R0024	AL+AL	GDT466_ADDRESS_HYBRID	opalal	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0008	G468-R0024	AL+AL	GDT466_ADDRESS_HYBRID	ralal	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0009	G468-R0043	AL+AL+Y	GDT466_ADDRESS_FULL	alaly	1	f72r	STAR_BEARING_RING_POSITION	EXACT_FULL_ADDRESS_FORMULA
G468-C0010	G468-R0045	AL+AM_ADDR	GDT466_ADDRESS_HYBRID	saldam	1	f89r	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0011	G468-R0046	AL+AR	GDT466_ADDRESS_HYBRID	opalar	1	f71v	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0012	G468-R0068	AL+CH+P+Y	GDT466_ADDRESS_FULL	alcphy	1	f71v	STAR_BEARING_RING_POSITION	EXACT_FULL_ADDRESS_FORMULA
G468-C0013	G468-R0131	AL+OL	GDT407_RUNNING_EXACT	alol	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0014	G468-R0152	AL+OR	GDT407_RUNNING_EXACT	alor	2	f76r|f95v	BIOLOGICAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
