factorization_group_id	recipe_id	flattened_recipe_trace	shell_factorization_count	shell_shapes	surface_templates	exact_channel_signatures	support_rank	support_tier	running_surface_type_count	running_event_count	running_page_count	running_surfaces	address_full_formula_count	address_full_formula_surfaces	address_hybrid_shell_count	address_hybrid_shell_surfaces	disposition
G468-F0001	G468-R0781	OK+AIIN	2	PREFIX_CORE_SUFFIX	ok{NAME_CORE}daiin|ok{NAME_CORE}aiin	G466-C08+G466-C14|G466-C08+G466-C15	3	RUNNING_EXACT_RECIPE	4	64	15	chokaiin|okaiin|okalaiin|qokaiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0002	G468-R0804	OK+AL	2	PREFIX_CORE_SUFFIX	ok{NAME_CORE}dal|ok{NAME_CORE}al	G466-C08+G466-C24|G466-C08+G466-C31	6	RUNNING_EXACT_RECIPE	5	47	14	chokal|chykald|okal|okedal|qokal	0	NONE	2	okalyd|okeal	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0003	G468-R0976	OL+AIIN	2	PREFIX_CORE_SUFFIX	ol{NAME_CORE}daiin|ol{NAME_CORE}aiin	G466-C09+G466-C14|G466-C09+G466-C15	13	RUNNING_EXACT_RECIPE	3	13	9	doldaiin|olaiin|qolaiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0004	G468-R1389	OT+AL	2	PREFIX_CORE_SUFFIX	ot{NAME_CORE}dal|ot{NAME_CORE}al	G466-C11+G466-C24|G466-C11+G466-C31	16	RUNNING_EXACT_RECIPE	3	16	8	chotal|otal|qotal	0	NONE	3	otalef|otalody|otchdal	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0005	G468-R1366	OT+AIIN	2	PREFIX_CORE_SUFFIX	ot{NAME_CORE}daiin|ot{NAME_CORE}aiin	G466-C11+G466-C14|G466-C11+G466-C15	20	RUNNING_EXACT_RECIPE	3	20	6	chotaiin|otaiin|qotaiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0006	G468-R0001	AL+AIIN	2	PREFIX_CORE_SUFFIX	al{NAME_CORE}daiin|al{NAME_CORE}aiin	G466-C05+G466-C14|G466-C05+G466-C15	25	RUNNING_EXACT_RECIPE	4	6	4	alaiin|chalaiin|dalaiin|daldaiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0007	G468-R0823	OK+AL+Y	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	ok{NAME_CORE}aly|ok{NAME_CORE_1}al{NAME_CORE_2}shy	G466-C08+G466-C23|G466-C08+G466-C39+G466-C29	26	RUNNING_EXACT_RECIPE	4	5	4	chokaly|okaly|qokaldy|qokaly	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0008	G468-R1997	SH+CH+T+Y	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	sh{NAME_CORE}cthy|sh{NAME_CORE_1}cth{NAME_CORE_2}shy	G466-C12+G466-C20|G466-C12+G466-C37+G466-C29	29	RUNNING_EXACT_RECIPE	1	5	3	shcthy	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0009	G468-R1911	SH+AIIN	2	PREFIX_CORE_SUFFIX	sh{NAME_CORE}daiin|sh{NAME_CORE}aiin	G466-C12+G466-C14|G466-C12+G466-C15	30	RUNNING_EXACT_RECIPE	1	4	3	shaiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0010	G468-R1583	OT+AL+Y	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}shy|ot{NAME_CORE}aly|ot{NAME_CORE_1}al{NAME_CORE_2}shy	G466-C01+G466-C29|G466-C11+G466-C23|G466-C11+G466-C39+G466-C29	33	RUNNING_EXACT_RECIPE	2	3	3	otaly|qotaly	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
