source_id	page	section	unit	statement_position	identity	surface	renderer_body	wrapper	house_surface	identity_position_surface	page_position_surface	house_match	identity_position_match	page_position_match	meaning_change_if_house_surface_used
E003	f10r	HERBAL	H1-S001	FIRST	PROC003	char	ar	ch	char	char	char	YES	YES	YES	NO
E004	f10r	HERBAL	H1-S001	MIDDLE	PROC004	chty	ty	ch	chety	chety	chty	NO	NO	YES	NO
E008	f10r	HERBAL	H1-S001	MIDDLE	PROC008	oky	oky	BARE	qoky	choky	oky	NO	NO	YES	NO
E009	f10r	HERBAL	H1-S001	LAST	PROC009	daiin	aiin	d	daiin	daiin	daiin	YES	YES	YES	NO
E013	f10r	HERBAL	H1-S002	FIRST	PROC013	chol	ol	ch	ol	chol	chol	NO	YES	YES	NO
E014	f10r	HERBAL	H1-S002	LAST	PROC014	cthy	cthy	BARE	checthy	cthy	cthy	NO	YES	YES	NO
E044	f11r	HERBAL	H3-S001	ONLY	PROC031	shey	ey	sh	cheey	shey	shey	NO	YES	YES	NO
E056	f55v	HERBAL	H4-S001	FIRST	PROC038	qokaiin	okaiin	q	qokaiin	qokaiin	qokaiin	YES	YES	YES	NO
E057	f55v	HERBAL	H4-S001	MIDDLE	PROC009	chaiin	aiin	ch	daiin	daiin	chaiin	NO	NO	YES	NO
E061	f55v	HERBAL	H4-S002	FIRST	PROC009	daiin	aiin	d	daiin	saiin	aiin	YES	NO	NO	NO
E062	f55v	HERBAL	H4-S002	MIDDLE	PROC042	chedy	dy	che	chedy	chedy	chedy	YES	YES	YES	NO
E068	f55v	HERBAL	H4-S004	FIRST	PROC009	aiin	aiin	BARE	daiin	saiin	aiin	NO	NO	YES	NO
E069	f55v	HERBAL	H4-S004	MIDDLE	PROC048	okal	okal	BARE	qokal	okal	okal	NO	YES	YES	NO
E071	f55v	HERBAL	H4-S004	MIDDLE	PROC016	or	or	BARE	or	or	or	YES	YES	YES	NO
E072	f55v	HERBAL	H4-S004	MIDDLE	PROC019	y	y	BARE	chey	chey	y	NO	NO	YES	NO
E075	f56r	HERBAL	H5-S001	MIDDLE	PROC052	cho	ho	c	cho	cho	cho	YES	YES	YES	NO
E077	f56r	HERBAL	H5-S001	MIDDLE	PROC009	daiin	aiin	d	daiin	daiin	daiin	YES	YES	YES	NO
E078	f56r	HERBAL	H5-S001	MIDDLE	PROC052	sho	ho	s	cho	cho	cho	NO	NO	NO	NO
E081	f56r	HERBAL	H5-S001	MIDDLE	PROC008	choky	oky	ch	qoky	choky	choky	NO	YES	YES	NO
E082	f56r	HERBAL	H5-S001	LAST	PROC055	dal	al	d	dal	dal	dal	YES	YES	YES	NO
E085	f56r	HERBAL	H5-S002	MIDDLE	PROC008	choky	oky	ch	qoky	choky	choky	NO	YES	YES	NO
E102	f81v	BIOLOGICAL	B1-S002	FIRST	PROC038	okaiin	okaiin	BARE	qokaiin	qokaiin	okaiin	NO	NO	YES	NO
E104	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC048	okal	okal	BARE	qokal	okal	okal	NO	YES	YES	NO
E105	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC003	sar	ar	s	char	char	sar	NO	NO	YES	NO
E106	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC013	ol	ol	BARE	ol	ol	ol	YES	YES	YES	NO
E107	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC069	kain	kain	BARE	kain	kain	kain	YES	YES	YES	NO
E108	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC070	olkain	olkain	BARE	olkain	olkain	olkain	YES	YES	YES	NO
E109	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC055	al	al	BARE	dal	dal	al	NO	NO	YES	NO
E110	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC013	ol	ol	BARE	ol	ol	ol	YES	YES	YES	NO
E114	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC013	ol	ol	BARE	ol	ol	ol	YES	YES	YES	NO
E116	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC009	daiin	aiin	d	daiin	daiin	daiin	YES	YES	YES	NO
E118	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC009	daiin	aiin	d	daiin	daiin	daiin	YES	YES	YES	NO
E119	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC075	chckhy	hckhy	c	chckhy	chckhy	chckhy	YES	YES	YES	NO
E120	f81v	BIOLOGICAL	B1-S002	LAST	PROC076	schedy	chedy	s	schedy	schedy	schedy	YES	YES	YES	NO
E121	f81v	BIOLOGICAL	B1-S003	ONLY	PROC013	qol	ol	q	ol	qol	qol	NO	YES	YES	NO
E123	f81v	BIOLOGICAL	B1-S004	FIRST	PROC042	chedy	dy	che	chedy	chedy	chedy	YES	YES	YES	NO
E124	f81v	BIOLOGICAL	B1-S004	MIDDLE	PROC013	ol	ol	BARE	ol	ol	ol	YES	YES	YES	NO
E125	f81v	BIOLOGICAL	B1-S004	LAST	PROC078	shedy	edy	sh	shedy	shedy	shedy	YES	YES	YES	NO
E126	f81v	BIOLOGICAL	B1-S005	ONLY	PROC079	qolchedy	olchedy	q	qolchedy	qolchedy	qolchedy	YES	YES	YES	NO
E127	f81v	BIOLOGICAL	B1-S006	FIRST	PROC080	qokain	okain	q	qokain	qokain	qokain	YES	YES	YES	NO
E128	f81v	BIOLOGICAL	B1-S006	LAST	PROC075	shckhy	hckhy	s	chckhy	shckhy	shckhy	NO	YES	YES	NO
E132	f81v	BIOLOGICAL	B1-S008	FIRST	PROC019	chey	y	che	chey	chey	chey	YES	YES	YES	NO
E133	f81v	BIOLOGICAL	B1-S008	MIDDLE	PROC013	ol	ol	BARE	ol	ol	ol	YES	YES	YES	NO
E135	f81v	BIOLOGICAL	B1-S008	MIDDLE	PROC013	ol	ol	BARE	ol	ol	ol	YES	YES	YES	NO
E136	f81v	BIOLOGICAL	B1-S008	LAST	PROC078	shedy	edy	sh	shedy	shedy	shedy	YES	YES	YES	NO
E139	f81v	BIOLOGICAL	B1-S011	FIRST	PROC075	chckhy	hckhy	c	chckhy	chckhy	chckhy	YES	YES	YES	NO
E140	f81v	BIOLOGICAL	B1-S011	LAST	PROC008	qoky	oky	q	qoky	qoky	qoky	YES	YES	YES	NO
E142	f81v	BIOLOGICAL	B1-S012	ONLY	PROC085	qokey	okey	q	okey	qokey	qokey	NO	YES	YES	NO
E145	f81v	BIOLOGICAL	B1-S014	FIRST	PROC042	chedy	dy	che	chedy	chedy	chedy	YES	YES	YES	NO
E148	f81v	BIOLOGICAL	B1-S014	LAST	PROC013	qol	ol	q	ol	qol	qol	NO	YES	YES	NO
E151	f81v	BIOLOGICAL	B1-S015	ONLY	PROC091	okchedy	okchedy	BARE	okchedy	okchedy	okchedy	YES	YES	YES	NO
E152	f81v	BIOLOGICAL	B1-S016	FIRST	PROC048	qokal	okal	q	qokal	qokal	qokal	YES	YES	YES	NO
E153	f81v	BIOLOGICAL	B1-S016	MIDDLE	PROC092	okeey	okeey	BARE	qokeey	qokeey	okeey	NO	NO	YES	NO
E154	f81v	BIOLOGICAL	B1-S016	MIDDLE	PROC013	qol	ol	q	ol	ol	ol	NO	NO	NO	NO
E155	f81v	BIOLOGICAL	B1-S016	LAST	PROC078	cheedy	edy	che	shedy	shedy	shedy	NO	NO	NO	NO
E156	f81v	BIOLOGICAL	B1-S017	ONLY	PROC055	sal	al	s	dal	chal	chal	NO	NO	NO	NO
E161	f81v	BIOLOGICAL	B1-S018	FIRST	PROC097	oiiin	oiiin	BARE	oiiin	oiiin	oiiin	YES	YES	YES	NO
E162	f81v	BIOLOGICAL	B1-S018	LAST	PROC098	olkeedy	olkeedy	BARE	olkeedy	olkeedy	olkeedy	YES	YES	YES	NO
E163	f81v	BIOLOGICAL	B1-S019	ONLY	PROC078	tedy	edy	t	shedy	shedy	tedy	NO	NO	YES	NO
E166	f81v	BIOLOGICAL	B1-S021	ONLY	PROC055	chal	al	ch	dal	chal	chal	NO	YES	YES	NO
E167	f82r	BIOLOGICAL	B2-S001	ONLY	PROC076	dchedy	chedy	d	schedy	dchedy	dchedy	NO	YES	YES	NO
E168	f82r	BIOLOGICAL	B2-S002	ONLY	PROC079	qolchedy	olchedy	q	qolchedy	qolchedy	qolchedy	YES	YES	YES	NO
E169	f82r	BIOLOGICAL	B2-S003	FIRST	PROC080	qokain	okain	q	qokain	qokain	okain	YES	YES	NO	NO
E170	f82r	BIOLOGICAL	B2-S003	MIDDLE	PROC019	dy	y	d	chey	chey	dy	NO	NO	YES	NO
E172	f82r	BIOLOGICAL	B2-S004	FIRST	PROC048	qokal	okal	q	qokal	qokal	qokal	YES	YES	YES	NO
E175	f82r	BIOLOGICAL	B2-S004	LAST	PROC092	qokeey	okeey	q	qokeey	qokeey	qokeey	YES	YES	YES	NO
E179	f82r	BIOLOGICAL	B2-S005	FIRST	PROC075	chckhy	hckhy	c	chckhy	chckhy	chckhy	YES	YES	YES	NO
E180	f82r	BIOLOGICAL	B2-S005	MIDDLE	PROC038	qokaiin	okaiin	q	qokaiin	qokaiin	qokaiin	YES	YES	YES	NO
