identity	renderer_body	permitted_wrappers	surfaces_with_counts	physical_occurrences	pages	house_surface	house_matches	identity_position_matches	position_exceptions	teaching_rule
PROC003	ar	ch,d,s	char:2,dar:1,sar:1	4	f10r,f81v,f82r,f83r	char	2	3	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC004	ty	ch,che	chety:1,chty:1	2	f10r,f83r	chety	1	1	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC008	oky	BARE,ch,q	choky:2,oky:1,qoky:7	10	f10r,f56r,f81v,f82r,f83r	qoky	7	7	3	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC009	aiin	BARE,ch,d,s	aiin:3,chaiin:1,daiin:8,saiin:4	16	f10r,f55v,f56r,f81v,f82r,f83r	daiin	8	9	7	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC013	ol	BARE,ch,che,q,s,t	cheol:1,chol:1,ol:8,qol:3,sol:3,tol:1	17	f10r,f81v,f83r	ol	8	10	7	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC014	cthy	BARE,che,sh	checthy:2,cthy:1,shcthy:2	5	f10r,f83r	checthy	2	3	2	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC016	or	BARE,s	or:2,sor:1	3	f55v,f83r	or	2	2	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC019	y	BARE,che,d,s	chey:7,dy:1,sy:1,y:1	10	f55v,f81v,f82r,f83r	chey	7	7	3	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC031	ey	che,sh	cheey:2,shey:2	4	f11r,f82r,f83r	cheey	2	4	0	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC038	okaiin	BARE,q	okaiin:1,qokaiin:8	9	f55v,f81v,f82r,f83r	qokaiin	8	8	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC042	dy	ch,che	chdy:1,chedy:10	11	f55v,f81v,f83r	chedy	10	10	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC048	okal	BARE,q	okal:2,qokal:4	6	f55v,f81v,f82r,f83r	qokal	4	6	0	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC052	ho	c,s	cho:1,sho:1	2	f56r	cho	1	1	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC055	al	BARE,ch,che,d,s,t	al:1,chal:1,cheal:1,dal:5,sal:1,tal:1	10	f56r,f81v,f82r,f83r	dal	5	6	4	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC069	kain	BARE,ch	chkain:1,kain:2	3	f81v,f83r	kain	2	2	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC070	olkain	BARE,q	olkain:1,qolkain:1	2	f81v,f83r	olkain	1	2	0	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC075	hckhy	c,s	chckhy:3,shckhy:1	4	f81v,f82r	chckhy	3	4	0	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC076	chedy	d,s,t	dchedy:1,schedy:2,tchedy:1	4	f81v,f82r,f83r	schedy	2	2	2	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC078	edy	che,sh,t	cheedy:1,shedy:10,tedy:1	12	f81v,f82r,f83r	shedy	10	10	2	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC079	olchedy	BARE,q	olchedy:1,qolchedy:2	3	f81v,f82r,f83r	qolchedy	2	3	0	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC080	okain	BARE,q	okain:3,qokain:4	7	f81v,f82r,f83r	qokain	4	5	2	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC085	okey	BARE,q	okey:1,qokey:1	2	f81v,f82r	okey	1	2	0	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC091	okchedy	BARE,q	okchedy:1,qokchedy:1	2	f81v,f83r	okchedy	1	1	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC092	okeey	BARE,q	okeey:1,qokeey:6	7	f81v,f82r,f83r	qokeey	6	6	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC097	oiiin	BARE,s	oiiin:1,soiiin:1	2	f81v,f83r	oiiin	1	1	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC098	olkeedy	BARE,s	olkeedy:2,solkeedy:1	3	f81v,f83r	olkeedy	2	2	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC112	otaiin	BARE,s	otaiin:2,sotaiin:1	3	f82r,f83r	otaiin	2	3	0	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC117	cthey	q,sh	qcthey:1,shcthey:1	2	f82r,f83r	qcthey	1	1	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
PROC131	otal	BARE,q	otal:1,qotal:2	3	f83r	qotal	2	2	1	USE_HOUSE_SURFACE; READ_LOCAL_WRAPPERS_AS_RENDERER_VARIANTS
