source_id	page	section	unit	statement_position	identity	surface	renderer_body	wrapper	house_surface	identity_position_surface	page_position_surface	house_match	identity_position_match	page_position_match	meaning_change_if_house_surface_used
E004	f10r	HERBAL	H1-S001	MIDDLE	PROC004	chty	ty	ch	chety	chety	chty	NO	NO	YES	NO
E008	f10r	HERBAL	H1-S001	MIDDLE	PROC008	oky	oky	BARE	qoky	choky	oky	NO	NO	YES	NO
E057	f55v	HERBAL	H4-S001	MIDDLE	PROC009	chaiin	aiin	ch	daiin	daiin	chaiin	NO	NO	YES	NO
E061	f55v	HERBAL	H4-S002	FIRST	PROC009	daiin	aiin	d	daiin	saiin	aiin	YES	NO	NO	NO
E068	f55v	HERBAL	H4-S004	FIRST	PROC009	aiin	aiin	BARE	daiin	saiin	aiin	NO	NO	YES	NO
E072	f55v	HERBAL	H4-S004	MIDDLE	PROC019	y	y	BARE	chey	chey	y	NO	NO	YES	NO
E078	f56r	HERBAL	H5-S001	MIDDLE	PROC052	sho	ho	s	cho	cho	cho	NO	NO	NO	NO
E102	f81v	BIOLOGICAL	B1-S002	FIRST	PROC038	okaiin	okaiin	BARE	qokaiin	qokaiin	okaiin	NO	NO	YES	NO
E105	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC003	sar	ar	s	char	char	sar	NO	NO	YES	NO
E109	f81v	BIOLOGICAL	B1-S002	MIDDLE	PROC055	al	al	BARE	dal	dal	al	NO	NO	YES	NO
E153	f81v	BIOLOGICAL	B1-S016	MIDDLE	PROC092	okeey	okeey	BARE	qokeey	qokeey	okeey	NO	NO	YES	NO
E154	f81v	BIOLOGICAL	B1-S016	MIDDLE	PROC013	qol	ol	q	ol	ol	ol	NO	NO	NO	NO
E155	f81v	BIOLOGICAL	B1-S016	LAST	PROC078	cheedy	edy	che	shedy	shedy	shedy	NO	NO	NO	NO
E156	f81v	BIOLOGICAL	B1-S017	ONLY	PROC055	sal	al	s	dal	chal	chal	NO	NO	NO	NO
E163	f81v	BIOLOGICAL	B1-S019	ONLY	PROC078	tedy	edy	t	shedy	shedy	tedy	NO	NO	YES	NO
E170	f82r	BIOLOGICAL	B2-S003	MIDDLE	PROC019	dy	y	d	chey	chey	dy	NO	NO	YES	NO
E195	f82r	BIOLOGICAL	B2-S010	MIDDLE	PROC008	qoky	oky	q	qoky	choky	qoky	YES	NO	YES	NO
E198	f82r	BIOLOGICAL	B2-S011	FIRST	PROC080	okain	okain	BARE	qokain	qokain	okain	NO	NO	YES	NO
E217	f82r	BIOLOGICAL	B2-S016	MIDDLE	PROC009	aiin	aiin	BARE	daiin	daiin	aiin	NO	NO	YES	NO
E237	f83r	BIOLOGICAL	B3-S004	MIDDLE	PROC131	qotal	otal	q	qotal	otal	otal	YES	NO	NO	NO
E239	f83r	BIOLOGICAL	B3-S005	ONLY	PROC076	schedy	chedy	s	schedy	dchedy	schedy	YES	NO	YES	NO
E254	f83r	BIOLOGICAL	B3-S012	FIRST	PROC016	sor	or	s	or	or	or	NO	NO	NO	NO
E257	f83r	BIOLOGICAL	B3-S013	MIDDLE	PROC069	chkain	kain	ch	kain	kain	chkain	NO	NO	YES	NO
E258	f83r	BIOLOGICAL	B3-S013	MIDDLE	PROC117	shcthey	cthey	sh	qcthey	qcthey	shcthey	NO	NO	YES	NO
E264	f83r	BIOLOGICAL	B3-S016	ONLY	PROC091	qokchedy	okchedy	q	okchedy	okchedy	qokchedy	NO	NO	YES	NO
E268	f83r	BIOLOGICAL	B3-S020	FIRST	PROC055	dal	al	d	dal	cheal	dal	YES	NO	YES	NO
E271	f83r	BIOLOGICAL	B3-S021	MIDDLE	PROC014	shcthy	cthy	sh	checthy	checthy	checthy	NO	NO	NO	NO
E273	f83r	BIOLOGICAL	B3-S021	MIDDLE	PROC019	sy	y	s	chey	chey	chey	NO	NO	NO	NO
E274	f83r	BIOLOGICAL	B3-S021	MIDDLE	PROC009	saiin	aiin	s	daiin	daiin	daiin	NO	NO	NO	NO
E278	f83r	BIOLOGICAL	B3-S021	MIDDLE	PROC055	tal	al	t	dal	dal	dal	NO	NO	NO	NO
E279	f83r	BIOLOGICAL	B3-S021	LAST	PROC014	shcthy	cthy	sh	checthy	cthy	shcthy	NO	NO	YES	NO
E283	f83r	BIOLOGICAL	B3-S024	ONLY	PROC076	tchedy	chedy	t	schedy	dchedy	schedy	NO	NO	NO	NO
E288	f83r	BIOLOGICAL	B3-S026	MIDDLE	PROC080	qokain	okain	q	qokain	okain	okain	YES	NO	NO	NO
E291	f83r	BIOLOGICAL	B3-S026	LAST	PROC098	solkeedy	olkeedy	s	olkeedy	olkeedy	solkeedy	NO	NO	YES	NO
E295	f83r	BIOLOGICAL	B3-S029	FIRST	PROC013	sol	ol	s	ol	chol	ol	NO	NO	NO	NO
E299	f83r	BIOLOGICAL	B3-S030	LAST	PROC009	saiin	aiin	s	daiin	daiin	saiin	NO	NO	YES	NO
E309	f83r	BIOLOGICAL	B3-S034	FIRST	PROC097	soiiin	oiiin	s	oiiin	oiiin	soiiin	NO	NO	YES	NO
E323	f83r	BIOLOGICAL	B4-S003	MIDDLE	PROC008	qoky	oky	q	qoky	choky	qoky	YES	NO	YES	NO
E324	f83r	BIOLOGICAL	B4-S003	MIDDLE	PROC013	tol	ol	t	ol	ol	cheol	NO	NO	NO	NO
E342	f83r	BIOLOGICAL	B4-S011	MIDDLE	PROC042	chdy	dy	ch	chedy	chedy	chedy	NO	NO	NO	NO
E343	f83r	BIOLOGICAL	B4-S011	LAST	PROC013	sol	ol	s	ol	qol	sol	NO	NO	YES	NO
E366	f83r	BIOLOGICAL	B5-S003	MIDDLE	PROC013	cheol	ol	che	ol	ol	cheol	NO	NO	YES	NO
E369	f83r	BIOLOGICAL	B5-S003	MIDDLE	PROC009	aiin	aiin	BARE	daiin	daiin	daiin	NO	NO	NO	NO
E370	f83r	BIOLOGICAL	B5-S003	MIDDLE	PROC013	sol	ol	s	ol	ol	cheol	NO	NO	NO	NO
E376	f83r	BIOLOGICAL	B6-S001	FIRST	PROC013	ol	ol	BARE	ol	chol	ol	YES	NO	YES	NO
