identity	statement_position	preferred_surface	matches	occurrences	exceptions
PROC003	FIRST	char	1	1	0
PROC003	LAST	dar	1	1	0
PROC003	MIDDLE	char	1	2	1
PROC004	MIDDLE	chety	1	2	1
PROC008	FIRST	qoky	2	2	0
PROC008	LAST	qoky	2	2	0
PROC008	MIDDLE	choky	2	5	3
PROC008	ONLY	qoky	1	1	0
PROC009	FIRST	saiin	2	4	2
PROC009	LAST	daiin	1	2	1
PROC009	MIDDLE	daiin	6	10	4
PROC013	FIRST	chol	1	3	2
PROC013	LAST	qol	1	2	1
PROC013	MIDDLE	ol	7	11	4
PROC013	ONLY	qol	1	1	0
PROC014	LAST	cthy	1	2	1
PROC014	MIDDLE	checthy	2	3	1
PROC016	FIRST	or	1	2	1
PROC016	MIDDLE	or	1	1	0
PROC019	FIRST	chey	2	2	0
PROC019	LAST	chey	3	3	0
PROC019	MIDDLE	chey	2	5	3
PROC031	FIRST	cheey	1	1	0
PROC031	LAST	cheey	1	1	0
PROC031	MIDDLE	shey	1	1	0
PROC031	ONLY	shey	1	1	0
PROC038	FIRST	qokaiin	5	6	1
PROC038	MIDDLE	qokaiin	3	3	0
PROC042	FIRST	chedy	5	5	0
PROC042	LAST	chedy	2	2	0
PROC042	MIDDLE	chedy	3	4	1
PROC048	FIRST	qokal	4	4	0
PROC048	MIDDLE	okal	2	2	0
PROC052	MIDDLE	cho	1	2	1
PROC055	FIRST	cheal	1	2	1
PROC055	LAST	dal	1	1	0
PROC055	MIDDLE	dal	3	5	2
PROC055	ONLY	chal	1	2	1
PROC069	MIDDLE	kain	2	3	1
PROC070	FIRST	qolkain	1	1	0
PROC070	MIDDLE	olkain	1	1	0
PROC075	FIRST	chckhy	2	2	0
PROC075	LAST	shckhy	1	1	0
PROC075	MIDDLE	chckhy	1	1	0
PROC076	LAST	schedy	1	1	0
PROC076	ONLY	dchedy	1	3	2
PROC078	LAST	shedy	7	8	1
PROC078	ONLY	shedy	3	4	1
PROC079	LAST	olchedy	1	1	0
PROC079	ONLY	qolchedy	2	2	0
PROC080	FIRST	qokain	3	4	1
PROC080	MIDDLE	okain	2	3	1
PROC085	LAST	okey	1	1	0
PROC085	ONLY	qokey	1	1	0
PROC091	ONLY	okchedy	1	2	1
PROC092	FIRST	qokeey	3	3	0
PROC092	LAST	qokeey	1	1	0
PROC092	MIDDLE	qokeey	2	3	1
PROC097	FIRST	oiiin	1	2	1
PROC098	LAST	olkeedy	1	2	1
PROC098	ONLY	olkeedy	1	1	0
PROC112	FIRST	sotaiin	1	1	0
PROC112	LAST	otaiin	1	1	0
PROC112	MIDDLE	otaiin	1	1	0
PROC117	MIDDLE	qcthey	1	2	1
PROC131	MIDDLE	otal	1	2	1
PROC131	ONLY	qotal	1	1	0
