edition	R	primary	CC	CS	SC	SS	leaves	witnesses
ZL3b	aiin	True	1	3	0	0	f29,f4,f8	f29v.6:chaiin shaiin;f4r.12:chaiin chaiin;f4v.3:chaiin shaiin;f8v.3:chaiin shaiin
ZL3b	al	True	1	0	0	0	f108	f108v.36:chal chal
ZL3b	ar	True	0	0	0	1	f116	f116r.41:shar shar
ZL3b	ckhedy	True	0	0	0	1	f83	f83r.27:shckhedy shckhedy
ZL3b	ckhy	True	0	1	0	0	f76	f76r.20:chckhy shckhy
ZL3b	dy	True	4	0	0	0	f33,f85,f95	f33v.6:chdy chdy;f85r1.30:chdy chdy;f95r1.2:chdy chdy;f95r2.6:chdy chdy
ZL3b	eckhy	True	1	0	0	0	f76	f76v.19:checkhy checkhy
ZL3b	edy	True	7	1	7	7	f103,f104,f105,f106,f111,f34,f46,f66,f76,f77,f82,f83	f103v.7:shedy shedy;f104r.7:shedy chedy;f104v.6:chedy shedy;f105r.13:chedy chedy;f106r.2:chedy chedy;f111r.42:chedy chedy;f111v.42:chedy chedy;f34r.5:shedy shedy;f46v.3:shedy chedy;f66r.67:shedy shedy;f76r.19:shedy shedy;f76r.23:chedy chedy;f76r.29:shedy shedy;f76v.2:shedy chedy;f76v.23:shedy shedy;f76v.23:shedy chedy;f77r.34:shedy chedy;f77v.12:shedy chedy;f77v.13:shedy chedy;f82r.18:shedy shedy;f82v.8:chedy chedy;f83v.13:chedy chedy
ZL3b	ekaiin	True	1	0	0	0	f95	f95r1.3:chekaiin chekaiin
ZL3b	eky	True	0	0	0	1	f46	f46r.4:sheky sheky
ZL3b	eol	True	1	0	1	2	f104,f107,f76	f104v.27:sheol sheol;f104v.27:sheol sheol;f107r.39:cheol cheol;f76r.36:sheol cheol
ZL3b	ey	True	2	0	0	0	f103,f49	f103v.38:chey chey;f49r.17:chey chey
ZL3b	o	True	0	0	0	2	f24,f4	f24v.14:sho sho;f4v.3:sho sho
ZL3b	oky	True	1	0	0	0	f44	f44r.10:choky choky
ZL3b	ol	False	17	5	4	5	f100,f102,f15,f17,f21,f29,f3,f4,f42,f44,f45,f47,f56,f8,f9	f100r.23:shol shol;f102r1.10:chol chol;f15v.9:chol chol;f17v.13:chol chol;f21r.11:shol chol;f21r.11:chol shol;f29v.2:chol chol;f29v.3:chol chol;f3v.3:chol shol;f42r.12:chol shol;f42r.13:shol shol;f42r.20:shol chol;f42r.20:chol shol;f42r.21:shol chol;f42r.21:chol chol;f42r.21:chol shol;f44v.11:chol chol;f45r.2:chol chol;f47r.6:shol shol;f47r.7:chol chol;f47r.7:chol chol;f47v.9:chol chol;f4r.2:shol shol;f4r.8:shol shol;f56v.3:chol chol;f56v.7:shol chol;f56v.15:chol chol;f56v.16:chol chol;f8v.5:chol chol;f8v.8:chol chol;f9v.7:chol chol
ZL3b	om	True	0	1	0	0	f3	f3r.7:chom shom
ZL3b	or	False	5	1	2	2	f10,f11,f113,f15,f17,f29,f35,f6,f8	f10r.9:shor chor;f113r.11:chor chor;f11r.5:shor shor;f15v.5:chor chor;f17r.5:chor shor;f29r.6:shor shor;f29r.8:shor chor;f35v.21:chor chor;f6r.2:chor chor;f8r.4:chor chor
ZL3b	y	True	1	1	0	0	f37,f47	f37r.10:chy shy;f47v.12:chy chy
IT2a	aiin	True	1	3	0	0	f29,f4,f8	f29v.6:chaiin shaiin;f4r.12:chaiin chaiin;f4v.3:chaiin shaiin;f8v.3:chaiin shaiin
IT2a	al	True	1	0	0	0	f108	f108v.36:chal chal
IT2a	am	True	1	0	0	0	f3	f3r.4:cham cham
IT2a	ar	True	0	0	1	2	f116,f4,f79	f116r.41:shar shar;f4v.12:shar char;f79r.21:shar shar
IT2a	ckhedy	True	0	0	0	1	f83	f83r.27:shckhedy shckhedy
IT2a	ckhey	True	0	0	1	0	f76	f76v.27:shckhey chckhey
IT2a	ckhy	True	0	1	0	0	f76	f76r.20:chckhy shckhy
IT2a	dy	True	4	0	0	0	f33,f85,f95	f33v.6:chdy chdy;f85r1.30:chdy chdy;f95r1.2:chdy chdy;f95r2.6:chdy chdy
IT2a	ear	True	1	0	0	0	f58	f58r.27:chear chear
IT2a	eckhy	True	0	1	0	0	f76	f76v.19:checkhy sheckhy
IT2a	edy	True	9	3	8	8	f103,f104,f105,f106,f111,f113,f34,f46,f66,f76,f77,f79,f82,f83	f103v.7:shedy shedy;f104r.7:shedy chedy;f104v.6:chedy shedy;f105r.13:chedy chedy;f106r.2:chedy chedy;f111r.9:chedy chedy;f111v.42:chedy chedy;f113r.5:chedy chedy;f34r.5:shedy shedy;f46v.3:shedy chedy;f46v.7:chedy chedy;f66r.61:shedy chedy;f76r.19:shedy shedy;f76r.23:chedy chedy;f76r.29:shedy shedy;f76r.34:shedy shedy;f76v.2:shedy chedy;f76v.23:shedy shedy;f76v.23:shedy chedy;f76v.38:chedy shedy;f77r.34:shedy chedy;f77v.12:shedy chedy;f77v.13:shedy chedy;f79r.35:chedy shedy;f82r.18:shedy shedy;f82v.6:shedy shedy;f82v.8:chedy chedy;f83v.13:chedy chedy
IT2a	ekaiin	True	1	0	0	0	f95	f95r1.3:chekaiin chekaiin
IT2a	eky	True	0	0	0	1	f46	f46r.4:sheky sheky
IT2a	eol	True	1	0	0	2	f104,f107	f104v.27:sheol sheol;f104v.27:sheol sheol;f107r.39:cheol cheol
IT2a	eor	True	0	1	1	0	f102,f89	f102v2.32:cheor sheor;f89v1.10:sheor cheor
IT2a	ey	True	1	0	1	0	f103,f111	f103v.38:chey chey;f111r.21:shey chey
IT2a	o	True	1	0	0	2	f24,f4,f47	f24v.14:sho sho;f47v.12:cho cho;f4v.3:sho sho
IT2a	oky	True	1	0	0	0	f44	f44r.10:choky choky
