global_running_event_id	global_statement_id	physical_page	register	owner_de	surface	component_recipe	action_chain	reduction_status	repair_rules	imperative_clause_de
G407-E3748	G407-S641	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	chckhal	CH+CH+K+AL	CH+CH+K	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und führe den Stationsanteil [wie zuvor] zu; zur Zielstation.
G407-E0714	G407-S034	f55v	HERBAL	große aromatische Doldenpflanze	chckhdy	CH+CH+K+D_ADDR+Y	CH+CH+K	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Nimm den Pflanzenposten, nimm den Pflanzenposten und gib den Pflanzenposten zu; an der bezeichneten Stelle.
G407-E3648	G407-S609	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	chckhdy	CH+CH+K+D_ADDR+Y	CH+CH+K	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; an der bezeichneten Stelle.
G407-E1952	G407-S218	f76r	BIOLOGICAL	unbebilderter Textabschnitt A3	chckhey	CH+CH+K+E+Y	CH+CH+K	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.
G407-E1971	G407-S221	f76r	BIOLOGICAL	unbebilderter Textabschnitt A4	chckheed	CH+CH+K+E+Y	CH+CH+K	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.
G407-E2567	G407-S368	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chckhey	CH+CH+K+E+Y	CH+CH+K	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.
G407-E3442	G407-S556	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	chckhey	CH+CH+K+E+Y	CH+CH+K	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.
G407-E1914	G407-S210	f76r	BIOLOGICAL	unbebilderter Textabschnitt A2	chcphedy	CH+CH+P+E+DY	CH+CH+P	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.
G407-E2631	G407-S381	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chcphey	CH+CH+P+E+Y	CH+CH+P	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.
G407-E2774	G407-S400	f81r	BIOLOGICAL	F81R_UPPER_POOL	chcphey	CH+CH+P+E+Y	CH+CH+P	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.
G407-E4113	G407-S669	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe B	cheocphey	CH+CH+P+E+Y	CH+CH+P	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Nimm den Drogenposten, nimm den Drogenposten und setze den Drogenposten ein; auf Grad I.
G407-E0609	G407-S030	f24v	HERBAL	F24V_WHOLE_PLANT	chcphy	CH+CH+P+Y	CH+CH+P	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Nimm den Pflanzenposten, nimm den Pflanzenposten und setze den Pflanzenposten ein.
G407-E1837	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	chcphy	CH+CH+P+Y	CH+CH+P	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein.
G407-E1838	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	chcphdy	CH+CH+P+Y	CH+CH+P	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein.
G407-E0799	G407-S038	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chchs	CH+CH+S	CH+CH+S	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Nimm, nimm und wähle.
G407-E1292	G407-S071	f72r	CELESTIAL	Tierkreis-Ringgruppe F	chchs	CH+CH+S	CH+CH+S	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Nimm den Positionswert [wie zuvor] auf, nimm den Positionswert [wie zuvor] auf und wähle den Positionswert [wie zuvor].
G407-E0630	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	chcth	CH+CH+T	CH+CH+T	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Nimm den Pflanzenposten [wie zuvor], nimm den Pflanzenposten [wie zuvor] und stelle den Pflanzenposten [wie zuvor] ein.
G407-E3758	G407-S643	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	chcthdy	CH+CH+T+D_ADDR+Y	CH+CH+T	ALL_ADJACENT_PAIRS_ATTESTED	NONE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; an der bezeichneten Stelle.
