component_recipe	action_chain	pair_ordinal	missing_pair	between_atoms	r_topology	repair_rule	repair_reading_de	event_count	global_running_event_ids	pages	registers	irreducible_new_chain_card
CH+CH+T+Y+K+E+DY	CH+CH+T+K	3	T+K	Y	NONE	VISIBLE_SLOT_BOUNDARY_SPLITS_CHAIN	VOR UND NACH SICHTBARER SCHUBLADE GETRENNT LESEN	1	G407-E4486	f95v	HERBAL	NO
CH+E+T+Y+R+Y	CH+T+R	2	T+R	Y	R_POSITIONAL_NESTED	R_POSITIONAL_TOPOLOGY_NOT_ORDINARY_PAIR	R ALS GELERNTE KOPF/SCHWANZ-TOPOLOGIE BINDEN	1	G407-E2796	f81r	BIOLOGICAL	NO
CH+T+R+E+S	CH+T+R+S	2	T+R	NONE	R_POSITIONAL_TAIL	R_POSITIONAL_TOPOLOGY_NOT_ORDINARY_PAIR	R ALS GELERNTE KOPF/SCHWANZ-TOPOLOGIE BINDEN	1	G407-E0007	f1r	SOURCE_SECTION_T	NO
K+CH+EE+D_ADDR+CHD+Y	K+CH+CHD	2	CH+CHD	EE+D_ADDR	NONE	VISIBLE_SLOT_BOUNDARY_SPLITS_CHAIN	VOR UND NACH SICHTBARER SCHUBLADE GETRENNT LESEN	1	G407-E0691	f55v	HERBAL	NO
OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y	OK+P+CH	1	OK+P	A_ADDR+LOCAL_CHAR_I	NONE	VISIBLE_SLOT_BOUNDARY_SPLITS_CHAIN	VOR UND NACH SICHTBARER SCHUBLADE GETRENNT LESEN	1	G407-E1398	f72r	CELESTIAL	NO
OK+CHD+S+DY	OK+CHD+S	2	CHD+S	NONE	NONE	PEER_ACTION_CHUNK_BREAK	ALS ZWEI AUFEINANDERFOLGENDE GELERNTE HANDLUNGSPAKETE LESEN	1	G407-E2022	f76r	BIOLOGICAL	NO
OK+OK+CH+Y	OK+OK+CH	1	OK+OK	NONE	NONE	REPEATED_ACTION_SCOPE	GLEICHE HANDLUNG AUF ZWEI PAKETEBENEN	1	G407-E0871	f56r	HERBAL	NO
P+OT+CH+OK+OR	P+CH+OK	2	CH+OK	NONE	NONE	PEER_ACTION_CHUNK_BREAK	ALS ZWEI AUFEINANDERFOLGENDE GELERNTE HANDLUNGSPAKETE LESEN	1	G407-E1833	f76r	BIOLOGICAL	NO
S+AL+CH+T+E+D_ADDR+Y+T+AR	S+CH+T+T	3	T+T	E+D_ADDR+Y	NONE	REPEATED_ACTION_SCOPE	GLEICHE HANDLUNG AUF ZWEI PAKETEBENEN	1	G407-E3129	f81v	BIOLOGICAL	NO
S+E+P+CH+Y	S+P+CH	1	S+P	E	NONE	VISIBLE_SLOT_BOUNDARY_SPLITS_CHAIN	VOR UND NACH SICHTBARER SCHUBLADE GETRENNT LESEN	1	G407-E0495	f17r	HERBAL	NO
Y+T+O+E+O+P+CH+E+Y	T+P+CH	1	T+P	O+E+O	NONE	VISIBLE_SLOT_BOUNDARY_SPLITS_CHAIN	VOR UND NACH SICHTBARER SCHUBLADE GETRENNT LESEN	1	G407-E0966	f67r2	CELESTIAL	NO
