component_recipe	action_count	action_chain	adjacent_pair_count	adjacent_pairs	attested_adjacent_pair_count	missing_adjacent_pair_count	repair_rules	reduction_status	event_count	register_count	registers	page_count	surfaces	portable_reading_de	new_chain_card_required
CH+CH+K+AL	3	CH+CH+K	2	CH+CH|CH+K	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	1	1	BIOLOGICAL	1	chckhal	NEHMEN · NEHMEN · GEBEN · ZIELORT	NO
CH+CH+K+D_ADDR+Y	3	CH+CH+K	2	CH+CH|CH+K	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	2	2	BIOLOGICAL|HERBAL	2	chckhdy	NEHMEN · NEHMEN · GEBEN · HIER · POSTEN	NO
CH+CH+K+E+Y	3	CH+CH+K	2	CH+CH|CH+K	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	4	1	BIOLOGICAL	3	chckheed|chckhey	NEHMEN · NEHMEN · GEBEN · GRAD I · POSTEN	NO
CH+CH+P+E+DY	3	CH+CH+P	2	CH+CH|CH+P	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	1	1	BIOLOGICAL	1	chcphedy	NEHMEN · NEHMEN · EINSETZEN · GRAD I · SCHLUSS	NO
CH+CH+P+E+Y	3	CH+CH+P	2	CH+CH|CH+P	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	3	2	BIOLOGICAL|PHARMA	3	chcphey|cheocphey	NEHMEN · NEHMEN · EINSETZEN · GRAD I · POSTEN	NO
CH+CH+P+Y	3	CH+CH+P	2	CH+CH|CH+P	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	3	2	BIOLOGICAL|HERBAL	2	chcphdy|chcphy	NEHMEN · NEHMEN · EINSETZEN · POSTEN	NO
CH+CH+S	3	CH+CH+S	2	CH+CH|CH+S	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	2	2	CELESTIAL|HERBAL	2	chchs	NEHMEN · NEHMEN · WÄHLEN	NO
CH+CH+T	3	CH+CH+T	2	CH+CH|CH+T	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	1	1	HERBAL	1	chcth	NEHMEN · NEHMEN · EINSTELLEN	NO
CH+CH+T+D_ADDR+Y	3	CH+CH+T	2	CH+CH|CH+T	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	1	1	BIOLOGICAL	1	chcthdy	NEHMEN · NEHMEN · EINSTELLEN · HIER · POSTEN	NO
CH+CH+T+E+DY	3	CH+CH+T	2	CH+CH|CH+T	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	1	1	BIOLOGICAL	1	chcthedy	NEHMEN · NEHMEN · EINSTELLEN · GRAD I · SCHLUSS	NO
CH+CH+T+E+Y	3	CH+CH+T	2	CH+CH|CH+T	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	1	1	BIOLOGICAL	1	chcthey	NEHMEN · NEHMEN · EINSTELLEN · GRAD I · POSTEN	NO
CH+CH+T+OL	3	CH+CH+T	2	CH+CH|CH+T	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	1	1	PHARMA	1	chcthol	NEHMEN · NEHMEN · EINSTELLEN · FORTSETZEN	NO
CH+CH+T+Y	3	CH+CH+T	2	CH+CH|CH+T	2	0	NONE	ALL_ADJACENT_PAIRS_ATTESTED	13	2	BIOLOGICAL|HERBAL	9	chcthy	NEHMEN · NEHMEN · EINSTELLEN · POSTEN	NO
