case	table	candidates	lower	upper	contradicted
IT2a_BOTTOM_UP	A	16	1	6	10
IT2a_BOTTOM_UP	B	16	2	2	14
IT2a_BOTTOM_UP	C	16	4	4	12
IT2a_TOP_DOWN	A	16	2	3	13
IT2a_TOP_DOWN	B	16	2	2	14
IT2a_TOP_DOWN	C	16	1	1	15
RF1b_BOTTOM_UP	A	56	0	0	56
RF1b_BOTTOM_UP	B	56	1	1	55
RF1b_BOTTOM_UP	C	56	0	0	56
RF1b_TOP_DOWN	A	60	0	0	60
RF1b_TOP_DOWN	B	60	0	0	60
RF1b_TOP_DOWN	C	60	0	0	60
ZL3b_BOTTOM_UP	A	152	0	1	151
ZL3b_BOTTOM_UP	B	152	1	1	151
ZL3b_BOTTOM_UP	C	152	1	1	151
ZL3b_TOP_DOWN	A	76	0	3	73
ZL3b_TOP_DOWN	B	76	1	1	75
ZL3b_TOP_DOWN	C	76	0	0	76
