audit_id	page	register	image_object_id	image_sha256	statement_id	visible_structure_de	surface_sequence	component_sequence	portable_roots_present	old_narrow_values_replaced	manual_image_owned_reading_de	visual_fit	image_does_not_show_de	decision
P1019-01	f13r	HERBAL	1006098	454eb5f05db936ed0cf729c3881af0ded0993bc116246c6c8fd0c2789f4e9833	P1009-S005	eine ganze Pflanze mit großer Wurzelkrone, getrennten Blattgruppen und Blütenstand	torshor opchy shol dy qopchy shol opchor dypchy dchg dchol chol dol shkchy ydal shy ykchy qoty daiin s y s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar qodchy ytchy otchor shorodo shy tshy kchol dpchy qopchy otchol cfholdy	T+OR+SH+OR | O+P+Y | SH+OL | Y | O+P+Y | SH+OL | O+P+CH+OR | D_ADDR+Y+P+Y | D_ADDR+CH+LOCAL_CHAR_G | D_ADDR+OL | OL | D_ADDR+OL | SH+K+Y | Y+AL | Y | Y+K+Y | OT+Y | AIIN | S | Y | S | Y | D_ADDR+CH+OR | SH+AIIN | O+EEE+S | Y+K+OR | CH+OR | Y+T+Y | Y+K+Y | K+Y | D_ADDR+AR | O+D_ADDR+Y | Y+T+Y | OT+CH+OR | SH+OR+O+D_ADDR+O | Y | T+Y | K+OL | D_ADDR+P+Y | O+P+Y | OT+CH+OL | CH+LOCAL_CHAR_F+OL+DY	WERT+EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Am gezeigten Pflanzenbesitzer Teilgruppen wählen, den zugehörigen Wert halten, die laufende Einheit weitergeben und schließen.	PLAUSIBEL	Messskala, Gefäß, Mischung, Flussrichtung	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-02	f13r	HERBAL	1006098	454eb5f05db936ed0cf729c3881af0ded0993bc116246c6c8fd0c2789f4e9833	P1009-S006	eine ganze Pflanze mit großer Wurzelkrone, getrennten Blattgruppen und Blütenstand	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	T+CH+OR | D_ADDR+OR | AIIN | OT+CH+OL | OK+Y | OK+CH+OR | O+IIN | CH+K+Y | D_ADDR | D_ADDR+Y | OK+Y | OL | Y | O+Y | D_ADDR | OL+DY	WERT+EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Den nächsten Pflanzenposten auf den angegebenen Wert einstellen, in derselben Einheit setzen und fortführen; schließen.	PLAUSIBEL	Messskala, Gefäß, Mischung, Flussrichtung	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-03	f13r	HERBAL	1006098	454eb5f05db936ed0cf729c3881af0ded0993bc116246c6c8fd0c2789f4e9833	P1009-S009	eine ganze Pflanze mit großer Wurzelkrone, getrennten Blattgruppen und Blütenstand	sotchy kchy okorory	S+OT+Y | K+Y | OK+OR+OR+Y	EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Den sichtbaren Pflanzenteil wählen und in die laufende Einheit setzen; offen weiterführen.	STARK	Messskala, Gefäß, Mischung, Flussrichtung	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-04	f75r	BIOLOGICAL	1006208	6fd33917722a97ef0c93f905885963332645c1a1c81f60f03a165b12007a7fc3	P1009-S075	viele Figuren in mehreren lokalen grünen Becken-, Insel- und Stationsgruppen	ror qokain chal orchey qey kain sheeky ltain olkar or dackhy lkamo ykeey lshey kal dy shey ok shey qokeedy	R+OR | OK+AIN | CH+AL | OR+Y | E+Y | K+AIN | SH+EE+K+Y | L+T+AIN | OL+K+AR | OR | DA+CH+K+Y | L+K+AM_ADDR+O | Y+K+EE+Y | L+SH+E+Y | K+AL | Y | SH+E+Y | OK | SH+E+Y | OK+EE+DY	ANTEIL+EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	An der oberen Figuren- und Stationsgruppe einen Anteil setzen, länger halten, innerhalb derselben lokalen Einheit weitergeben und schließen.	PLAUSIBEL	Nummern, Mengenmaß, globale Reihenfolge, eindeutige Flussrichtung	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-05	f75r	BIOLOGICAL	1006208	6fd33917722a97ef0c93f905885963332645c1a1c81f60f03a165b12007a7fc3	P1009-S100	viele Figuren in mehreren lokalen grünen Becken-, Insel- und Stationsgruppen	qokain chckhy qokain otar aly sain qokain qolkeeoly saiin chedy sol or shedy	OK+AIN | CH+K+Y | OK+AIN | OT+AR | AL+Y | S+AIN | OK+AIN | OL+K+EE+OL+Y | S+AIIN | CHD+Y | OL | OR | SH+E+DY	WERT+ANTEIL+EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	In der lokalen Stationsgruppe einen Anteil nach dem angegebenen Wert setzen, umsetzen und halten; die Einheit schließen.	STARK	Nummern, Mengenmaß, globale Reihenfolge, eindeutige Flussrichtung	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-06	f75r	BIOLOGICAL	1006208	6fd33917722a97ef0c93f905885963332645c1a1c81f60f03a165b12007a7fc3	P1009-S179	viele Figuren in mehreren lokalen grünen Becken-, Insel- und Stationsgruppen	okaiin qokey qokedy	OK+AIIN | OK+E+Y | OK+E+DY	WERT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Den lokalen Posten auf den bezeichneten Wert setzen und den kurzen Stationsgang schließen.	PLAUSIBEL	Nummern, Mengenmaß, globale Reihenfolge, eindeutige Flussrichtung	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-07	f67r2	CELESTIAL	1006194	099ded767a3f8a3472e675dcaa2b609ab2d6842d62813a94159fc1dc20f023f3	P1009-S031	zwei getrennte Himmelsräder mit radialen Sektoren, Ringen, Gestirnen und Einträgen	opodchol s ain aldy soeey doiin oldy	O+P+O+D_ADDR+OL | S | AIN | AL+D_ADDR+Y | S+O+EE+Y | D_ADDR+O+IIN | OL+DY	ANTEIL	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Im linken Himmelsrad einen Sektoranteil einsetzen, auswählen und zum bezeichneten Ort weiterführen; schließen.	STARK	verbindender Schlüssel, Startpunkt, Drehrichtung, physisches Maß	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-08	f67r2	CELESTIAL	1006194	099ded767a3f8a3472e675dcaa2b609ab2d6842d62813a94159fc1dc20f023f3	P1009-S032	zwei getrennte Himmelsräder mit radialen Sektoren, Ringen, Gestirnen und Einträgen	odaeiin okoes oekain y otchey soraiir dy qopchy daiin dal ydchos ain ar amy chocfhy saral sain am ar	O+DA+E+IIN | OK+O+E+S | O+E+K+AIN | Y | OT+Y | S+OR+AIIN+R | Y | O+P+Y | AIIN | AL | Y+D_ADDR+CH+O+S | AIN | AR | AM_ADDR+Y | CH+O+CH+LOCAL_CHAR_F+Y | S+AR+AL | S+AIN | AM_ADDR | AR	WERT+ANTEIL+EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Im bezeichneten Rad einen Anteil nach seinem Wert auswählen, in die zugehörige Eintragseinheit setzen und bis zur sichtbaren Grenze führen.	STARK	verbindender Schlüssel, Startpunkt, Drehrichtung, physisches Maß	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-09	f67r2	CELESTIAL	1006194	099ded767a3f8a3472e675dcaa2b609ab2d6842d62813a94159fc1dc20f023f3	P1009-S033	zwei getrennte Himmelsräder mit radialen Sektoren, Ringen, Gestirnen und Einträgen	oparchy salsain sodar ofar ar ydam yteoor yto ykor okeo r aiin am	O+P+AR+CH+Y | S+AL+S+AIN | S+O+DA+R | O+LOCAL_CHAR_F+AR | AR | Y+DA+AM_ADDR | Y+T+E+O+OR | Y+T+O | Y+K+OR | OK+E+O | R | AIIN | AM_ADDR	WERT+ANTEIL+EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Einen weiteren Radanteil nach seinem Wert nehmen, markieren und als eigene Eintragseinheit weiterführen.	PLAUSIBEL	verbindender Schlüssel, Startpunkt, Drehrichtung, physisches Maß	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
P1019-10	f88r	PHARMA	1037112	a1d21ccad0df430b47f3b3df2829bbefb8c4d1644cb70310e6d1de4b01c20013	P1009-S590	drei Gefäße und drei Reihen gezeichneter Wurzel-, Blatt-, Frucht- und Kronenposten	dorsheoy ctheol qockhey dory sheor sholfchor dal chcthol ral sheom keol chear shekor qokor daiin sar s aiin oky sam oain or om otam okeom cheeor qokeody dar or om cheody qokeol cheol saiin cheos cheol doleeey or cheom cheojam yokeody cheom qoor cheeb ykeor shy sam	D_ADDR+OR+SH+E+O+Y | CH+T+E+OL | O+CH+K+E+Y | D_ADDR+OR+Y | SH+E+OR | SH+OL+LOCAL_CHAR_F+CH+OR | AL | CH+CH+T+OL | R+AL | SH+E+O+AM_ADDR | K+E+OL | CH+E+AR | SH+E+K+OR | OK+OR | AIIN | S+AR | S | AIIN | OK+Y | S+AM_ADDR | O+AIN | OR | O+AM_ADDR | OT+AM_ADDR | OK+E+O+AM_ADDR | CH+EE+OR | OK+E+O+D_ADDR+Y | D_ADDR+AR | OR | O+AM_ADDR | CH+E+O+Y | OK+E+OL | CH+E+O+L | S+AIIN | CH+E+O+S | CH+E+O+L | D_ADDR+OL+EEE+Y | OR | CH+E+O+AM_ADDR | CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR | Y+OK+E+O+D_ADDR+Y | CH+E+O+AM_ADDR | CARRIER_Q+O+OR | CH+EE+LOCAL_CHAR_B | Y+K+E+OR | Y | S+AM_ADDR	WERT+ANTEIL+EINHEIT	MASS->WERT;PORTION->ANTEIL;ANSATZ->EINHEIT	Aus der bezeichneten Zutatenreihe einen Anteil wählen, seinen Wert setzen und ihn innerhalb der zugehörigen Gefäß- oder Arbeitsgruppe weiterführen.	STARK	Messskala, sichere Zuordnung jeder Textgruppe zu einem Gefäß, genaue Rezeptfolge	KEEP_WERT_ANTEIL_EINHEIT_WITH_REGISTER_LOCAL_EXPANSION
