root	selected_value_de	global_running_event_id	global_statement_id	physical_page	register	owner_de	surface	component_recipe	atom_position	previous_atom	next_atom	other_action_roots	argument_roots	other_relation_roots	has_order	has_grade	has_close	template	imperative_clause_de	cross_register_tier	cross_register_count	semantic_decision
P	EINSETZEN	G407-E0044	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	MIDDLE	CH	AR	CH	NONE	AR	NO	NO	NO	MULTI_ACTION	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0049	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	MIDDLE	CH	O	CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0073	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphesaiin	CH+P+E+S+AIIN	MIDDLE	CH	E	CH|S	AIIN	NONE	NO	YES	NO	MULTI_ACTION	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0075	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphey	CH+P+E+Y	MIDDLE	CH	E	CH	Y	NONE	NO	YES	NO	MULTI_ACTION	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodal	CH+P+O+D_ADDR+AL	MIDDLE	CH	O	CH	NONE	AL	NO	NO	NO	MULTI_ACTION	Entnimm den laufenden Eintrag [wie zuvor] und setze den laufenden Eintrag [wie zuvor] ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0091	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphy	CH+P+Y	MIDDLE	CH	Y	CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	MIDDLE	CH	O	CH|S	AIIN	L	NO	NO	NO	MULTI_ACTION	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	MIDDLE	AIIN	S	CH|P|S	AIIN	NONE	NO	NO	NO	MULTI_ACTION	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	pshol	P+SH+OL	FIRST	BOUNDARY	SH	SH	NONE	NONE	YES	NO	NO	MULTI_ACTION	Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0140	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphealy	CH+P+E+AL+Y	MIDDLE	CH	E	CH	Y	AL	NO	YES	NO	MULTI_ACTION	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; zur Zielspalte; auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	dloo	D_ADDR+L+O+O	MIDDLE	D_ADDR	O	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; über die Eintragsverbindung; als Ausführung und als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0160	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	cpho	CH+P+O	MIDDLE	CH	O	CH	NONE	NONE	NO	NO	NO	MULTI_ACTION	Entnimm und setze ein; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0166	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	pydeey	P+Y+D_ADDR+EE+Y	FIRST	BOUNDARY	Y	NONE	Y|Y	NONE	NO	YES	NO	GRADED_ACTION	Setze den laufenden Eintrag [außen] und den laufenden Eintrag [innen] ein; auf Grad II; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0215	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	pchocthy	P+CH+O+CH+T+Y	FIRST	BOUNDARY	CH	CH|CH|T	Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Pflanzenposten ein, nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0219	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	pchodol	P+CH+O+D_ADDR+OL	FIRST	BOUNDARY	CH	CH	NONE	NONE	YES	NO	NO	MULTI_ACTION	Weiter setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
