form	core	family	edition	direction	exposure	occurrence_count	no_paragraph_capacity	target_boundary_uncertain	written_anchor_present	unresolved_source	missing_written_anchor	decision
olshedy	shedy	PRIMARY	ZL3b	BACK	DESIGN_LEAF	6	0	0	6	0	0	COMPATIBLE_OR_UNRESOLVED
olshedy	shedy	PRIMARY	ZL3b	BACK	OTHER_EXPOSED_LEAF	11	0	2	4	5	0	TARGET_BOUNDARY_UNCERTAIN
olshedy	shedy	PRIMARY	ZL3b	FORWARD	DESIGN_LEAF	6	0	0	3	3	0	COMPATIBLE_OR_UNRESOLVED
olshedy	shedy	PRIMARY	ZL3b	FORWARD	OTHER_EXPOSED_LEAF	11	0	2	3	4	2	REJECT_MISSING_WRITTEN_ANCHOR
olshedy	shedy	PRIMARY	IT2a	BACK	DESIGN_LEAF	6	0	0	6	0	0	COMPATIBLE_OR_UNRESOLVED
olshedy	shedy	PRIMARY	IT2a	BACK	OTHER_EXPOSED_LEAF	15	0	2	6	0	7	REJECT_MISSING_WRITTEN_ANCHOR
olshedy	shedy	PRIMARY	IT2a	FORWARD	DESIGN_LEAF	6	0	0	5	0	1	REJECT_MISSING_WRITTEN_ANCHOR
olshedy	shedy	PRIMARY	IT2a	FORWARD	OTHER_EXPOSED_LEAF	15	0	2	6	0	7	REJECT_MISSING_WRITTEN_ANCHOR
olshedy	shedy	PRIMARY	RF1b	BACK	DESIGN_LEAF	3	3	0	0	0	0	NO_PARAGRAPH_CAPACITY
olshedy	shedy	PRIMARY	RF1b	BACK	OTHER_EXPOSED_LEAF	7	7	0	0	0	0	NO_PARAGRAPH_CAPACITY
olshedy	shedy	PRIMARY	RF1b	FORWARD	DESIGN_LEAF	3	3	0	0	0	0	NO_PARAGRAPH_CAPACITY
olshedy	shedy	PRIMARY	RF1b	FORWARD	OTHER_EXPOSED_LEAF	7	7	0	0	0	0	NO_PARAGRAPH_CAPACITY
olshey	shey	PRIMARY	ZL3b	BACK	DESIGN_LEAF	2	0	0	2	0	0	COMPATIBLE_OR_UNRESOLVED
olshey	shey	PRIMARY	ZL3b	BACK	OTHER_EXPOSED_LEAF	11	0	0	2	7	2	REJECT_MISSING_WRITTEN_ANCHOR
olshey	shey	PRIMARY	ZL3b	FORWARD	DESIGN_LEAF	2	0	0	2	0	0	COMPATIBLE_OR_UNRESOLVED
olshey	shey	PRIMARY	ZL3b	FORWARD	OTHER_EXPOSED_LEAF	11	0	0	3	5	3	REJECT_MISSING_WRITTEN_ANCHOR
olshey	shey	PRIMARY	IT2a	BACK	DESIGN_LEAF	2	0	0	2	0	0	COMPATIBLE_OR_UNRESOLVED
olshey	shey	PRIMARY	IT2a	BACK	OTHER_EXPOSED_LEAF	9	0	0	4	0	5	REJECT_MISSING_WRITTEN_ANCHOR
olshey	shey	PRIMARY	IT2a	FORWARD	DESIGN_LEAF	2	0	0	2	0	0	COMPATIBLE_OR_UNRESOLVED
olshey	shey	PRIMARY	IT2a	FORWARD	OTHER_EXPOSED_LEAF	9	0	0	4	0	5	REJECT_MISSING_WRITTEN_ANCHOR
olshey	shey	PRIMARY	RF1b	BACK	DESIGN_LEAF	2	2	0	0	0	0	NO_PARAGRAPH_CAPACITY
olshey	shey	PRIMARY	RF1b	BACK	OTHER_EXPOSED_LEAF	9	9	0	0	0	0	NO_PARAGRAPH_CAPACITY
olshey	shey	PRIMARY	RF1b	FORWARD	DESIGN_LEAF	2	2	0	0	0	0	NO_PARAGRAPH_CAPACITY
olshey	shey	PRIMARY	RF1b	FORWARD	OTHER_EXPOSED_LEAF	9	9	0	0	0	0	NO_PARAGRAPH_CAPACITY
