source_group_id	edition	page	locus	form	core	family	physical_leaf	exposure	paragraph_id	left_separator	right_separator	direction	status	anchor_ids	uncertainty_ids
ZL3b|f103r.7|G004	ZL3b	f103r	f103r.7	olshedy	shedy	PRIMARY	103	OTHER_EXPOSED_LEAF	f103r|f103r.5-f103r.7	DEFINITE_SPACE	DEFINITE_SPACE	BACK	WRITTEN_ANCHOR_PRESENT	ZL3b|f103r.5|G003|ZL3b|f103r.5|G009|ZL3b|f103r.6|G006	ZL3b|f103r.5|G010|ZL3b|f103r.5|G012|ZL3b|f103r.6|G010|ZL3b|f103r.6|G012|ZL3b|f103r.6|G013|ZL3b|f103r.6|G014
ZL3b|f103r.7|G004	ZL3b	f103r	f103r.7	olshedy	shedy	PRIMARY	103	OTHER_EXPOSED_LEAF	f103r|f103r.5-f103r.7	DEFINITE_SPACE	DEFINITE_SPACE	FORWARD	UNRESOLVED_SOURCE		ZL3b|f103r.7|G008|ZL3b|f103r.7|G009
ZL3b|f103v.13|G005	ZL3b	f103v	f103v.13	olshedy	shedy	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.12-f103v.13	DEFINITE_SPACE	DEFINITE_SPACE	BACK	WRITTEN_ANCHOR_PRESENT	ZL3b|f103v.12|G003	ZL3b|f103v.12|G006|ZL3b|f103v.12|G007|ZL3b|f103v.12|G008|ZL3b|f103v.12|G009|ZL3b|f103v.12|G010|ZL3b|f103v.13|G002
ZL3b|f103v.13|G005	ZL3b	f103v	f103v.13	olshedy	shedy	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.12-f103v.13	DEFINITE_SPACE	DEFINITE_SPACE	FORWARD	UNRESOLVED_SOURCE		ZL3b|f103v.13|G008|ZL3b|f103v.13|G009
ZL3b|f103v.13|G011	ZL3b	f103v	f103v.13	olshey	shey	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.12-f103v.13	DEFINITE_SPACE	LINE_END	BACK	UNRESOLVED_SOURCE		ZL3b|f103v.12|G006|ZL3b|f103v.12|G007|ZL3b|f103v.12|G008|ZL3b|f103v.12|G009|ZL3b|f103v.12|G010|ZL3b|f103v.13|G002|ZL3b|f103v.13|G008|ZL3b|f103v.13|G009
ZL3b|f103v.13|G011	ZL3b	f103v	f103v.13	olshey	shey	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.12-f103v.13	DEFINITE_SPACE	LINE_END	FORWARD	MISSING_WRITTEN_ANCHOR		
ZL3b|f103v.15|G007	ZL3b	f103v	f103v.15	olchey	chey	DIAGNOSTIC	103	OTHER_EXPOSED_LEAF	f103v|f103v.14-f103v.16	DEFINITE_SPACE	DEFINITE_SPACE	BACK	UNRESOLVED_SOURCE		ZL3b|f103v.14|G010|ZL3b|f103v.14|G011|ZL3b|f103v.15|G005|ZL3b|f103v.15|G006
ZL3b|f103v.15|G007	ZL3b	f103v	f103v.15	olchey	chey	DIAGNOSTIC	103	OTHER_EXPOSED_LEAF	f103v|f103v.14-f103v.16	DEFINITE_SPACE	DEFINITE_SPACE	FORWARD	UNRESOLVED_SOURCE		ZL3b|f103v.15|G012|ZL3b|f103v.16|G007|ZL3b|f103v.16|G008
ZL3b|f103v.22|G001	ZL3b	f103v	f103v.22	olshey	shey	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.20-f103v.26	LINE_START	DEFINITE_SPACE	BACK	UNRESOLVED_SOURCE		ZL3b|f103v.20|G005|ZL3b|f103v.21|G006|ZL3b|f103v.21|G009|ZL3b|f103v.21|G010
ZL3b|f103v.22|G001	ZL3b	f103v	f103v.22	olshey	shey	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.20-f103v.26	LINE_START	DEFINITE_SPACE	FORWARD	UNRESOLVED_SOURCE		ZL3b|f103v.22|G004|ZL3b|f103v.23|G005|ZL3b|f103v.23|G006|ZL3b|f103v.23|G010|ZL3b|f103v.24|G010|ZL3b|f103v.24|G011|ZL3b|f103v.24|G012
ZL3b|f103v.36|G005	ZL3b	f103v	f103v.36	olshedy	shedy	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.33-f103v.36	DEFINITE_SPACE	LINE_END	BACK	UNRESOLVED_SOURCE		ZL3b|f103v.34|G005|ZL3b|f103v.34|G006|ZL3b|f103v.35|G001|ZL3b|f103v.35|G002
ZL3b|f103v.36|G005	ZL3b	f103v	f103v.36	olshedy	shedy	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.33-f103v.36	DEFINITE_SPACE	LINE_END	FORWARD	MISSING_WRITTEN_ANCHOR		
ZL3b|f103v.37|G001	ZL3b	f103v	f103v.37	olshey	shey	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.37-f103v.38	LINE_START	DEFINITE_SPACE	BACK	MISSING_WRITTEN_ANCHOR		
ZL3b|f103v.37|G001	ZL3b	f103v	f103v.37	olshey	shey	PRIMARY	103	OTHER_EXPOSED_LEAF	f103v|f103v.37-f103v.38	LINE_START	DEFINITE_SPACE	FORWARD	UNRESOLVED_SOURCE		ZL3b|f103v.37|G004|ZL3b|f103v.38|G007|ZL3b|f103v.38|G008
