model	grammar	paragraph	mention	form	axis	value	patient	patient_form	rule	debts	changed_fields	input_eligible	row_status
U	B	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
U	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
U	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
U	J	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
U	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
U	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
U	M	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
U	M	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
U	M	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
P	B	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
P	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
P	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
P	J	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
P	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
P	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
P	M	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
P	M	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
P	M	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
R	B	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
R	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
R	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
R	J	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
R	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
R	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
R	M	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
R	M	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
R	M	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
PR	B	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
PR	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
PR	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
PR	J	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
PR	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
PR	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
PR	M	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING	MISSING_MATERIAL_BINDING		False	recorded
PR	M	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		False	recorded
PR	M	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2		False	recorded
U	B	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
U	B	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
U	B	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	kchol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3		False	recorded
U	B	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	chshoty	LOCAL_LEFT			False	recorded
U	J	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
U	J	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
U	J	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	kchol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3		False	recorded
U	J	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	chshoty	LOCAL_LEFT			False	recorded
U	M	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
U	M	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
U	M	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	kchol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3		False	recorded
U	M	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	chshoty	LOCAL_LEFT			False	recorded
P	B	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
P	B	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
P	B	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	kchol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3		False	recorded
P	B	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	chshoty	LOCAL_LEFT			False	recorded
P	J	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
P	J	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
P	J	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	kchol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3		False	recorded
P	J	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	chshoty	LOCAL_LEFT			False	recorded
P	M	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
P	M	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
P	M	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	kchol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3		False	recorded
P	M	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	chshoty	LOCAL_LEFT			False	recorded
R	B	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
R	B	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
R	B	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	kchol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3		False	recorded
R	B	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	chshoty	LOCAL_LEFT			False	recorded
R	J	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING	MISSING_MATERIAL_BINDING		False	recorded
R	J	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	kchol	LOCAL_RIGHT			False	recorded
