paragraph	groups	assumed	unread	processing_commands_M	take_commands_M	missing_processing_patient_M	processing_commands_with_debts_M	row_status
f6v|f6v.6-f6v.21	71	67	4	16	1	0	2	recorded
f9v|f9v.5-f9v.12	48	26	22	8	1	2	6	recorded
f17v|f17v.1-f17v.23	135	82	53	17	1	0	7	recorded
f19v|f19v.8-f19v.14	41	21	20	2	1	1	2	recorded
f22v|f22v.6-f22v.16	44	30	14	4	1	0	2	recorded
f23r|f23r.4-f23r.5	21	11	10	3	1	1	3	recorded
f24r|f24r.1-f24r.20	110	70	40	12	1	0	7	recorded
f45v|f45v.5-f45v.11	48	22	26	2	1	0	0	recorded
f86v5|f86v5.18-f86v5.25	76	43	33	5	1	0	2	recorded
f93r|f93r.1-f93r.32	152	78	74	10	1	0	5	recorded
f99r|f99r.47-f99r.52	43	23	20	7	1	0	6	recorded
f102v2|f102v2.30-f102v2.39	93	51	42	14	1	1	9	recorded
f106r|f106r.8-f106r.9	18	10	8	3	1	2	2	recorded
