model	edition	paragraph	at	word	kind	carrier	carrier_word	input	input_status	baseline_carrier	baseline_carrier_word	baseline_input_status
1	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G002	shey	QUALITY	ZL3b|f15r.1|G001	tshor					
1	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G006	shey	QUALITY	ZL3b|f15r.1|G001	tshor					
1	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G007	daiin	VALUE	ZL3b|f15r.1|G001	tshor					
1	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G002	qotchy	OPERATION	ZL3b|f15r.1|G001	tshor	tydy	UNKNOWN_INPUT			UNKNOWN_INPUT
1	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G004	daiin	VALUE	ZL3b|f15r.1|G001	tshor					
1	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G005	chol	QUALITY	ZL3b|f15r.1|G001	tshor					
1	IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.1|G002	shey	QUALITY	IT2a|f15r.1|G001	tshor					
1	IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.1|G006	shey	QUALITY	IT2a|f15r.1|G001	tshor					
1	IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.1|G007	daiin	VALUE	IT2a|f15r.1|G001	tshor					
1	IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.3|G002	qotchy	OPERATION	IT2a|f15r.1|G001	tshor	tydy	UNKNOWN_INPUT			UNKNOWN_INPUT
1	IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.3|G004	daiin	VALUE	IT2a|f15r.1|G001	tshor					
1	IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.3|G005	chol	QUALITY	IT2a|f15r.1|G001	tshor					
1	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G002	shey	QUALITY	ZL3b|f53v.1|G001	tshor					
1	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G006	daiin	VALUE	ZL3b|f53v.1|G001	tshor					
1	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G002	daiin	VALUE	ZL3b|f53v.1|G001	tshor					
1	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G005	shol	QUALITY	ZL3b|f53v.1|G001	tshor					
1	ZL3b	f95v1|f95v1.1-f95v1.5	ZL3b|f95v1.3|G010	dain	VALUE	ZL3b|f95v1.2|G002	tshor					
1	IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.1|G002	shey	QUALITY	IT2a|f53v.1|G001	tshor					
1	IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.1|G006	daiin	VALUE	IT2a|f53v.1|G001	tshor					
1	IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.2|G002	daiin	VALUE	IT2a|f53v.1|G001	tshor					
1	IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.2|G005	shol	QUALITY	IT2a|f53v.1|G001	tshor					
1	IT2a	f95v1|f95v1.1-f95v1.5	IT2a|f95v1.3|G010	dain	VALUE	IT2a|f95v1.2|G002	tshor					
2	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G006	shey	QUALITY	ZL3b|f15r.1|G003	tchaly					
2	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G007	daiin	VALUE	ZL3b|f15r.1|G003	tchaly					
2	ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G002	qotchy	OPERATION	ZL3b|f15r.1|G003	tchaly	tydy	UNKNOWN_INPUT			UNKNOWN_INPUT
