unified_serial	page	reading_unit_id	source_group_id	visible_owner	visible_surface	atom_sequence	card_reading_de	teaching_layer	lookup_mode	concrete_noun_source
1	f10r	H1-S001	E001	H1	dchey	DCHE+Y	Wurzel als aktueller Posten	LEARNED_NOMENCLATOR	COMPOSED_LEARNED_PROSE_BODY	VISIBLE_OWNER_OR_RECORD_MEMORY
2	f10r	H1-S001	E002	H1	cthoor	CTH+OR	Ansatz bereit	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
3	f10r	H1-S001	E003	H1	char	AR	aus dem Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
4	f10r	H1-S001	E004	H1	chty	PARTITION+TY	Teil abtrennen	LEARNED_NOMENCLATOR	COMPOSED_LEARNED_PROSE_BODY	VISIBLE_OWNER_OR_RECORD_MEMORY
5	f10r	H1-S001	E005	H1	os	OS	Mischgefäß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
6	f10r	H1-S001	E006	H1	chair	AIR	Wasserzulauf	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
7	f10r	H1-S001	E007	H1	otytchol	OT+TY+OL	naechsten Teilposten weiterfuehren	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
8	f10r	H1-S001	E008	H1	oky	OK+Y	aktuellen Posten ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
9	f10r	H1-S001	E009	H1	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
10	f10r	H1-S001	E010	H1	etyd	E+TY	kleiner Restteil	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
11	f10r	H1-S002	E011	H1	qokchy	OK+Y	Posten zur Weiterbearbeitung ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
12	f10r	H1-S002	E012	H1	qotchol	OT+OL	danach weiterfuehren	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
13	f10r	H1-S002	E013	H1	chol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
14	f10r	H1-S002	E014	H1	cthy	CTH+Y	bereit	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
15	f10r	H2-S001	E015	H2	ycheor	Y+CHEO+OR	Auszugsansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
16	f10r	H2-S001	E016	H2	cthy	CTH+Y	bereit	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
17	f10r	H2-S001	E017	H2	chor	OR	Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
18	f10r	H2-S001	E018	H2	cthaiin	CTH+AIIN	Fertigmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
19	f10r	H2-S001	E019	H2	qoctholy	CTH+OL+Y	bereiten Posten weiterfuehren	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
20	f10r	H2-S001	E020	H2	dy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
21	f10r	H2-S001	E021	H2	chy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
22	f10r	H2-S001	E022	H2	taiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
23	f10r	H2-S001	E023	H2	shy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
24	f10r	H2-S002	E024	H2	qotchor	OT+OR	Folgeansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
25	f10r	H2-S002	E025	H2	chor	OR	Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
26	f10r	H2-S002	E026	H2	otol	OT+OL	danach fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
27	f10r	H2-S002	E027	H2	chol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
28	f10r	H2-S002	E028	H2	cholor	OL+OR	Fortsetzungsansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
29	f10r	H2-S002	E029	H2	chol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
30	f10r	H2-S002	E030	H2	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
31	f10r	H2-S002	E031	H2	dar	AR	aus dem Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
32	f10r	H2-S003	E032	H2	oykchor	Y+KCH+OR	aktuellen Ansatz bearbeiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
33	f10r	H2-S003	E033	H2	shor	OR	Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
34	f10r	H2-S003	E034	H2	chor	OR	Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
35	f10r	H2-S003	E035	H2	chy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
36	f10r	H2-S003	E036	H2	kaiiin	IIN	Weichstufe	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
37	f10r	H2-S003	E037	H2	dy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
38	f10r	H2-S003	E038	H2	chodaiin	HO+AIIN	Zutatenmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
39	f11r	H3-S001	E039	H3	tshol	HO+L	Zutat entnehmen	LEARNED_NOMENCLATOR	COMPOSED_LEARNED_PROSE_BODY	VISIBLE_OWNER_OR_RECORD_MEMORY
40	f11r	H3-S001	E040	H3	schoal	HO+AL	Zutat an die Arbeitsstelle geben	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
41	f11r	H3-S001	E041	H3	cfhy	CFH+Y	aktuellen Posten auswringen	LEARNED_NOMENCLATOR	COMPOSED_LEARNED_PROSE_BODY	VISIBLE_OWNER_OR_RECORD_MEMORY
42	f11r	H3-S001	E042	H3	shfydaiin	SH+AIIN	Standmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
43	f11r	H3-S001	E043	H3	cphy	CPH+Y	aktuellen Posten nachseihen	LEARNED_NOMENCLATOR	COMPOSED_LEARNED_PROSE_BODY	VISIBLE_OWNER_OR_RECORD_MEMORY
44	f11r	H3-S001	E044	H3	shey	CHEEY	klarer Auszug	POCKET_CORE_CARD	CROSS_REGISTER_CHEEY_WET_RESULT	VISIBLE_OWNER_OR_RECORD_MEMORY
45	f11r	H3-S001	E045	H3	tchody	HO+CLOSE	Eingangsposten beiseitestellen; Schluss	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
46	f11r	H3-S002	E046	H3	shoyty	HO+Y+TY	Zutatenteil	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
47	f11r	H3-S003	E047	H3	dchol	PREV+OL	vorigen Posten fortsetzen	LEARNED_NOMENCLATOR	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT	VISIBLE_OWNER_OR_RECORD_MEMORY
48	f11r	H3-S003	E048	H3	chy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
