page	unit_kind	reading_units	visible_groups	owner_or_namespace_count	dominant_context_layers	complete_card_sequence	complete_fluent_working_reading
f10r	PROSE_STATEMENT	5	38	1	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER|LEARNED_NOMENCLATOR	YES	YES
f11r	PROSE_STATEMENT	4	17	1	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER|LEARNED_NOMENCLATOR|POCKET_CORE_CARD	YES	YES
f55v	PROSE_STATEMENT	4	18	1	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER|LEARNED_NOMENCLATOR	YES	YES
f56r	PROSE_STATEMENT	6	27	1	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER|LEARNED_NOMENCLATOR|POCKET_CORE_CARD	YES	YES
f81v	PROSE_STATEMENT	21	66	1	SILENT_MEMORY_REGISTER|VISIBLE_OWNER|OWNER_OR_MEMORY_EXPANSION|LEARNED_NOMENCLATOR	YES	YES
f82r	PROSE_STATEMENT	22	62	5	SILENT_MEMORY_REGISTER|VISIBLE_OWNER|OWNER_OR_MEMORY_EXPANSION|POCKET_CORE_CARD|LEARNED_NOMENCLATOR	YES	YES
f83r	PROSE_STATEMENT	54	153	7	SILENT_MEMORY_REGISTER|VISIBLE_OWNER|OWNER_OR_MEMORY_EXPANSION|LEARNED_NOMENCLATOR|POCKET_CORE_CARD	YES	YES
f67r2	ASTRO_LOCUS	74	190	74	ASTRO_LOCAL_MODULE|VISIBLE_DIAGRAM_ADDRESS	YES	YES
f68r1	ASTRO_LOCUS	37	65	37	ASTRO_LOCAL_MODULE|VISIBLE_DIAGRAM_ADDRESS	YES	YES
f69v	ASTRO_LOCUS	31	140	31	ASTRO_LOCAL_MODULE|VISIBLE_DIAGRAM_ADDRESS	YES	YES
