unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	card_by_card_reading_de	fluent_working_reading_de	fully_memory_expanded_reading_de	dependencies_beyond_atomic_roots	pocket_sequence_readable	fluent_content_source	sentence_ends_at_physical_line
1	f10r	H1-S001	PROSE_STATEMENT	der ganzen breitblättrigen gezähnten Bildpflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H1-1; die geltende Zieladresse ist Zielstelle H1-1; ‚das Vorige‘ bezeichnet Vorposten H1-2. Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	LEARNED_NOMENCLATOR|OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
2	f10r	H1-S002	PROSE_STATEMENT	der ganzen breitblättrigen gezähnten Bildpflanze	4	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H1-1; die geltende Zieladresse ist Zielstelle H1-1; ‚das Vorige‘ bezeichnet Vorposten H1-2. Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
3	f10r	H2-S001	PROSE_STATEMENT	der ganzen breitblättrigen gezähnten Bildpflanze	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-1. Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
4	f10r	H2-S002	PROSE_STATEMENT	der ganzen breitblättrigen gezähnten Bildpflanze	8	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-1; ‚das Vorige‘ bezeichnet Vorposten H2-1. Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
5	f10r	H2-S003	PROSE_STATEMENT	der ganzen breitblättrigen gezähnten Bildpflanze	7	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-2; ‚das Vorige‘ bezeichnet Vorposten H2-1. Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
6	f11r	H3-S001	PROSE_STATEMENT	der ganzen dicht blau bekrönten Bildpflanze	7	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2. Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	LEARNED_NOMENCLATOR|OWNER_OR_MEMORY_EXPANSION|POCKET_CORE_CARD|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
7	f11r	H3-S002	PROSE_STATEMENT	der ganzen dicht blau bekrönten Bildpflanze	1	shoyty	HO+Y+TY	Zutatenteil	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2; ‚das Vorige‘ bezeichnet Vorposten H3-2. Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
8	f11r	H3-S003	PROSE_STATEMENT	der ganzen dicht blau bekrönten Bildpflanze	5	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2; ‚das Vorige‘ bezeichnet Vorposten H3-2. Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	LEARNED_NOMENCLATOR|OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
9	f11r	H3-S004	PROSE_STATEMENT	der ganzen dicht blau bekrönten Bildpflanze	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-3; ‚das Vorige‘ bezeichnet Vorposten H3-2. Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
10	f55v	H4-S001	PROSE_STATEMENT	der ganzen breitblättrigen rispigen Bildpflanze	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1. Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	OWNER_OR_MEMORY_EXPANSION|SILENT_MEMORY_REGISTER|VISIBLE_OWNER	YES	OWNER_AND_WORKSHOP_EXEMPLAR	NO_ASSUMPTION
