right_surface	selected_default_de	alternate_1_de	alternate_2_de	confidence	card_class	scope_status	positive_evidence	counterevidence
chckhy	trockene Mischung, Anfangsstufe	trockene Zubereitung, Anfangsstufe	Trockenkompositum, Grundform	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT651/GDT711 trennen den exakten trockenen CKH-Ganzwortkern von der lokalen Realisierung und tragen eine Anfangszelle.	Nur eine aktive Kartenstelle; Mischung gegen Zubereitung und die genaue Stufe bleiben offen.
chcphy	trockene Mischung	trockene Zubereitung	Arzneikompositum	C0	COMPOSITION_DERIVED_WHOLE__NO_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Zehn Cache-Vorkommen und die vollständige ch/cphy-Familienkarte stützen einen nominalen Trocken-Mischungswert.	Mischung gegen Kompositum ist nicht entschieden; kein universeller Vorgang und keine Teilform ist lizenziert.
chcthy	trockenes Pflanzenmaterial	getrocknetes Blattgut	Trockenmaterial	C1	NEW_EXACT_OL_SCOPE	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Die vollständige V99R7-Karte hat 75 exakte Vorkommen auf 53 Seiten und trägt DRY plus PLANT/MATERIAL.	Bisher nur kontextlizenziert; Blatt gegen anderes Pflanzenmaterial bleibt offen und kein Teilstring wird exportiert.
cheal	trockenes Rohmaterial I	Trockenklasse I	getrocknete Zubereitung I	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT656 zählt 26 exakte Ganzwortvorkommen und eine wiederkehrende Trocken-/Material-/I-Positionsschale.	Rohmaterial gegen Zubereitung und die genaue Stufenposition bleiben unbestätigt.
checkhy	trockene Mischung, Anfangsstufe	trockene Zubereitung, Anfangsstufe	Trockenkompositum, Grundform	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT651/GDT713 tragen die exakte trockene CKH-Schwesterzelle und eine Anfangsrolle im vollständigen Wort.	Nur eine aktive Kartenstelle; Mischung, Zubereitung und Kompositum sind nicht getrennt.
chedaiin	abgemessene Trockenmenge III	Trockenwert III	getrocknete Portion, Stufe III	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT663/GDT714 finden die vollständige Familie an 32 Stellen; Trocken-, Mess- und III-Wertfelder konvergieren.	Stoff, historische Einheit und Wert gegen Menge oder Grad bleiben offen.
cheedy	getrocknetes Ergebnis, Endform	Trocknung abgeschlossen	Trockenform II	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	56 exakte Ganzwortvorkommen; GDT737/GDT738 stützen die vollständige DRY/CLOSE-Familie in beiden Prüfpfaden.	Zustand gegen Anweisung sowie Endform gegen Form II sind nicht vollständig getrennt.
cheeky	getrocknet, dann leicht erhitzt	Trocken-Endstufe mit Wärmebeginn	erhitzte Trockenform	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	23 exakte Ganzwortvorkommen und die starke GDT661-Ganzwortfamilie tragen Trockenende plus Wärmebeginn.	Eine echte zeitliche Folge ist gegenüber einem zusammengesetzten Zustand nicht bewiesen.
cheeor	Portion Trockengut	vollständig getrocknetes Material	getrocknete Zubereitungsportion	C1	RETIRED_PATIENT_SANITIZATION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT668 zählt 13 exakte Ganzwortvorkommen; Trockenabschluss plus Portionsrolle bleibt nach Entfernung des alten Patienten erhalten.	Die konkrete Substanz und Portion gegen Materialträger sind offen.
cheky	antrocknen, dann erwärmen	Trocken-Mittelstufe	Trocken-Endstufe mit Wärmebeginn	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Die aktive Karte ist vorgangslizenziert und GDT664 trägt Trocken- plus Wärmefolge.	Nur eine aktive Stelle; GDT749 gibt BEGIN/END einen stärkeren Rivalen als der alten Mittelstufe.
cheol	Trockenmaterial	getrocknetes Material	Trockenansatz	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT737/GDT738 stützen DRY/MATERIAL über 18 reader-exakte headed Stellen und 142 bare Vorkommen.	Patient und Material gegen Zubereitung bleiben offen; keine Teilform ist frei.
cheor	trockener Teil	getrocknete Portion	trockener Pflanzenteil	C1	RETIRED_PATIENT_SANITIZATION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	71 exakte Ganzwortvorkommen; GDT737/GDT738 tragen DRY/PART und den Teil-/Portionsträger im Discovery-Pfad.	W23 bleibt unentschieden; Teil gegen Portion und der konkrete Patient sind offen.
chety	kalt-trockene Form	abgekühltes Trockengut	Trocken-Kaltstufe	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	18 exakte Ganzwortvorkommen und die vollständige V13/GDT734-Qualitätskarte tragen COLD plus DRY plus FORM.	Reihenfolge, Träger und genaue Stufe sind nicht unabhängig bestimmt.
