model	grammar	paragraph	mention	form	patient	patient_form	rule	debts	input_eligible	changed_fields	row_status
U	B	f6v|f6v.6-f6v.21	f6v.12:2	shy			MISSING	MISSING_MATERIAL_BINDING	False		recorded
U	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	False		recorded
U	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	False		recorded
U	J	f6v|f6v.6-f6v.21	f6v.12:2	shy			MISSING	MISSING_MATERIAL_BINDING	False		recorded
U	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	False		recorded
U	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	False		recorded
U	M	f6v|f6v.6-f6v.21	f6v.12:2	shy			MISSING	MISSING_MATERIAL_BINDING	False		recorded
U	M	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	False		recorded
U	M	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	False		recorded
A	B	f6v|f6v.6-f6v.21	f6v.12:2	shy			MISSING	MISSING_MATERIAL_BINDING	False		recorded
A	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	False		recorded
A	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	False		recorded
A	J	f6v|f6v.6-f6v.21	f6v.12:2	shy			MISSING	MISSING_MATERIAL_BINDING	False		recorded
A	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	False		recorded
A	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	False		recorded
A	M	f6v|f6v.6-f6v.21	f6v.12:2	shy			MISSING	MISSING_MATERIAL_BINDING	False		recorded
