edition	model	paragraph	locus	raw	row_status
ZL3b	U	f93r|f93r.1-f93r.32	f93r.1	kodshol otolsheeos octhodaly opalepam oepchksheey qotodain s oar	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.2	ycham s chol chotom cthodar sheo s oteodal s ofchoshy cthoshol	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.3	dsho dal dalody ytchchy dam chody dal ol schodchy qotchd	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.4	sol shotol qokchodal shody chotol s otol ytchdg	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.5	ol chody cfhol dol qokol otodar chodain	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.6	tar otor s cho s chol sheoees	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.7	shor shol ody cheodaiin s	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.8	lor sheeody chodaiin s odar	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.9	shodam okcheody cthoctho'l	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.10	ychos chey keol cheol ckhody	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.11	okeol oteol s odam sheo al sal	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.12	qokor shey okcheor sheodom	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.13	shodaiin qotchy kchol r	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.14	ychey ckhos okcheod chr	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.15	ochol shodal dol cheodam	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.16	choshy qokor chckhs	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.17	tcheo l cholchecthody	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.18	olkees shodaiin shody	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.19	tchor shol r sheoky	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.20	ychockhy cthol osos	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.21	dol shol daiin shcthy	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.22	kchor cthy chakal daiin	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23	oain okor shody teols	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.24	ychocthy chotey teey s	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.25	ysaiin chotar shody	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.26	ocheodaiin tchos sor	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.27	qokor cheo los ckheody	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.28	ychor odol chodaiin s	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.29	dain {ck}cho ctho ctho[s:e]g	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.30	shodaiin qokcho cthol	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.31	ol chol cthol olchod	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.32	dol chokal schos	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.1	kodshol otolsheeos octhodaly opalepam oepchksheey qotodain s oar	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.2	ycham s chol chotom cthodar sheo s oteodal s ofchoshy cthoshol	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.3	dsho dal dalody ytchchy dam chody dal ol schodchy qotchd	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.4	sol shotol qokchodal shody chotol s otol ytchdg	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.5	ol chody cfhol dol qokol otodar chodain	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.6	tar otor s cho s chol sheoees	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.7	shor shol ody cheodaiin s	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.8	lor sheeody chodaiin s odar	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.9	shodam okcheody cthoctho'l	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.10	ychos chey keol cheol ckhody	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.11	okeol oteol s odam sheo al sal	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.12	qokor shey okcheor sheodom	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.13	shodaiin qotchy kchol r	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.14	ychey ckhos okcheod chr	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.15	ochol shodal dol cheodam	recorded
ZL3b	A	f93r|f93r.1-f93r.32	f93r.16	choshy qokor chckhs	recorded
