edition	model	grammar	paragraph	target	meaning	patient	patient_form	debts	nominal_uses	partition_source	partition_output	quantity_binding	semantic_obligation	raw_line	row_status
ZL3b	U	B	f93r|f93r.1-f93r.32	f93r.23:2	[ungelesen: okor]								UNREAD	oain okor shody teols	recorded
ZL3b	U	J	f93r|f93r.1-f93r.32	f93r.23:2	[ungelesen: okor]								UNREAD	oain okor shody teols	recorded
ZL3b	U	M	f93r|f93r.1-f93r.32	f93r.23:2	[ungelesen: okor]								UNREAD	oain okor shody teols	recorded
ZL3b	A	B	f93r|f93r.1-f93r.32	f93r.23:2	teile ab	f93r.23:3	shody			f93r.23:3			OUTPUT_AND_QUANTITY_UNBOUND	oain okor shody teols	recorded
ZL3b	A	J	f93r|f93r.1-f93r.32	f93r.23:2	teile ab	f93r.23:3	shody			f93r.23:3			OUTPUT_AND_QUANTITY_UNBOUND	oain okor shody teols	recorded
ZL3b	A	M	f93r|f93r.1-f93r.32	f93r.23:2	teile ab	f93r.23:3	shody			f93r.23:3			OUTPUT_AND_QUANTITY_UNBOUND	oain okor shody teols	recorded
ZL3b	N	B	f93r|f93r.1-f93r.32	f93r.23:2	abgeteilter Anteil								SOURCE_AND_QUANTITY_UNBOUND	oain okor shody teols	recorded
ZL3b	N	J	f93r|f93r.1-f93r.32	f93r.23:2	abgeteilter Anteil								SOURCE_AND_QUANTITY_UNBOUND	oain okor shody teols	recorded
ZL3b	N	M	f93r|f93r.1-f93r.32	f93r.23:2	abgeteilter Anteil								SOURCE_AND_QUANTITY_UNBOUND	oain okor shody teols	recorded
ZL3b	U	B	f99r|f99r.47-f99r.52	f99r.51:6	[ungelesen: okor]								UNREAD	yshaiin {ykh}ey octhey dy daiin okor okeey sh{cty}sh	recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	f99r.51:6	[ungelesen: okor]								UNREAD	yshaiin {ykh}ey octhey dy daiin okor okeey sh{cty}sh	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	f99r.51:6	[ungelesen: okor]								UNREAD	yshaiin {ykh}ey octhey dy daiin okor okeey sh{cty}sh	recorded
ZL3b	A	B	f99r|f99r.47-f99r.52	f99r.51:6	teile ab	f99r.49:6	okeol	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;IMPLICIT_SUBJECT_CONTINUATION		f99r.49:6			OUTPUT_AND_QUANTITY_UNBOUND	yshaiin {ykh}ey octhey dy daiin okor okeey sh{cty}sh	recorded
