edition	model	grammar	paragraph	operation	form	fields	old_patient	new_patient	old_second	new_second	old_debts	new_debts	row_status
ZL3b	A	B	f99r|f99r.47-f99r.52	f99r.51:7	okeey	debts	f99r.49:6	f99r.49:6			UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	A	J	f99r|f99r.47-f99r.52	f99r.51:7	okeey	debts	f99r.49:6	f99r.49:6			UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	A	M	f99r|f99r.47-f99r.52	f99r.51:7	okeey	debts	f99r.49:6	f99r.49:6			UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	N	B	f99r|f99r.47-f99r.52	f99r.51:7	okeey	patient,patient_form,rule,debts	f99r.49:6	f99r.51:6			UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	N	J	f99r|f99r.47-f99r.52	f99r.51:7	okeey	patient,patient_form,rule,debts	f99r.49:6	f99r.51:6			UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	N	M	f99r|f99r.47-f99r.52	f99r.51:7	okeey	patient,patient_form,rule,debts	f99r.49:6	f99r.51:6			UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	A	B	f99r|f99r.47-f99r.52	f99r.51:7	okeey	debts	f99r.49:3	f99r.49:3			UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
IT2a	A	J	f99r|f99r.47-f99r.52	f99r.51:7	okeey	debts	f99r.49:3	f99r.49:3			UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
IT2a	A	M	f99r|f99r.47-f99r.52	f99r.51:7	okeey	debts	f99r.49:3	f99r.49:3			UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
IT2a	N	B	f99r|f99r.47-f99r.52	f99r.51:7	okeey	patient,patient_form,rule,debts	f99r.49:3	f99r.51:6			UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	N	J	f99r|f99r.47-f99r.52	f99r.51:7	okeey	patient,patient_form,rule,debts	f99r.49:3	f99r.51:6			UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	N	M	f99r|f99r.47-f99r.52	f99r.51:7	okeey	patient,patient_form,rule,debts	f99r.49:3	f99r.51:6			UNREAD_BETWEEN:f99r.49:6;UNREAD_BETWEEN:f99r.49:8;UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	A	B	f99r|f99r.47-f99r.52	f99r.51:7	okeey	debts	f99r.49:7	f99r.49:7			UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.49:11;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:5;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.49:11;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
