edition	paragraph	id	locus	index	form	role	offset	row_status
ZL3b	f6v|f6v.6-f6v.21	f6v.6:1	f6v.6	1	tchody	HEADING	0	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.6:2	f6v.6	2	shocthol	MATERIAL	1	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.6:3	f6v.6	3	cho{cthh}y	OPEN	2	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.6:4	f6v.6	4	s	DISTRIBUTIVE	3	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.7:1	f6v.7	1	ychos	ACTION	4	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.7:2	f6v.7	2	ychol	ACTION	5	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.7:3	f6v.7	3	daiin	AMOUNT	6	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.7:4	f6v.7	4	cthol	MATERIAL	7	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.7:5	f6v.7	5	dol	AMOUNT	8	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.8	1	ychor	LINK	9	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.8:2	f6v.8	2	chor	MATERIAL	10	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.8:3	f6v.8	3	okchey	ACTION	11	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.8:4	f6v.8	4	qokom	ACTION	12	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.9:1	f6v.9	1	oeeo	ACTION	13	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.9:2	f6v.9	2	dal	AMOUNT	14	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.9:3	f6v.9	3	chor	MATERIAL	15	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.9:4	f6v.9	4	cthom	MATERIAL	16	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.9:5	f6v.9	5	s	DISTRIBUTIVE	17	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.10:1	f6v.10	1	qokchod	ACTION	18	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.10:2	f6v.10	2	ychear	MIX	19	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.10:3	f6v.10	3	kchdy	MATERIAL	20	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.11:1	f6v.11	1	lor	RELATION	21	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.11:2	f6v.11	2	char	MATERIAL	22	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.11:3	f6v.11	3	otam	MATERIAL	23	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.11:4	f6v.11	4	ctho	MATERIAL	24	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.11:5	f6v.11	5	m	LINK	25	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.11:6	f6v.11	6	dy	STATE	26	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.12:1	f6v.12	1	ytcho[s:r]	OPEN	27	recorded
