edition	model	paragraph	target	earlier_material	form	role	status	row_status
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.2:6	sheo	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.3:6	chody	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.4:4	shody	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.5:2	chody	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.5:5	qokol	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.6:2	otor	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.7:1	shor	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.7:3	ody	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.8:2	sheeody	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.8:3	chodaiin	MATERIAL_DOSE	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
ZL3b	U	f93r|f93r.1-f93r.32	f93r.23:2	f93r.10:4	cheol	MATERIAL	CANDIDATE_ONLY_NOT_BOUND_AS_ORIGIN	recorded
